city_town_fips,gender_female,median_age,total_population,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_multiracial,race_hispanic,ancestry_afghan,ancestry_albanian,ancestry_alsatian,ancestry_american,ancestry_arab,ancestry_armenian,ancestry_assyrian,ancestry_australian,ancestry_austrian,ancestry_basque,ancestry_belgian,ancestry_brazilian,ancestry_british,ancestry_bulgarian,ancestry_cajun,ancestry_canadian,ancestry_carpatho_rusyn,ancestry_celtic,ancestry_croatian,ancestry_cypriot,ancestry_czech,ancestry_czechoslovakian,ancestry_danish,ancestry_dutch,ancestry_eastern_european,ancestry_english,ancestry_estonian,ancestry_european,ancestry_finnish,ancestry_french,ancestry_french_canadian,ancestry_german,ancestry_german_russian,ancestry_greek,ancestry_guyanese,ancestry_hungarian,ancestry_icelander,ancestry_iranian,ancestry_irish,ancestry_israeli,ancestry_italian,ancestry_latvian,ancestry_lithuanian,ancestry_luxembourger,ancestry_macedonian,ancestry_maltese,ancestry_new_zealander,ancestry_northern_european,ancestry_norwegian,ancestry_pennsylvania_german,ancestry_polish,ancestry_portuguese,ancestry_romanian,ancestry_russian,ancestry_scandinavian,ancestry_scotch_irish,ancestry_scottish,ancestry_serbian,ancestry_slavic,ancestry_slovak,ancestry_slovene,ancestry_soviet_union,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_turkish,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian,ancestry_yugoslavian,ancestry_other,total_households,ed_25yrs_older_total,poverty_total,below_poverty_level,above_poverty_level,median_household_income,median_family_income,city_town,county,ed_college_degree,ed_some_college,race_minority,vote_male_eligible,vote_female_eligible,vote_eligible,gender_female_pct,below_poverty_pct,ed_college_degree_pct,ed_some_college_pct,race_minority_pct,race_white_pct,race_black_pct,race_asian_pct,race_hispanic_pct,race_native_pct,poverty_pct,vote_female_pct,wwc_pct,white_college_pct,ancestry_french_candadian_pct,ancestry_portuguese_pct
2500103690,26464,49.1,49568,37595,2821,112,523,0,1693,4436,2388,0,35,0,1519,44,31,0,0,0,0,0,2688,83,10,0,142,0,0,0,0,31,0,20,63,101,2169,0,237,70,265,503,1051,0,288,2,14,0,0,4024,0,1411,6,138,0,0,0,0,122,92,18,186,500,16,54,34,60,554,485,0,17,0,0,482,169,13,0,42,16,1923,0,2794,21413,37419,49256,3667,45589,91982,118494,Barnstable,Barnstable,15741,26807,11973,17232,19861,37093,0.5338928340865075,0.07444778301120676,0.31756375080697224,0.540812621045836,0.241546965784377,0.7584530342156229,0.05691171723692705,0.010551162040025822,0.04817624273724984,0.0022595222724338285,0.07444778301120676,0.5354379532526353,0.32579486765655263,0.2838323111684958,0.010147675919948354,0.010087153001936734
2500107175,10402,52,20323,18843,89,35,383,0,17,631,325,0,0,0,482,73,41,0,0,11,0,13,152,35,0,0,33,0,0,60,0,0,0,13,38,30,1395,0,164,59,150,119,155,0,89,0,0,0,0,2085,0,812,11,45,0,0,0,0,69,57,0,239,223,0,21,21,59,148,0,8,0,0,0,165,23,0,12,23,17,13,0,718,8902,15501,19852,1234,18618,91058,113448,Bourne,Barnstable,7131,11762,1480,8181,8648,16829,0.5118338827928948,0.06215998388071731,0.35088323574275454,0.5787531368400335,0.07282389411012154,0.9271761058898784,0.00437927471337893,0.018845642867686856,0.015991733503911823,0.001722186685036658,0.06215998388071731,0.5138748588745617,0.38203021207498894,0.33454706490183533,0.005855434729124637,0.01097278945037642
2500107980,5219,59.6,10420,9463,75,0,99,0,19,359,405,0,0,0,163,63,0,0,0,0,0,0,0,26,0,0,37,0,0,0,0,0,21,47,5,76,413,0,23,50,119,81,165,0,22,0,0,0,0,1414,0,257,0,18,0,0,0,0,26,37,0,193,52,0,32,0,0,121,0,0,23,0,0,114,149,0,0,0,0,1,0,598,4687,8645,10230,691,9539,103317,149739,Brewster,Barnstable,4798,6800,957,4442,4533,8975,0.5008637236084453,0.0675464320625611,0.4604606525911708,0.6525911708253359,0.0918426103646833,0.9081573896353167,0.007197696737044146,0.009500959692898273,0.03886756238003839,0,0.0675464320625611,0.5050696378830084,0.3459692898272553,0.42418426103646834,0.0077735124760076775,0.0049904030710172746
2500112995,3593,63.4,6681,5981,227,0,129,0,0,281,63,0,0,0,106,0,17,0,0,0,0,10,0,17,0,0,7,0,0,0,0,0,0,0,15,5,528,0,32,0,74,89,144,0,5,0,6,0,0,701,0,177,0,15,0,0,0,0,8,0,0,104,42,0,15,0,30,82,32,0,11,0,0,0,85,0,24,0,0,168,0,350,3340,5589,6490,700,5790,85167,130353,Chatham,Barnstable,3393,4615,700,2580,3263,5843,0.5377937434515792,0.10785824345146379,0.5078581050740907,0.6907648555605448,0.1047747343212094,0.8952252656787906,0.033976949558449335,0.019308486753480018,0.009429726088908847,0,0.10785824345146379,0.5584460037651892,0.2947163598263733,0.48899865289627303,0.013321359077982337,0.006286484059272564
2500116775,7677,59.5,14868,12792,333,0,55,0,206,338,1144,0,10,0,542,0,52,0,5,0,0,0,44,6,26,0,58,0,0,0,0,23,0,0,7,58,856,0,98,9,136,220,115,0,52,0,10,0,0,1788,0,593,0,69,0,0,10,0,0,20,0,135,83,0,26,31,16,172,0,0,0,0,0,28,84,0,10,0,26,236,0,781,7302,12555,14800,990,13810,88154,115938,Dennis,Barnstable,5536,8914,2076,6241,6759,13000,0.5163438256658596,0.06689189189189189,0.3723432875975249,0.5995426419155233,0.13962873284907182,0.8603712671509282,0.022397094430992737,0.003699219800914716,0.0769437718590261,0,0.06689189189189189,0.5199230769230769,0.4134382566585956,0.34954264191552326,0.014796879203658865,0.005582458972289481
2500119295,3318,60.4,5811,5100,260,13,90,0,0,294,54,0,0,0,257,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,71,9,359,0,43,0,12,31,128,0,50,0,0,0,0,512,0,194,0,39,0,0,0,0,12,0,0,58,165,0,116,0,0,45,13,0,0,0,0,0,60,63,15,11,10,198,0,204,3041,4783,5811,623,5188,72992,101071,Eastham,Barnstable,2603,3667,711,2149,2778,4927,0.5709860609189468,0.1072104629151609,0.44794355532610564,0.6310445706418861,0.1223541559112029,0.8776458440887971,0.0447427293064877,0.015487867836861126,0.009292720702116675,0.0022371364653243847,0.1072104629151609,0.5638319464176984,0.3180175529168818,0.4283255893994149,0.00533471003269661,0.02839442436757873
2500123105,16710,56.6,33039,27911,472,177,707,0,242,1830,1700,0,19,0,587,77,60,0,0,0,0,4,821,154,0,0,122,0,0,0,0,24,0,43,19,126,1576,0,230,11,215,374,642,0,169,0,29,0,16,2984,0,1150,0,105,0,0,0,0,82,54,53,213,812,15,103,18,112,299,178,0,12,0,0,178,85,6,31,101,8,153,0,2397,14890,25876,32648,3141,29507,93043,132034,Falmouth,Barnstable,13393,20028,5128,12795,13702,26497,0.505765913011895,0.09620803724577309,0.40536941190714004,0.606192681376555,0.155210508792639,0.844789491207361,0.0142861466751415,0.021398952752807288,0.051454341838433365,0.0053573050031780626,0.09620803724577309,0.5171151451107673,0.3246466297406096,0.36314658433971975,0.011319955204455341,0.024577015042828172
2500129020,6897,58.6,13598,12570,36,12,200,0,123,429,228,0,0,0,418,32,0,0,0,0,0,0,9,36,0,0,77,0,0,0,0,0,0,14,6,11,964,0,110,0,92,27,436,0,259,0,0,0,0,1571,0,249,0,60,0,48,0,0,0,111,0,272,26,0,37,0,18,163,0,0,0,0,0,54,170,0,0,8,50,28,0,335,6394,11172,13345,656,12689,96966,140024,Harwich,Barnstable,5654,8625,1028,5655,6255,11910,0.5072069421973819,0.04915698763581866,0.4157964406530372,0.6342844535961171,0.07559935284600676,0.9244006471539933,0.002647448154140315,0.014708045300779526,0.01676717164288866,8.824827180467715e-4,0.04915698763581866,0.5251889168765743,0.3730695690542727,0.40270628033534345,0.001985586115605236,0.0019120458891013384
2500139100,8105,55.9,15384,13285,338,363,140,0,77,741,440,0,0,0,497,26,0,0,0,12,0,0,123,54,0,0,51,0,0,0,0,5,0,10,5,92,680,0,25,0,141,186,262,0,121,0,0,0,0,1352,0,725,14,68,0,0,0,0,21,36,0,173,392,0,108,0,67,79,0,7,17,0,0,6,77,11,0,12,0,19,0,1168,7135,12180,15259,837,14422,95299,124809,Mashpee,Barnstable,5396,8995,2099,5966,6917,12883,0.5268460738429537,0.054852873713873776,0.35075403016120643,0.5846983879355174,0.13644045761830473,0.8635595423816953,0.021970878835153407,0.009100364014560582,0.02860114404576183,0.02359594383775351,0.054852873713873776,0.5369091050221222,0.3833203328133125,0.3213728549141966,0.012090483619344774,0.02548101924076963
2500151440,3472,64.7,6415,6298,11,0,32,0,0,59,15,0,0,0,210,11,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,49,65,46,398,0,128,0,36,68,118,0,82,0,6,0,0,876,0,207,0,11,0,0,0,0,43,0,9,60,32,0,51,3,18,21,0,0,0,0,0,0,9,0,0,0,0,0,0,361,3144,5423,6383,552,5831,102335,134263,Orleans,Barnstable,3189,4610,117,2618,3095,5713,0.5412314886983632,0.08647971173429422,0.497116134060795,0.7186282151208107,0.01823850350740452,0.9817614964925955,0.0017147310989867497,0.004988308651597818,0.002338269680436477,0,0.08647971173429422,0.5417468930509365,0.34824629773967264,0.4874512860483242,0.010600155884645362,0.004988308651597818
