district,gender_female,total_population,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_multiracial,race_hispanic,total_households,ed_25yrs_older_total,median_age,median_household_income,median_family_income,ancestry_afghan,ancestry_albanian,ancestry_alsatian,ancestry_american,ancestry_arab,ancestry_armenian,ancestry_assyrian,ancestry_australian,ancestry_austrian,ancestry_basque,ancestry_belgian,ancestry_brazilian,ancestry_british,ancestry_bulgarian,ancestry_cajun,ancestry_canadian,ancestry_carpatho_rusyn,ancestry_celtic,ancestry_croatian,ancestry_cypriot,ancestry_czech,ancestry_czechoslovakian,ancestry_danish,ancestry_dutch,ancestry_eastern_european,ancestry_english,ancestry_estonian,ancestry_european,ancestry_finnish,ancestry_french,ancestry_french_canadian,ancestry_german,ancestry_german_russian,ancestry_greek,ancestry_guyanese,ancestry_hungarian,ancestry_icelander,ancestry_iranian,ancestry_irish,ancestry_israeli,ancestry_italian,ancestry_latvian,ancestry_lithuanian,ancestry_luxembourger,ancestry_macedonian,ancestry_maltese,ancestry_new_zealander,ancestry_northern_european,ancestry_norwegian,ancestry_pennsylvania_german,ancestry_polish,ancestry_portuguese,ancestry_romanian,ancestry_russian,ancestry_scandinavian,ancestry_scotch_irish,ancestry_scottish,ancestry_serbian,ancestry_slavic,ancestry_slovak,ancestry_slovene,ancestry_soviet_union,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_turkish,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian,ancestry_yugoslavian,ancestry_other,poverty_total,below_poverty_level,above_poverty_level,ed_college_degree,ed_some_college,race_minority,vote_male_eligible,vote_female_eligible,vote_eligible,gender_female_pct,below_poverty_pct,ed_college_degree_pct,ed_some_college_pct,race_minority_pct,race_white_pct,race_black_pct,race_asian_pct,race_hispanic_pct,race_native_pct,poverty_pct,vote_female_pct,wwc_pct,white_college_pct,ancestry_french_candadian_pct,ancestry_portuguese_pct,area_m2,very_low_density_pct,low_density_pct,medium_density_pct,high_density_pct,density_type
First Barnstable,22329.653397994978,43320.123783998264,37336.92173048632,1039.17603988604,0,742.9632561728395,0,492.52159244264504,1646.1640266415702,2062.377138368851,20495.154171941092,35929.92214998429,57.60074274139094,98759.87755102041,123427.43622269203,0,21.512038523274477,0,1364.9655850399042,120.06188171333677,93.06170142336975,0,30.305299076676036,0,0,13.73076923076923,767.6416583289325,72.7867935656052,25.57861635220126,0,112.79213700932695,0,3.666666666666667,0,0,29.71069182389937,35.569441886166885,61.76716940479397,24.837668078835883,147.01785946746054,2421.101956263015,0,155.511769284918,73.14374674013519,347.79654002100574,506.2129994560476,654.8883582069651,0,101.19600462992184,0,17.902912621359224,0,0,4776.201154953621,0,1679.304484765291,0,104.02152444601246,0,0,9.716981132075471,0,31.517222324553327,120.3093688797884,0,502.7642365150872,282.2313799867823,0,167.45513738247257,30.114285714285714,95.84345555160249,434.8336419185028,0,1.8333333333333335,38.394870086608925,0,0,267.8173183299402,405.859837298717,0,9.714285714285714,7,26.784920634920635,662.9835053456816,0,2443.867073953401,43161.02246783556,3486.5957711228684,39674.42669671268,16579.947407236272,26616.121834066347,5983.202053511945,18050.68841302094,19433.541338536557,37484.2297515575,0.5154568234692621,0.08078112083005327,0.3827308409806675,0.614405488931172,0.13811599623641982,0.8618840037635802,0.02398829802674512,0.017150534007644682,0.047607831146841244,0,0.08078112083005327,0.5184457962012432,0.39018966767523194,0.3550035397382019,0.01168540057688003,0.0065150178562286085,168703788.63,0.10526315789473684,0.8947368421052632,0,0,low
Second Barnstable,24260.67703337824,44865.10415451463,32373.472123038293,3427.4570567143983,87.5952380952381,469.19828877005347,0,1590.4414594957166,4685.811714119074,2231.128274281864,20033.963714426445,34081.461109649426,51.8988255033557,91402.11053089643,127283.36926360725,0,56.37218183153411,0,1623.6564599971384,41.514242970484005,7.522385022385022,0,0,0,0,0,2940.307560091544,47.73763135981361,8.96551724137931,0,146.14142330230058,0,19.5,0,0,16.24074074074074,13.258426966292134,0.18518518518518517,65.39076568968449,107.78315287653524,1932.8628177739429,0,207.3209168677396,70.50111521173031,236.04803734527144,432.02275795170254,823.6630374689967,0,282.48443699287265,2,12.551724137931036,0,0,3789.106293885884,0,1463.517251532741,5.379310344827586,54.338942746270334,0,0,0,0,122.25961968354038,41.590778369080255,11.076923076923077,191.54068190235736,388.03270734673583,15.872,82.42231808453718,27.81401617250674,80.90599260974706,492.0742409084259,394.3956043956044,9.75,10.461538461538462,0,0,417.95221306839846,141.73974923738137,0.12037037037037036,0,38.72606896551724,17.971153846153847,2312.1562063121014,0,2579.163481527932,44088.11761794667,3797.194544919982,40290.92307302669,13747.709641364669,23567.73330449619,12491.632031476345,14907.909096000385,17626.072272976988,32533.981368977373,0.5407471461522723,0.08612739100873479,0.30642321912410586,0.5253020972230296,0.2784264578647892,0.7215735421352111,0.07639471971156685,0.010457978368982334,0.04972970232272051,0.0019524135683171857,0.08612739100873479,0.5417742167204979,0.31662379362147086,0.2660184531882715,0.00962937155932646,0.008648875660922529,118852465.38,0.10526315789473684,0.7894736842105263,0.10526315789473684,0,low
Third Barnstable,23531.98013564883,45582.36556466636,39687.01847302528,753.8435843024077,507.3652366051823,560.5798934027196,0,195.34202898550723,2332.9214280816423,1545.294920263622,20262.86075512189,35307.09754032047,53.72933333333333,103086.69136807817,146849.11162790697,0,18.333333333333332,0,1132.5615672644117,70.33716726914228,29.40124069478908,0,0,19.905104461620876,0,13.857397915106837,779.4155806443852,189.14466714125695,0,0,132.08553765905285,0,0,27.058823529411764,0,20.176470588235293,0,43.49428409734013,38.30333094194996,168.46355719956577,2327.100843555198,0,209.22002978068105,52.17767666877844,303.083698844359,452.54319030222484,598.5195222051847,0,314.46523773729353,0,6.192307692307692,0,10.117647058823529,4082.580583337479,0,1735.093414591656,23.859756097560975,168.68770165480495,0,0,0,0,106.08469147215212,113.5414747413728,0,400.14564906190094,944.1727364526959,14.473684210526315,186.77164640877865,20.852941176470587,159.95199134110135,293.53180160285814,112.55882352941175,10.607843137254902,27.08798735511064,0,0,231.00492246548478,147.61067924802774,10.472602739726028,40.668378262729995,43.84615384615385,22.314727954971858,159.65780408545814,0,2752.786023249133,44521.42493871603,2890.004218305647,41631.420720410395,16399.87032492171,26573.189862574065,5895.3470916410815,17569.438024683215,19341.7360454415,36911.17407012472,0.5162518409068679,0.06491266221338945,0.359785415297407,0.5829708382483015,0.12933394348034716,0.8706660565196529,0.016538053147613675,0.012298174665977818,0.03390115675482787,0.011130735106000546,0.06491266221338945,0.5240076083382126,0.35567232444535507,0.3288332634988396,0.009928032139100266,0.020713552812725917,189760297.157,0.1111111111111111,0.8333333333333334,0.05555555555555555,0,low
Fourth Barnstable,20460.61550150166,39944.014526125684,36073.258349298725,778.0255892255892,41.25,533.6578696476395,0,189.1165011459129,1384.9990859596082,943.7071308482178,19858.36730425624,33474.85044384448,60.04641927083335,102662.00731528895,142953.59765910753,0,0,0,1259.2739156952723,60.349752750229364,15.682170542635658,8.928571428571429,0,0,0,9.224806201550388,21.572340425531912,83.09121374003499,67.4076923076923,0,103.34609247905898,0,0,0,0,11.478260869565219,7.6521739130434785,68.36443860489067,169.3080792387689,154.50286925526777,2504.0879339248004,0,524.8339126004455,8.070301850048686,255.54735830426998,252.45814401736754,859.0814988982941,0,387.78708379803936,0,34.80855725983162,0,0,3754.79042855075,10.746153846153845,1096.8157718509685,0,120.66996229588317,0,47.26717557251908,0,0,109.21292386306263,198.29931230384244,7.293103448275861,549.2062721938858,372.14445224213125,0,228.11929254837887,2.8085106382978724,131.3101785277574,404.5978132783161,42.416205241786635,0,10.292856441958591,0,0,63.81236272464952,331.46049867004604,58.7202380952381,50.88337912087912,67.29863247863248,57.89735550708833,498.1162601131574,0,2047.164376524924,39383.971012966256,3040.6634277749395,36343.30758519131,18819.538105192296,26443.79781668575,3870.7561768269675,16548.955770848675,18253.274105690823,34802.229876539495,0.5122323267762493,0.07720560800671603,0.47114788857497625,0.6620215351511547,0.09690453557929862,0.9030954644207015,0.01947790171958594,0.013360146093943474,0.02362574573547131,0.0010326953985313652,0.07720560800671603,0.5244857634250478,0.32151198864786806,0.4503123997003717,0.006320299724812221,0.009316651234410287,311267614.221,0.2222222222222222,0.7777777777777778,0,0,low
Fifth Barnstable,21135.003457876905,41407.09589059403,37773.952369987965,299.00267379679144,74.53519668737059,649.8902830133543,0,441.02304147465435,1196.0054016585336,972.6869239753662,16967.67897745869,31239.129351056406,49.510495049504954,111469.04726890757,130043.80281690141,0,0,0,1076.182371380302,46.1836208158916,60.470096180622484,0,0,1.8435754189944134,0,26.968686916107224,292.8929661892587,83.3566171112287,0,0,46.51721060394979,0,0,32.94117647058824,0,13.87037037037037,16.71747319617502,71.46850787098465,40.001637393553736,146.14174388559456,2082.4399363252583,0,410.0959401591714,22.71540367894381,300.2861438140749,340.2992643653308,709.0919306500027,0,86.41993875887391,0,30,0,0,4128.1438350538365,0,1631.4610848775646,0.6036585365853658,118.99972308738074,0,0,0,0,28.238028330893094,100.65517385684609,6.923076923076923,280.87285378703825,521.5342869791965,21,11.294703238543285,54.97179333672311,55.966545069161945,361.2165877001715,90.6043956043956,4.392156862745098,6.538461538461539,0,0,239.01561954137827,168.66839406005624,12.87962962962963,0.6585365853658537,74.39893852277753,15.854014362424792,87.87884036052738,0,1739.9512070102423,40799.55479473753,2305.322641348707,38494.23215338882,14849.356428643163,23995.82829139933,3633.1435206060705,16287.093270991825,17411.51858498831,33698.61185598013,0.5104198447947155,0.056503622476930936,0.3586186403383175,0.579510051967933,0.0877420510292626,0.9122579489707375,0.007221049130970628,0.015695142801864122,0.02349082694776284,0.0018000585427267767,0.056503622476930936,0.5166835553761385,0.3656242092911295,0.3379407975453029,0.008218380377712813,0.012595287734189237,233962398.98,0.13636363636363635,0.8636363636363636,0,0,low
"Barnstable, Dukes and Nantucket",21708.762465237647,43255.83977922068,33192.597276053086,1863.189889068574,247.71434066626884,912.9533088696053,0,817.3797406801364,2550.329010188466,3671.676213694542,17087.24864794867,33739.24712097197,54.1136546184739,120049.7384057971,161730.88665710186,0,0,0,913.7276654406392,82.86117306925233,40.22786239298336,0,0,8.969696969696969,0,0,1181.9124032373868,79.37111095230922,26.333333333333332,0,122.02077784577129,0,0,6.787878787878788,0,8.470588235294118,0,17.75703201368524,50.0239132690113,148.39511050132367,1901.741653904662,0,647.5370542460428,82.90590111642743,268.276496310661,201.0852749176583,872.909747720152,0,31.083113597345097,0,56.68444138548544,0,26.277361853832442,3162.4715238236768,0,1175.7109031728717,16.96969696969697,76.68390978342558,0,0,0,0,85.47369459727146,30.676561888613538,51.864285714285714,519.7845720152159,823.8283732337898,0,199.28324670735154,14.425668449197861,86.44423007946142,312.04611358553535,146.8235294117647,0,11.346153846153847,0,0,96.80735627965123,62.571367752140794,8.297584541062802,0,67.18439708439708,3.8186480186480187,193.67960630568157,0,4460.913554939762,43339.45353153291,2819.728733729836,40519.72479780307,18678.354871253552,26082.41464887213,10063.242503167592,16409.95446964384,16983.57664420275,33393.53111384659,0.501868940148658,0.06506147410645725,0.4318111720079538,0.6029801937032707,0.23264471466814038,0.7673552853318595,0.04307371903027107,0.02110589722750387,0.08488278651934411,0.005726725961872697,0.06506147410645725,0.5085888217781356,0.25265356010646867,0.37703829848569087,0.004648742827419478,0.019045483278989347,439691619.368,0.3125,0.5625,0.125,0,low
First Berkshire,22226.507575757576,43776.121212121216,38632.818181818184,644,96,1346.0227272727273,0,191.11363636363637,1315.4166666666667,1550.75,19472.090909090908,30886.60606060606,48.52959337349397,75926.58326817826,102681.7397260274,0,0,0,1304.9890381148805,66.64889487958166,4,0,0,6,0,26,17.006772009029344,107.2774737320753,0,0,199.4388489208633,0,1.316546762589928,12,0,0.006772009029345372,0,49,100.56948211182747,58.57526349123861,1830.6783701706806,0,551.6877080728194,33.03837471783296,1128.1617162252141,989.121067931208,725.6054695746789,0,33.350406807736654,0,54.02483069977426,10,6,1533.874807152021,1.316546762589928,1666.0536239180212,0,6.015801354401806,0,0,0,0,125.02031602708804,103.203273949689,1.316546762589928,1168.7067573931824,67.21907530409082,0,55.22034201081573,57.01354401805869,41.933140620686295,258.1182422008218,0,8.024830699774267,21.879955178069732,0,0,40.510791366906474,98.67273494973773,37.75539568345324,28,51.74341068905598,45.01580135440181,60.00677200902935,0,3655.7609821849064,40605.51118112283,4876.50289880962,35729.0082823132,11103.825757575758,18985.666666666664,5143.30303030303,17769.92401383633,18358.039073030515,36127.96308686685,0.5077313147059556,0.12009460679014101,0.25365028810504137,0.43369915243677876,0.11749106334434435,0.8825089366556557,0.014711216575800283,0.030747875554128026,0.03542456382751908,0.0021929763839702286,0.12009460679014101,0.5081393332054192,0.4167542760509867,0.23293226994002228,0.022594991071464076,0.001535519215564454,914445458.443,0.5217391304347826,0.391304347826087,0.08695652173913043,0,very low
Second Berkshire,21864,43457,33154,2253,13,557,0,203,2919,4358,19510,32365,45.35952095808383,76183.87234042553,92731.59206798866,0,0,0,1722,131,0,0,0,18,0,0,42,112,0,11,48,0,0,0,0,54,6,33,63,50,1519,0,108,10,367,255,663,0,15,0,0,0,0,2340,0,2316,0,0,0,0,0,0,0,0,0,456,44,0,56,0,8,211,0,0,15,0,0,757,73,0,0,21,50,79,0,6205,42707,6372,36335,11078,20326,10303,16472,17698,34170,0.5031180247140852,0.1492027068162128,0.25491865522240376,0.4677267183652806,0.23708493453298662,0.7629150654670134,0.051844351888073265,0.012817267643877856,0.10028303840578043,2.9914628253215823e-4,0.1492027068162128,0.5179397131987123,0.3972202406977012,0.22279494672895045,0.005867869388130796,0.0010124951101088432,109972072.756,0.1875,0.5,0.1875,0.125,very low/low
Third Berkshire,21958.372727272726,42196.96363636364,37924.79090909091,413,42,554.9818181818182,13,180,1386.3909090909092,1682.8,18603.745454545453,32836.57272727272,53.96238850346879,108736.42021549512,133318.85167464116,0,0,0,1546.839348356026,73.35450978060527,28,0,0,45.950413223140494,0,23,113,204.73381294964028,2,0,89.56115107913669,0,1.6834532374100717,3,0,78.94214876033058,24,62,70.48920863309353,564.2775432546525,1649.8456210238421,0,355.2847374992568,1,360.1908853082823,332.9435459896545,801.3204114394435,0,70.68345323741008,0,32.99586776859504,8,0,2304.8934241036923,1.6834532374100717,2213.4334383732685,7,50,0,0,0,0,62.97520661157024,60.805755395683455,1.6834532374100717,586.376568166954,10.805755395683454,90,320.7841726618705,35,174.10071942446044,352.9602235566918,0,2.987603305785124,21.12230215827338,1.9917355371900827,0,151.4892086330935,81.31639812117248,30.207414233902135,0,80.29496402877697,26,3,0,2977.5483381889526,40676.689815090074,2921.3401510196804,37755.349664070396,16206.327272727272,23445.154545454545,4272.172727272728,16457.58775789286,18581.569474998512,35039.157232891375,0.52037802806147615,0.07181853204623188,0.38406382535925676,0.5556123598725112,0.10124360520554473,0.8987563947944552,0.009787434080780477,0.013152174240886785,0.039879646661349605,9.953322794014046e-4,0.07181853204623188,0.5303086872636289,0.3575275521048716,0.35580440217083065,0.007890225203377838,2.560789797295152e-4,1426753353.43,0.64,0.36,0,0,very low
First Bristol,22516.285576694547,43386.6455373179,35791.659106185805,1876.3920720583765,0,2145.2764424790894,0,460.32342657342656,1371.2332773187313,1741.7612127024724,15803.989440395497,29255.07881023992,41.78528925619835,137798.1966942149,158663.06112054328,0,23,0,1404.5008742042864,307.5839371980676,13.67741935483871,0,16,0,0,0,172.92261904761907,14.154121863799283,39.67119565217391,0,14.917044798283971,0,5.652173913043478,0,0,0,0,38,87.56319152251831,89.01249651333184,877.4255105267913,2.826086956521739,208.01848777145267,15.444444444444445,382.07668820216264,486.6854478584328,324.34890760885935,0,196.09916051507093,0,28.333333333333336,0,0,5549.020655071285,13.222222222222223,2244.686715172277,17.5,39.95311167945439,0,0,0,0,9,38.69144288150043,0,411.1329327429896,447.81291479892565,9,156.6029411764706,41.075268817204304,139.4503648233487,331.85967625713215,0,0,29,0,0,708.1575072057809,144.31372549019608,0,7,67.1238354037267,0,441.5209260656109,0,3123.419311296281,41826.54672716445,2037.5132459832926,39789.03348118116,15535.403030655762,22067.326740630782,7594.986431132095,16584.220660833293,16845.788604127953,33430.00926496125,0.5189681132948558,0.04871339867654003,0.3580687752708005,0.5086202555496055,0.1750535524715656,0.8249464475284345,0.04324814810687419,0.04944554749303874,0.04014509974513567,0,0.04871339867654003,0.503912172761029,0.27094832178323214,0.3160602584880854,0.011217402079167953,0.010321445902374523,123193031.894,0,0.9523809523809523,0.047619047619047616,0,low
