district,gender_female,total_population,race_white,race_black,race_native_american,race_asian,race_hawaiian,race_other,race_multiracial,race_hispanic,total_households,ed_25yrs_older_total,median_age,median_household_income,median_family_income,ancestry_afghan,ancestry_albanian,ancestry_alsatian,ancestry_american,ancestry_arab,ancestry_armenian,ancestry_assyrian,ancestry_australian,ancestry_austrian,ancestry_basque,ancestry_belgian,ancestry_brazilian,ancestry_british,ancestry_bulgarian,ancestry_cajun,ancestry_canadian,ancestry_carpatho_rusyn,ancestry_celtic,ancestry_croatian,ancestry_cypriot,ancestry_czech,ancestry_czechoslovakian,ancestry_danish,ancestry_dutch,ancestry_eastern_european,ancestry_english,ancestry_estonian,ancestry_european,ancestry_finnish,ancestry_french,ancestry_french_canadian,ancestry_german,ancestry_german_russian,ancestry_greek,ancestry_guyanese,ancestry_hungarian,ancestry_icelander,ancestry_iranian,ancestry_irish,ancestry_israeli,ancestry_italian,ancestry_latvian,ancestry_lithuanian,ancestry_luxembourger,ancestry_macedonian,ancestry_maltese,ancestry_new_zealander,ancestry_northern_european,ancestry_norwegian,ancestry_pennsylvania_german,ancestry_polish,ancestry_portuguese,ancestry_romanian,ancestry_russian,ancestry_scandinavian,ancestry_scotch_irish,ancestry_scottish,ancestry_serbian,ancestry_slavic,ancestry_slovak,ancestry_slovene,ancestry_soviet_union,ancestry_subsaharan_african,ancestry_swedish,ancestry_swiss,ancestry_turkish,ancestry_ukrainian,ancestry_welsh,ancestry_west_indian,ancestry_yugoslavian,ancestry_other,poverty_total,below_poverty_level,above_poverty_level,ed_college_degree,ed_some_college,race_minority,vote_male_eligible,vote_female_eligible,vote_eligible,gender_female_pct,below_poverty_pct,ed_college_degree_pct,ed_some_college_pct,race_minority_pct,race_white_pct,race_black_pct,race_asian_pct,race_hispanic_pct,race_native_pct,poverty_pct,vote_female_pct,wwc_pct,white_college_pct,ancestry_french_candadian_pct,ancestry_portuguese_pct,area_m2,very_low_density_pct,low_density_pct,medium_density_pct,high_density_pct,density_type
"Berkshire, Hampden, Franklin and Hampshire",85403.77083333333,167904.5625,144867.125,3516.0833333333335,198.02083333333334,2772.5,29,720.0416666666666,6879.020833333333,8922.770833333334,74051.5625,125873.0625,51.20577634754624,91400.55205411649,113339.09177755032,0,0,0,6896.139303541658,362.51866308493743,40.605633802816904,4,0,80.14611872146119,0,49,192,511.4389181594661,2,11,396.19515279241307,0,3,18,0,150.18650717087917,44,189.63076923076923,281.03652968036533,817.3920509357515,7141.14076393733,0,1598.0332240015437,122,2634.537400871686,2459.8604956044665,2945.3415544902714,0,155.0776245813483,0,146,18,13,7846.6567713976165,3,7046.755814126063,11.446153846153846,122.90250176860248,0,15,0,0,314.6613267239545,237.67605633802816,3,3405.074823510787,229.46045503791981,103,723.4190732028278,115.853431088816,291.0913242009133,1113.991875807002,0,40,67.50707391521591,2,0,965.8704225352112,386.60916902892586,78.95774647887325,63.478873239436616,277.4662154875159,161.31296101159114,156.34703196347033,0,14716.65167089647,163376.166589986,17072.17063377808,146303.99595620792,50873.041666666664,83246.6875,23037.4375,67017.1377976323,70955.9077031914,137973.0455008237,0.508644729849633,0.10449609015874965,0.30298784564991593,0.49579764992985226,0.1372055479433443,0.8627944520566557,0.020940963610404175,0.01651235653587436,0.05314192003170452,0.0011793654108317238,0.10449609015874965,0.5142736934278065,0.3992263036258215,0.2787278420791597,0.014650349335233022,0.0013666123875455726,4341726432.12,0.53125,0.359375,0.078125,0.03125,very low
Hampden and Hampshire,84597.54337971748,165464.69673164963,119598.15251423151,3487.2240275142312,73,4646.145161290322,10,705,4483.472478238607,32461.702550374986,69801.07807370259,118851.32971145448,44.06987060998152,85921.44683346365,107339.90025795357,102,325,15,11975.736863619471,1436.3076923076924,54,0,22,16,0,0,104,284.6615384615385,51,0,359.4704384986994,0,17,0,0,125,26,55.66270903010034,25,166,2787.895596432553,0,674.6,46,3231.0171311780005,3368.4234113712378,1701.0313080639169,14,301.6376068376069,12,15,0,31,6774.798736529172,0,5336.927796358232,0.5538461538461539,141,0,0,0,0,23.43076923076923,51,0,5265.770680044593,712.1210888145671,257,1404.6307692307691,56,98.28888888888889,370.7680044593088,0,23,98.82508361204013,50,0,492.8666666666667,116.43076923076923,18,561,1803.4153846153845,56.769230769230774,468.3333333333333,212,27377.7011148272,161445.8125975474,21348.256447417316,140097.55615013005,38717.009702268006,72731.3279965212,45866.54421741815,62601.881716833894,67131.1875696767,129733.06928651058,0.5112724650679875,0.13223171356345,0.2339895486289694,0.4395579808451633,0.27719836994476493,0.7228016300552352,0.02107533568426264,0.028079374350320978,0.19618506661285773,4.4118172300156136e-4,0.13223171356345,0.5174562502750937,0.35692383643214737,0.1980072752477878,0.020357354033254244,0.004303764506150118,489907760.877,0.11864406779661017,0.3728813559322034,0.288135593220339,0.22033898305084745,low/medium
Hampden,86559.60353860327,167177.20221615006,50515.412795252625,26515.89560003315,108,3481.50399015163,0,480.9673109243697,4707.738812419479,81367.68370736884,63681.682544415955,106529.8656399674,36.62004310344828,60974.33562992126,76385.45205479451,0,0,0,6546.928383694409,675.587959127313,56.23529411764706,0,0,1,24.529411764705884,7.0588235294117645,16.04705882352941,43.39705882352941,0,12,352.0141501269398,0,0,0,0,0,9,13.294117647058822,20,92.49019607843137,783.0736513612117,10,298.2076467862905,0,1794.1916305348432,1726.1168547598804,321.7427266869189,0,488.381389748882,32,6,0,26.315789473684212,3299.84329759214,0,1862.7105168346682,0,12.890625,0,0,0,0,29.225352112676056,5,15,3091.0314212234184,849.98633779803,13,240.5223774509804,0,256.2208118335053,183.08756697045015,5,17.647058823529413,0,0,0,2005.4007843137256,41.674509803921566,0,32,115,0,3390.4951186790504,0,70430.04947914397,160308.13361912058,41536.47443856681,118771.65918055373,20040.102253956888,48158.38674726186,116661.78942089746,55546.023704595995,63300.20818986287,118846.23189445886,0.5177715764538691,0.25910397370887106,0.11987341568287667,0.288067907040315,0.6978331248184234,0.3021668751815767,0.15860951881315546,0.02082523181390639,0.48671518980300504,6.460210995776954e-4,0.25910397370887106,0.532622761200174,0.16646144640630628,0.061990195248781674,0.010325073226958992,0.005084343597873165,88261672.0809,0,0.10714285714285714,0.5535714285714286,0.3392857142857143,medium
"Hampden, Hampshire and Worcester",86337.07373960424,166459.72120402916,134121.18021616575,5822.373494145746,45,4853.766721573919,13,857.0326890756302,5861.904927423349,14885.463155644742,66373.10416218972,120174.42848110628,45.108961085326655,102626.0320834944,126972.19214313496,0,45,0,11553.113302440452,337.41714973946455,246.60308972073676,0,0,33.076190476190476,8.470588235294118,20.941176470588236,224.95294117647057,178.56519352266454,0,0,801.3759424435837,0,0,0,0,9,0,20.41240409207161,120.91240875912409,248.13606654783123,4205.873395717732,15,1249.5932190145754,136,4137.346211258765,5146.010309955901,1453.4950495978158,0,672.836045472901,22,38,0,141.63875598086125,8223.991324722578,6,5177.258200540606,12.378787878787879,200.109375,0,0,0,0,79.77464788732394,106.26152832674572,20,6389.846039688812,3946.818916150331,43.72727272727273,748.3236067705841,11,202.58726897457547,605.081311068249,29,27.352941176470587,62.28260869565217,1.303030303030303,0,625.6515025298656,311.00196299863813,0,363,262.8489240228371,45.33645922136971,756.5726175063328,0,16694.555265582283,161408.01080140675,13613.517636623546,147794.49316478326,47661.26007046018,80392.63740712563,32338.540987863387,62636.11460999432,68736.58080675824,131372.69541675257,0.5186664564563409,0.0843422675803455,0.2863230799962828,0.4829554971354819,0.19427246876273532,0.8057275312372646,0.034977671787695,0.029158806025060397,0.08942381404928389,2.703356684398362e-4,0.0843422675803455,0.5232181663678721,0.3607931378469808,0.24738760758777334,0.030914447487560382,0.023710353997966435,713638098.876,0.19402985074626866,0.40298507462686567,0.29850746268656714,0.1044776119402985,low/medium
"Hampshire, Franklin and Worcester",87877.22916666667,168416.4375,135422.875,4070.9166666666665,67.97916666666667,8648.5,21,718.9583333333334,7740.979166666667,11725.229166666666,64818.4375,107186.9375,44.827647589004066,88882.22663776494,110613.89600385171,7,50,0,5807.564192961839,509.17364460737025,216.66709346991038,0,15,72.85388127853881,0,8,259,526.8995433789954,39,13,514.8810709838108,0,18,16,0,93.81349282912085,27,21,308.9634703196347,604.092797549097,6592.243152146587,0,2753.1849578166384,413,2334.3057226714373,3453.834143090173,2379.3346692859523,0,286.32820292447923,3,59,31,264.04545454545456,6598.205932565087,5,3380.3071229368743,18.62121212121212,389.09749823139754,0,55,0,0,305.9079040452762,164.64212548015365,26,4177.880188144225,496.0791720017072,268.27272727272725,540.3592484754938,40.146568911184,385.8783727687837,884.666865451739,0,30,25.385233777091774,0.696969696969697,0,626.7174562526675,580.7630920433351,61.04225352112676,87.52112676056338,171.81536959406918,104.91780821917808,514.3499377334995,0,16354.842734697933,146820.3835265641,21161.777617970172,125658.60590859395,50287.958333333336,77047.3125,32993.5625,63695.06849607399,72025.64194715823,135720.7104432322,0.5217853463185069,0.1441337851711945,0.29859293475040605,0.4574809540191111,0.1959046455901907,0.8040953544098093,0.024171730070389752,0.05135187591175594,0.06962045594074905,4.0363736269309624e-4,0.1441337851711945,0.5306901335244951,0.295202169734352,0.25585028786397407,0.02050770218370266,0.002945550798755657,2027368385.27,0.49230769230769234,0.35384615384615387,0.09230769230769231,0.06153846153846154,very low/low
Worcester and Hampshire,83608.84178112092,167945.28908612047,140951.16479718592,5560.34632144585,126,3673.863803649181,44,620.625,5734.729820575923,11234.559343263609,65445.42650777124,121589.62599545656,46.18618266978923,105471.54228267298,125776.29916640939,8.571428571428571,1403.0683498519024,0,11868.306167158491,771.5138736381318,305.30315170940173,6.285714285714286,14.153846153846153,14,0,0,770.5685044015677,145.9821085560617,11,30,335.16058394160586,0,0,0,0,19.145454545454545,19,82,67.80187695516162,154.03733693207377,5151.0937910637695,17,749.9811070535156,772.4756097560976,4087.098326748034,5203.672589520374,1296.6847106108307,0,757.060606060606,0,80,0,86.71428571428572,8782.52662433666,9.025641025641026,5037.775909267997,16,580.3882783882784,0,0,7,0,121.26829268292683,49.03508771929825,8,3007.1493834346566,523.1428571428571,38.018315018315015,221.67439863737687,92.02564102564102,228.165991902834,994.5391737353907,0,0,12,2,0,1345.8309970731025,1334.4913149350648,0,10,116.1070707070707,33.67667483660131,838.2020810587761,0,11724.237665540653,162303.9614995055,13340.13836623521,148963.82313327029,43700.859316185895,77301.61473653652,26994.124288934563,63852.383616785686,65929.6780403558,129782.06165714149,0.4978338019249069,0.0821923152274743,0.2602089022799358,0.4602785535526222,0.16073165514688703,0.8392683448531131,0.033108081516919276,0.021875360860912657,0.06689416180946077,7.502443247180848e-4,0.0821923152274743,0.5080030105742114,0.3950746585303693,0.2342277722209963,0.030984331968085085,0.003114959996732003,1598959338.1,0.3561643835616438,0.410958904109589,0.1506849315068493,0.0821917808219178,very low/low
Worcester and Hampden,94105.63280423281,183204.64232804233,151365.144973545,3250.506878306878,69,3450.0285714285715,45,988,6182.130158730158,17854.83174603175,71286.18835978836,130845.41481481481,43.96977434679336,115207.66848816029,133533.00279503106,5,183,0,7137.578780992779,1262.4057971014493,560,0,0,65.92380952380952,0,0,839,416.9428571428572,0,0,558.9026612129476,0,0,0,0,25,34,6,448,156,5318.6150987224155,0,2250.3809523809523,87,5661.95656213705,6588.645296167248,2073.5013785790034,0,376.7391304347826,0,17,6,11,10983.341301822957,32,7403.902721809827,14,364,18,0,15,0,19,195.42028985507247,0,4641.417027723072,1587.5340301974447,379,190.6248447204969,126,208.93333333333334,969.391304347826,72,17,107,0,0,1645.4931677018635,875.5204968944099,185,41,313.5652173913044,23.768115942028984,314,0,15029.031469979294,181040.71308387618,12961.551997172146,168079.16108670403,46451.003174603175,84400.66878306877,31839.497354497355,68641.93177801343,72489.25351714386,141131.1852951573,0.5136640185990989,0.07159468042509895,0.2535470858398282,0.4606906665167509,0.17379197901266186,0.8262080209873381,0.01774249187685206,0.018831556491079652,0.0974584023589384,3.766280107490402e-4,0.07159468042509895,0.5136303033630882,0.3938382953778885,0.22406932566725846,0.03596330973081872,0.008665359185357541,1187265478.01,0.20634920634920634,0.6507936507936508,0.09523809523809523,0.047619047619047616,low
Second Worcester,84535.77650127649,169026.78235653238,104960.26381951383,11029.53801753802,93,21224.334609834612,0,3671.4337606837607,9365.648545898544,18682.563603063598,65065.164807414796,117933.78871128873,40.99839786381841,120725.6986754967,144256.0877110694,68,391.3437834224599,0,3866.756259201645,1863.1513275166526,413.6694078947369,0,50,194,0,15,4516.986338411413,47.44230769230769,10,70,338.4627450980392,0,13,10,30,76.96042780748664,14,79,107,219,3089.3429974679534,0,1291.2081117021276,62.93597285067873,1987.313042124193,1971.1732268729413,1661.9635175282235,0,643.2724886703808,28,98,0,392.75,7657.832949005914,12,6373.767977069828,25,773.2065359477125,0,0,0,0,39,155.73684210526315,0,2289.969976088071,820.6944444444445,74,580.4605263157895,82.98076923076923,204.88366013071897,473.8897832817337,10,34,54,0,0,4868.609570501445,871.2095254010695,144,108,109.78181818181818,0.21875,622.7665318706464,20,32306.809262298644,164574.89813070334,15301.61458838376,149273.2835423196,57101.24922299923,81800.46708846709,64066.518537018535,56920.3645090564,59352.79429927566,116273.15880833205,0.50013243654466,0.09297660069782579,0.33782367756699144,0.4839497383078815,0.3790317584220555,0.6209682415779444,0.06525319753335387,0.12556787932616262,0.11053019730125374,5.502086634047899e-4,0.09297660069782579,0.5104599798231548,0.2379856995105179,0.22755655563096738,0.011661898779538363,0.004855410681091552,285248943.936,0.04838709677419355,0.5,0.1935483870967742,0.25806451612903225,low/high
First Worcester,85241.05655733157,167807.38305860804,92611.26578976579,14578.530755355754,166,11307.225066600067,80,2007.9412393162393,8383.412992562993,38673.007215007216,64367.73290320791,112023.82966477965,39.65868290482634,107615.6006006006,131283.2913631634,6.428571428571428,2804.5878667256375,0,3484.376746389255,1617.9238928769887,477.9163292847503,4.714285714285714,7.846153846153847,10,0,42,2766.676864504093,202.67047426257952,11,0,172.5372549019608,0,0,13,0,34.89411764705882,0,7,109.28571428571428,425.8515519568151,2961.2825287602045,6,774.62785441508845,245.06402714932128,1445.685191988186,2069.0929409504633,1191.002646132677,0,870.6669052690132,118,101,0,179.53571428571428,6729.668915686411,6.9743589743589745,4149.593941055907,7,451.4051856640092,0,0,0,0,141,228.22807017543857,0,1602.8604601423654,371.16269841269843,46.98168498168498,732.9851551956815,61.993589743589745,170.95034796644705,559.8646026831785,97,7,0,31,0,5993.5594324254525,584.2991596638656,14,34,199,5,1822.933347854891,158,37494.43841020429,158911.76161470474,27450.266566535884,131461.49504816887,48161.64833499834,72353.9915806416,75196.11726884227,58275.2645027213,61401.33329243088,119676.59779515218,0.5079696435499531,0.1727390489389415,0.28700553847608423,0.43117287369514246,0.4481097070835044,0.5518902929164957,0.08687657533080108,0.06738216674680476,0.2304607014907107,9.892294187200524e-4,0.1727390489389415,0.5130604848704857,0.19862495712998618,0.20344801569890048,0.012330166308760184,0.0022118377132612035,277203455.525,0.07462686567164178,0.29850746268656714,0.2537313432835821,0.373134328358209,low/high
Worcester and Middlesex,88880.21796676992,177074.46212334553,123202.63897493664,6424.405801182766,54,9556.042523232893,25,1491,8183.4249507181075,28137.949873275134,68957.33905941987,125114.23936919178,41.81963833634719,120460.532414307,137697.5064102564,26,29,0,5037.74064171123,1108.9732620320856,153,0,8,17,0,0,1862.0784531107342,286,82,6,498.62566844919786,0,0,73,0,71,29,16,118,243.80748663101605,4283.749184818051,0,1450.0652797704447,721.4067431850789,3167.452523803313,4199.855223685927,1713.351636885353,0,518.951871657754,0,170,0,30,8531.94163297248,66,5670.010695187166,7,79,0,0,0,0,143.7317073170732,130.80213903743316,0,1401.4438502673797,1701.4598930481284,84.92513368983957,772.8770053475936,32.93048128342246,267,882.3344854571541,0,38,28,1,0,1707.24064171123,439.66310160427804,0,148.84491978609626,273,71.78609625668449,510.7647058823529,0,24680.089343941567,172241.85372375115,14882.680905178035,157359.1728185731,51946.00225288651,82694.35342157139,53871.823148408905,65656.33194208947,65677.91730794313,131334.2492500326,0.5019369642634196,0.08640571721346842,0.293356826444585,0.4670032732555676,0.3042325951603522,0.6957674048396478,0.03628081499808645,0.053966237754693266,0.15890461863255562,3.049564536436936e-4,0.08640571721346842,0.5000821772156804,0.29344430848002256,0.23252750454618876,0.023718017682077812,0.009608725462980286,670396941.477,0.16393442622950818,0.5573770491803278,0.16393442622950818,0.11475409836065574,low
