office_branch,office_id,office,district,district_display,district_id
Legislative,8,State Representative,First Barnstable,1st Barnstable,58733
Legislative,8,State Representative,Second Barnstable,2nd Barnstable,58734
Legislative,8,State Representative,Third Barnstable,3rd Barnstable,58735
Legislative,8,State Representative,Fourth Barnstable,4th Barnstable,58736
Legislative,8,State Representative,"Barnstable, Dukes and Nantucket","Barnstable, Dukes and Nantucket",62910
Legislative,8,State Representative,First Berkshire,1st Berkshire,58738
Legislative,8,State Representative,Second Berkshire,2nd Berkshire,58739
Legislative,8,State Representative,Third Berkshire,3rd Berkshire,58740
Legislative,8,State Representative,Fourth Berkshire,4th Berkshire,58741
Legislative,8,State Representative,First Bristol,1st Bristol,58742
Legislative,8,State Representative,Second Bristol,2nd Bristol,58743
Legislative,8,State Representative,Third Bristol,3rd Bristol,58744
Legislative,8,State Representative,Fourth Bristol,4th Bristol,58745
Legislative,8,State Representative,Fifth Bristol,5th Bristol,58746
Legislative,8,State Representative,Sixth Bristol,6th Bristol,58747
Legislative,8,State Representative,Seventh Bristol,7th Bristol,58748
Legislative,8,State Representative,Eighth Bristol,8th Bristol,58749
Legislative,8,State Representative,Ninth Bristol,9th Bristol,58750
Legislative,8,State Representative,Tenth Bristol,10th Bristol,58751
Legislative,8,State Representative,Eleventh Bristol,11th Bristol,58752
Legislative,8,State Representative,Twelfth Bristol,12th Bristol,58753
Legislative,8,State Representative,Thirteenth Bristol,13th Bristol,58754
Legislative,8,State Representative,Fourteenth Bristol,14th Bristol,58755
Legislative,8,State Representative,First Essex,1st Essex,58756
Legislative,8,State Representative,Second Essex,2nd Essex,58757
Legislative,8,State Representative,Third Essex,3rd Essex,58758
Legislative,8,State Representative,Fourth Essex,4th Essex,58759
Legislative,8,State Representative,Fifth Essex,5th Essex,58760
Legislative,8,State Representative,Sixth Essex,6th Essex,58761
Legislative,8,State Representative,Seventh Essex,7th Essex,58762
Legislative,8,State Representative,Eighth Essex,8th Essex,58763
Legislative,8,State Representative,Ninth Essex,9th Essex,58764
Legislative,8,State Representative,Tenth Essex,10th Essex,58765
Legislative,8,State Representative,Eleventh Essex,11th Essex,58766
Legislative,8,State Representative,Twelfth Essex,12th Essex,58767
Legislative,8,State Representative,Thirteenth Essex,13th Essex,58768
Legislative,8,State Representative,Fourteenth Essex,14th Essex,58769
Legislative,8,State Representative,Fifteenth Essex,15th Essex,58770
Legislative,8,State Representative,Sixteenth Essex,16th Essex,58771
Legislative,8,State Representative,Seventeenth Essex,17th Essex,58772
Legislative,8,State Representative,First Franklin,1st Franklin,58774
Legislative,8,State Representative,Second Franklin,2nd Franklin,58775
Legislative,8,State Representative,First Hampden,1st Hampden,58776
Legislative,8,State Representative,Second Hampden,2nd Hampden,58777
Legislative,8,State Representative,Third Hampden,3rd Hampden,58778
Legislative,8,State Representative,Fourth Hampden,4th Hampden,58779
Legislative,8,State Representative,Fifth Hampden,5th Hampden,58780
Legislative,8,State Representative,Sixth Hampden,6th Hampden,58781
Legislative,8,State Representative,Seventh Hampden,7th Hampden,58782
Legislative,8,State Representative,Eighth Hampden,8th Hampden,58783
Legislative,8,State Representative,Ninth Hampden,9th Hampden,58784
Legislative,8,State Representative,Tenth Hampden,10th Hampden,58785
Legislative,8,State Representative,Eleventh Hampden,11th Hampden,58786
Legislative,8,State Representative,Twelfth Hampden,12th Hampden,58787
Legislative,8,State Representative,Thirteenth Hampden,13th Hampden,64662
Legislative,8,State Representative,First Hampshire,1st Hampshire,58788
Legislative,8,State Representative,Second Hampshire,2nd Hampshire,58789
Legislative,8,State Representative,Third Hampshire,3rd Hampshire,58790
Legislative,8,State Representative,First Middlesex,1st Middlesex,58791
Legislative,8,State Representative,Second Middlesex,2nd Middlesex,58792
Legislative,8,State Representative,Third Middlesex,3rd Middlesex,58793
Legislative,8,State Representative,Fourth Middlesex,4th Middlesex,58794
Legislative,8,State Representative,Fifth Middlesex,5th Middlesex,58795
Legislative,8,State Representative,Sixth Middlesex,6th Middlesex,58796
Legislative,8,State Representative,Seventh Middlesex,7th Middlesex,58797
Legislative,8,State Representative,Eighth Middlesex,8th Middlesex,58798
Legislative,8,State Representative,Ninth Middlesex,9th Middlesex,58799
Legislative,8,State Representative,Tenth Middlesex,10th Middlesex,58800
Legislative,8,State Representative,Eleventh Middlesex,11th Middlesex,58801
Legislative,8,State Representative,Twelfth Middlesex,12th Middlesex,58802
Legislative,8,State Representative,Thirteenth Middlesex,13th Middlesex,58803
Legislative,8,State Representative,Fourteenth Middlesex,14th Middlesex,58804
Legislative,8,State Representative,Fifteenth Middlesex,15th Middlesex,58805
Legislative,8,State Representative,Sixteenth Middlesex,16th Middlesex,58806
Legislative,8,State Representative,Seventeenth Middlesex,17th Middlesex,58807
Legislative,8,State Representative,Eighteenth Middlesex,18th Middlesex,58808
Legislative,8,State Representative,Nineteenth Middlesex,19th Middlesex,58809
Legislative,8,State Representative,Twentieth Middlesex,20th Middlesex,58810
Legislative,8,State Representative,Twenty-First Middlesex,21st Middlesex,58811
Legislative,8,State Representative,Twenty-Second Middlesex,22nd Middlesex,58812
Legislative,8,State Representative,Twenty-Third Middlesex,23rd Middlesex,58813
Legislative,8,State Representative,Twenty-Fourth Middlesex,24th Middlesex,58814
Legislative,8,State Representative,Twenty-Fifth Middlesex,25th Middlesex,58815
Legislative,8,State Representative,Twenty-Sixth Middlesex,26th Middlesex,58816
Legislative,8,State Representative,Twenty-Seventh Middlesex,27th Middlesex,58817
Legislative,8,State Representative,Twenty-Eighth Middlesex,28th Middlesex,58818
Legislative,8,State Representative,Twenty-Ninth Middlesex,29th Middlesex,58819
Legislative,8,State Representative,Thirtieth Middlesex,30th Middlesex,58820
Legislative,8,State Representative,Thirty-First Middlesex,31st Middlesex,58821
Legislative,8,State Representative,Thirty-Second Middlesex,32nd Middlesex,58822
Legislative,8,State Representative,Thirty-Third Middlesex,33rd Middlesex,58823
Legislative,8,State Representative,Thirty-Fourth Middlesex,34th Middlesex,58824
Legislative,8,State Representative,Thirty-Fifth Middlesex,35th Middlesex,58825
Legislative,8,State Representative,Thirty-Sixth Middlesex,36th Middlesex,58826
Legislative,8,State Representative,Thirty-Seventh Middlesex,37th Middlesex,58827
Legislative,8,State Representative,Thirty-Eighth Middlesex,38th Middlesex,64663
Legislative,8,State Representative,Thirty-Ninth Middlesex,39th Middlesex,64664
Legislative,8,State Representative,First Norfolk,1st Norfolk,58828
Legislative,8,State Representative,Second Norfolk,2nd Norfolk,58829
Legislative,8,State Representative,Third Norfolk,3rd Norfolk,58830
Legislative,8,State Representative,Fourth Norfolk,4th Norfolk,58831
Legislative,8,State Representative,Fifth Norfolk,5th Norfolk,58832
Legislative,8,State Representative,Sixth Norfolk,6th Norfolk,58833
Legislative,8,State Representative,Seventh Norfolk,7th Norfolk,58834
Legislative,8,State Representative,Eighth Norfolk,8th Norfolk,58835
Legislative,8,State Representative,Ninth Norfolk,9th Norfolk,58836
Legislative,8,State Representative,Tenth Norfolk,10th Norfolk,58837
Legislative,8,State Representative,Eleventh Norfolk,11th Norfolk,58838
Legislative,8,State Representative,Twelfth Norfolk,12th Norfolk,58839
Legislative,8,State Representative,Thirteenth Norfolk,13th Norfolk,58840
Legislative,8,State Representative,Fourteenth Norfolk,14th Norfolk,58841
Legislative,8,State Representative,Fifteenth Norfolk,15th Norfolk,58842
Legislative,8,State Representative,First Plymouth,1st Plymouth,58843
Legislative,8,State Representative,Second Plymouth,2nd Plymouth,58844
Legislative,8,State Representative,Third Plymouth,3rd Plymouth,58845
Legislative,8,State Representative,Fourth Plymouth,4th Plymouth,58846
Legislative,8,State Representative,Fifth Plymouth,5th Plymouth,58847
Legislative,8,State Representative,Sixth Plymouth,6th Plymouth,58848
Legislative,8,State Representative,Seventh Plymouth,7th Plymouth,58849
Legislative,8,State Representative,Eighth Plymouth,8th Plymouth,58850
Legislative,8,State Representative,Ninth Plymouth,9th Plymouth,58851
Legislative,8,State Representative,Tenth Plymouth,10th Plymouth,58852
Legislative,8,State Representative,Eleventh Plymouth,11th Plymouth,58853
Legislative,8,State Representative,Twelfth Plymouth,12th Plymouth,58854
Legislative,8,State Representative,First Suffolk,1st Suffolk,58855
Legislative,8,State Representative,Second Suffolk,2nd Suffolk,58856
Legislative,8,State Representative,Third Suffolk,3rd Suffolk,58857
Legislative,8,State Representative,Fourth Suffolk,4th Suffolk,58858
Legislative,8,State Representative,Fifth Suffolk,5th Suffolk,58859
Legislative,8,State Representative,Sixth Suffolk,6th Suffolk,58860
Legislative,8,State Representative,Seventh Suffolk,7th Suffolk,58861
Legislative,8,State Representative,Eighth Suffolk,8th Suffolk,58862
Legislative,8,State Representative,Ninth Suffolk,9th Suffolk,58863
Legislative,8,State Representative,Tenth Suffolk,10th Suffolk,58864
Legislative,8,State Representative,Eleventh Suffolk,11th Suffolk,58865
Legislative,8,State Representative,Twelfth Suffolk,12th Suffolk,58866
Legislative,8,State Representative,Thirteenth Suffolk,13th Suffolk,58867
Legislative,8,State Representative,Fourteenth Suffolk,14th Suffolk,58868
Legislative,8,State Representative,Fifteenth Suffolk,15th Suffolk,58869
Legislative,8,State Representative,Sixteenth Suffolk,16th Suffolk,58870
Legislative,8,State Representative,Seventeenth Suffolk,17th Suffolk,58871
Legislative,8,State Representative,Eighteenth Suffolk,18th Suffolk,58872
Legislative,8,State Representative,Nineteenth Suffolk,19th Suffolk,58873
Legislative,8,State Representative,First Worcester,1st Worcester,58874
Legislative,8,State Representative,Second Worcester,2nd Worcester,58875
Legislative,8,State Representative,Third Worcester,3rd Worcester,58876
Legislative,8,State Representative,Fourth Worcester,4th Worcester,58877
Legislative,8,State Representative,Fifth Worcester,5th Worcester,58878
Legislative,8,State Representative,Sixth Worcester,6th Worcester,58879
Legislative,8,State Representative,Seventh Worcester,7th Worcester,58880
Legislative,8,State Representative,Eighth Worcester,8th Worcester,58881
Legislative,8,State Representative,Ninth Worcester,9th Worcester,58882
Legislative,8,State Representative,Tenth Worcester,10th Worcester,58883
Legislative,8,State Representative,Eleventh Worcester,11th Worcester,58884
Legislative,8,State Representative,Twelfth Worcester,12th Worcester,58885
Legislative,8,State Representative,Thirteenth Worcester,13th Worcester,58886
Legislative,8,State Representative,Fourteenth Worcester,14th Worcester,58887
Legislative,8,State Representative,Fifteenth Worcester,15th Worcester,58888
Legislative,8,State Representative,Sixteenth Worcester,16th Worcester,58889
Legislative,8,State Representative,Seventeenth Worcester,17th Worcester,58890
Legislative,8,State Representative,Twentieth Suffolk,20th Suffolk,64688
Legislative,9,State Senate,"Berkshire, Hampden, Hampshire and Franklin","Berkshire, Hampden, Hampshire and Franklin",64657
Legislative,9,State Senate,First Bristol,1st Bristol,64659
Legislative,9,State Senate,Second Bristol,2nd Bristol,64660
Legislative,9,State Senate,Cape and Islands,Cape and Islands,58698
Legislative,9,State Senate,First Essex,1st Essex,58699
Legislative,9,State Senate,Second Essex,2nd Essex,55780
Legislative,9,State Senate,Third Essex,3rd Essex,64702
Legislative,9,State Senate,First Essex and Middlesex,1st Essex and Middlesex,58700
Legislative,9,State Senate,Second Essex and Middlesex,2nd Essex and Middlesex,58701
Legislative,9,State Senate,Hampden,Hampden,58703
Legislative,9,State Senate,First Hampden and Hampshire,1st Hampden and Hampshire,58704
Legislative,9,State Senate,Second Hampden and Hampshire,2nd Hampden and Hampshire,58705
Legislative,9,State Senate,Hampshire and Franklin,Hampshire and Franklin,58706
Legislative,9,State Senate,First Middlesex,1st Middlesex,58707
Legislative,9,State Senate,Second Middlesex,2nd Middlesex,58708
Legislative,9,State Senate,Third Middlesex,3rd Middlesex,58709
Legislative,9,State Senate,Fourth Middlesex,4th Middlesex,58710
Legislative,9,State Senate,Fifth Middlesex,5th Middlesex,64661
Legislative,9,State Senate,First Middlesex and Norfolk,1st Middlesex and Norfolk,58712
Legislative,9,State Senate,"Middlesex, Norfolk & Worcester","Middlesex, Norfolk & Worcester",64655
Legislative,9,State Senate,Middlesex and Worcester,Middlesex and Worcester,58715
Legislative,9,State Senate,Middlesex and Suffolk,Middlesex and Suffolk,64656
Legislative,9,State Senate,"Middlesex, Suffolk and Essex","Middlesex, Suffolk and Essex",58714
Legislative,9,State Senate,"Norfolk, Bristol and Middlesex","Norfolk, Bristol and Middlesex",58717
Legislative,9,State Senate,"Norfolk, Bristol and Plymouth","Norfolk, Bristol and Plymouth",58716
Legislative,9,State Senate,Norfolk and Plymouth,Norfolk and Plymouth,58718
Legislative,9,State Senate,Norfolk and Suffolk,Norfolk and Suffolk,64862
Legislative,9,State Senate,Plymouth and Barnstable,Plymouth and Barnstable,58719
Legislative,9,State Senate,Plymouth and Norfolk,Plymouth and Norfolk,58722
Legislative,9,State Senate,First Plymouth and Bristol,1st Plymouth and Bristol,58720
Legislative,9,State Senate,Second Plymouth and Bristol,2nd Plymouth and Bristol,58721
Legislative,9,State Senate,First Suffolk,1st Suffolk,58723
Legislative,9,State Senate,Second Suffolk,2nd Suffolk,58724
Legislative,9,State Senate,Suffolk and Middlesex,Suffolk and Middlesex,64878
Legislative,9,State Senate,Suffolk and Norfolk,Suffolk and Norfolk,58727
Legislative,9,State Senate,Worcester and Middlesex,Worcester and Middlesex,58731
Legislative,9,State Senate,Worcester and Norfolk,Worcester and Norfolk,58732
Legislative,9,State Senate,"Worcester, Hampden, Hampshire and Franklin","Worcester, Hampden, Hampshire and Franklin",58730
Legislative,9,State Senate,First Worcester,1st Worcester,58728
Legislative,9,State Senate,Second Worcester,2nd Worcester,58729
Legislative,9,State Senate,Bristol and Plymouth,Bristol and Plymouth,64690
Legislative,9,State Senate,Franklin and Hampshire,Franklin and Hampshire,64691
Legislative,9,State Senate,Hampden and Hampshire,Hampden and Hampshire,64692
Legislative,9,State Senate,First Hampden,1st Hampden,64703
Legislative,9,State Senate,Second Hampden,2nd Hampden,64704
Legislative,9,State Senate,Middlesex and Norfolk,Middlesex and Norfolk,64693
