office_branch,office_id,office,district,district_display,district_id,election_id,election_date,is_special,total_votes,blank_votes,all_other_votes,num_candidates,id_winner,name_winner,display_winner,city_town_winner,votes_winner,percent_winner,party_winner,id_incumbent,name_incumbent,display_incumbent,city_town_incumbent,party_incumbent,id_dem,name_dem,display_dem,city_town_dem,votes_dem,percent_dem,id_gop,name_gop,display_gop,city_town_gop,votes_gop,percent_gop,id_third_party,name_third_party,display_third_party,city_town_third_party,votes_third_party,percent_third_party,party_third_party,id_write_in,name_write_in,display_write_in,city_town_write_in,votes_write_in,percent_write_in,party_write_in,latest_general
Legislative,5,U.S. House,1,1st Congressional,58684,165323,2024-11-05,FALSE,385005,26947,1181,2,62614,Richard E. Neal,Richard E. Neal (D-Springfield),Springfield,223325,0.6257758275260104,Democratic,62614,Richard E. Neal,Richard E. Neal (D-Springfield),Springfield,Democratic,62614,Richard E. Neal,Richard E. Neal (D-Springfield),Springfield,223325,0.6257758275260104,NA,NA,NA,NA,NA,NA,110411,Nadia Donya Milleron,Nadia Donya Milleron (U-Sheffield),Sheffield,133552,0.3742241724739897,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,5,U.S. House,2,2nd Congressional,58685,165343,2024-11-05,FALSE,389337,23009,822,2,62621,James P. McGovern,James P. McGovern (D-Worcester),Worcester,251441,0.6879257796041652,Democratic,62621,James P. McGovern,James P. McGovern (D-Worcester),Worcester,Democratic,62621,James P. McGovern,James P. McGovern (D-Worcester),Worcester,251441,0.6879257796041652,NA,NA,NA,NA,NA,NA,110415,Cornelius Shea,Cornelius Shea (U-Shrewsbury),Shrewsbury,114065,0.3120742203958348,Unenrolled,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,5,U.S. House,3,3rd Congressional,58686,165309,2024-11-05,FALSE,362678,91119,6861,1,78529,Lori Loureiro Trahan,Lori Loureiro Trahan (D-Westford),Westford,264698,1,Democratic,78529,Lori Loureiro Trahan,Lori Loureiro Trahan (D-Westford),Westford,Democratic,78529,Lori Loureiro Trahan,Lori Loureiro Trahan (D-Westford),Westford,264698,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,5,U.S. House,4,4th Congressional,58687,165373,2024-11-05,FALSE,411578,113853,7279,1,82179,Jake Auchincloss,Jake Auchincloss (D-Newton),Newton,289347,0.9962161641062366,Democratic,82179,Jake Auchincloss,Jake Auchincloss (D-Newton),Newton,Democratic,82179,Jake Auchincloss,Jake Auchincloss (D-Newton),Newton,289347,0.9962161641062366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110416,Sana A. Fadel,Sana A. Fadel (U-Newton),Newton,1099,0.00378383589376338,Unenrolled,2024-11-05
Legislative,5,U.S. House,5,5th Congressional,58688,165353,2024-11-05,FALSE,379701,87811,5201,1,63045,Katherine M. Clark,Katherine M. Clark (D-Revere),Revere,286689,1,Democratic,63045,Katherine M. Clark,Katherine M. Clark (D-Revere),Revere,Democratic,63045,Katherine M. Clark,Katherine M. Clark (D-Revere),Revere,286689,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,5,U.S. House,6,6th Congressional,58689,165336,2024-11-05,FALSE,438573,110196,7191,1,77992,Seth W. Moulton,Seth W. Moulton (D-Salem),Salem,321186,1,Democratic,77992,Seth W. Moulton,Seth W. Moulton (D-Salem),Salem,Democratic,77992,Seth W. Moulton,Seth W. Moulton (D-Salem),Salem,321186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,5,U.S. House,7,7th Congressional,58690,165413,2024-11-05,FALSE,283194,44193,6907,1,78612,Ayanna S. Pressley,Ayanna S. Pressley (D-Boston),Boston,232094,1,Democratic,78612,Ayanna S. Pressley,Ayanna S. Pressley (D-Boston),Boston,Democratic,78612,Ayanna S. Pressley,Ayanna S. Pressley (D-Boston),Boston,232094,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,5,U.S. House,8,8th Congressional,58691,165302,2024-11-05,FALSE,397767,20937,760,2,62647,Stephen F. Lynch,Stephen F. Lynch (D-Boston),Boston,265432,0.7058047703884915,Democratic,62647,Stephen F. Lynch,Stephen F. Lynch (D-Boston),Boston,Democratic,62647,Stephen F. Lynch,Stephen F. Lynch (D-Boston),Boston,265432,0.7058047703884915,88260,Robert G. Burke,Robert G. Burke (R-Dedham),Dedham,110638,0.2941952296115085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,5,U.S. House,9,9th Congressional,58692,165316,2024-11-05,FALSE,465097,18702,642,2,78539,Bill Keating,Bill Keating (D-Bourne),Bourne,251931,0.5651807166749299,Democratic,78539,Bill Keating,Bill Keating (D-Bourne),Bourne,Democratic,78539,Bill Keating,Bill Keating (D-Bourne),Bourne,251931,0.5651807166749299,88274,Dan Sullivan,Dan Sullivan (R-Plymouth),Plymouth,193822,0.43481928332507014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
Legislative,8,State Representative,First Barnstable,1st Barnstable,58733,165440,2024-11-05,FALSE,29310,1672,35,2,88353,Christopher Richard Flanagan,Christopher Richard Flanagan (D-Dennis),Dennis,15607,0.5654095569322175,Democratic,88353,Christopher Richard Flanagan,Christopher Richard Flanagan (D-Dennis),Dennis,Democratic,88353,Christopher Richard Flanagan,Christopher Richard Flanagan (D-Dennis),Dennis,15607,0.5654095569322175,110220,Gerald Joseph O'Connell,Gerald Joseph O'Connell (R-Yarmouth),Yarmouth,11996,0.4345904430677825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-05
