office,district_id,district,district_md_ref,district_web_ref,legislator,party,city_town,percent,PVI,PVI_N,summary
Governor's Council,64610,Eighth,[Eighth](gov-council-eighth.html),<a href=gov-council-eighth.html>Eighth</a>,Tara J. Jacobs (D-North Adams),Democratic,North Adams,1.0,D+13,13.46386864998539,"The Massachusetts Eighth Governor's Council District is currently represented by incumbent Tara J. Jacobs (D-North Adams) who was first elected in 2022. The district covers a large portion of western Massachusetts, including 103 cities and towns with a total population of approximately 828,000 people."
Governor's Council,64607,Fifth,[Fifth](gov-council-fifth.html),<a href=gov-council-fifth.html>Fifth</a>,Eunice Delice Zeigler (D-Methuen),Democratic,Methuen,0.4726575525175058,D+10,10.18103838710439,"The Massachusetts Fifth Governor's Council District covers northeast Massachusetts including cities like Lawrence, Lowell, Salem, and Gloucester, spanning 35 municipalities with a population of 864,180. The current incumbent is Eunice Delice Zeigler (D-Methuen), who won the 2024 election with 47% of the vote against Republican Anne Manning-Martin (41%) and independent Jody Elliott (12%). The district has predominantly elected Democratic representatives since at least 1992."
Governor's Council,64603,First,[First](gov-council-first.html),<a href=gov-council-first.html>First</a>,Joseph C. Ferreira (D-Swansea),Democratic,Swansea,0.565693515964658,D+5,5.031921466265398,"The First Governor's Council District in Massachusetts encompasses southeastern Massachusetts, including Cape Cod, the Islands (Martha's Vineyard and Nantucket), and the South Coast region. The current incumbent is Democrat Joseph C. Ferreira of Swansea, who has held the position since 2014 and won his most recent election in 2022 with 100% of the vote (unopposed)."
Governor's Council,64606,Fourth,[Fourth](gov-council-fourth.html),<a href=gov-council-fourth.html>Fourth</a>,"Christopher A. Iannella, Jr. (D-Boston)",Democratic,Boston,1.0,D+20,19.67748016859413,"The Massachusetts Fourth Governor's Council District covers parts of Boston and several surrounding communities including Quincy, Weymouth, Braintree, and other towns in Norfolk and Plymouth counties. The district has a population of 884,687 and is currently represented by Democrat Christopher A. Iannella, Jr. of Boston, who has held the seat since at least the early 1990s and has frequently run unopposed in elections."
Governor's Council,64604,Second,[Second](gov-council-second.html),<a href=gov-council-second.html>Second</a>,Tamisha L. Civil (D-Stoughton),Democratic,Stoughton,0.5729079923310805,D+14,13.634628748448218,"The Massachusetts Second Governor's Council District is currently represented by Tamisha L. Civil (D-Stoughton), who won the seat in 2024 with 57% of the vote against Republican Francis T. Crimmins, Jr. The district covers numerous municipalities including parts of Braintree and multiple complete towns in eastern Massachusetts, with a population of approximately 871,355 residents."
Governor's Council,64609,Seventh,[Seventh](gov-council-seventh.html),<a href=gov-council-seventh.html>Seventh</a>,Paul M. Depalo (D-Worcester),Democratic,Worcester,0.5739671079021259,D+6,6.386092810654754,"The Massachusetts Seventh Governor's Council District is currently represented by Democrat Paul M. DePalo of Worcester, who won the seat in 2020 and was reelected in 2022 and 2024. The district covers a large portion of central Massachusetts, including Worcester and numerous surrounding communities, with a population of about 857,000 people."
Governor's Council,64608,Sixth,[Sixth](gov-council-sixth.html),<a href=gov-council-sixth.html>Sixth</a>,Terrence W. Kennedy (D-Lynnfield),Democratic,Lynnfield,1.0,D+22,22.287634553879965,"The Massachusetts Sixth Governor's Council District covers several municipalities including Boston, Cambridge, Chelsea, Everett, and other communities in eastern Massachusetts. The district has a population of 899,584. The current incumbent is Terrence W. Kennedy (D-Lynnfield), who has held the seat since 2010 and has been re-elected multiple times, often running unopposed."
Governor's Council,64605,Third,[Third](gov-council-third.html),<a href=gov-council-third.html>Third</a>,Mara Dolan (D-Concord),Democratic,Concord,1.0,D+25,24.667141203761688,"The Massachusetts Third Governor's Council District covers portions of greater Boston, including parts of Boston, Cambridge, Watertown, and surrounding suburbs. The district has been represented by Democrat Marilyn Petitto Devaney of Watertown for many years, but in the upcoming 2024 election, Democrat Mara Dolan of Concord is slated to take the position."
State Representative,62910,"Barnstable, Dukes and Nantucket","[Barnstable, Dukes and Nantucket](state-rep-barnstable-dukes-and-nantucket.html)","<a href=state-rep-barnstable-dukes-and-nantucket.html>Barnstable, Dukes and Nantucket</a>",Thomas W. Moakley (D-Falmouth),Democratic,Falmouth,1.0,D+24,23.707141503568018,"The Barnstable, Dukes and Nantucket State Representative District in Massachusetts is currently represented by Democrat Thomas W. Moakley of Falmouth. The district encompasses Martha's Vineyard, Nantucket, Gosnold, and portions of Falmouth on Cape Cod."
State Representative,58773,Eighteenth Essex,[Eighteenth Essex](state-rep-eighteenth-essex.html),<a href=state-rep-eighteenth-essex.html>Eighteenth Essex</a>,Tram T. Nguyen (D-Andover),Democratic,Andover,1.0,D+11,11.48667962229657,"The Massachusetts Eighteenth Essex State Representative District is currently represented by incumbent Democrat Tram T. Nguyen from Andover. The district includes parts of Andover, Boxford, North Andover, and Tewksbury, covering an area of 57 square miles with a population of approximately 46,164."
