office,district_id,district,legislator,party,city_town,percent,PVI,PVI_N
U.S. House,58684,1,Richard E. Neal (D-Springfield),Democratic,Springfield,0.6257758275260104,D+8,8.278990832539012
U.S. House,58685,2,James P. McGovern (D-Worcester),Democratic,Worcester,0.6879257796041652,D+13,13.207655762446946
U.S. House,58686,3,Lori Loureiro Trahan (D-Westford),Democratic,Westford,1,D+11,11.06231803372113
U.S. House,58687,4,Jake Auchincloss (D-Newton),Democratic,Newton,0.9962161641062366,D+12,11.553235203889578
U.S. House,58688,5,Katherine M. Clark (D-Revere),Democratic,Revere,1,D+24,23.86286204636846
U.S. House,58689,6,Seth W. Moulton (D-Salem),Democratic,Salem,1,D+12,11.583484566037871
U.S. House,58690,7,Ayanna S. Pressley (D-Boston),Democratic,Boston,1,D+34,34.00849263714911
U.S. House,58691,8,Stephen F. Lynch (D-Boston),Democratic,Boston,0.7058047703884915,D+15,15.045252156556876
U.S. House,58692,9,Bill Keating (D-Bourne),Democratic,Bourne,0.5651807166749299,D+7,6.591565859452075
State Representative,58733,First Barnstable,Christopher Richard Flanagan (D-Dennis),Democratic,Dennis,0.5654095569322175,D+11,10.95319772217448
State Representative,58734,Second Barnstable,Kip A. Diggs (D-Barnstable),Democratic,Barnstable,0.5935887215205807,D+8,7.796722435356484
State Representative,58735,Third Barnstable,David T. Vieira (R-Falmouth),Republican,Falmouth,0.5603475348058201,D+9,8.97038541605909
State Representative,58736,Fourth Barnstable,Hadley Luddy (D-Orleans),Democratic,Orleans,1,D+19,19.17802968782366
State Representative,58737,Fifth Barnstable,Steven G. Xiarhos (R-Barnstable),Republican,Barnstable,0.6138858705833864,D+3,3.027405835365382
State Representative,58738,First Berkshire,"John P. Barrett, III (D-North Adams)",Democratic,North Adams,1,D+17,16.790556878620688
State Representative,58739,Second Berkshire,Tricia Farley-Bouvier (D-Pittsfield),Democratic,Pittsfield,1,D+24,23.62924496824385
State Representative,58740,Third Berkshire,Leigh Susan Davis (D-Great Barrington),Democratic,Great Barrington,0.5748097000956699,D+24,23.843976597052553
State Representative,58742,First Bristol,Michael Chaisson (R-Foxborough),Republican,Foxborough,0.5019366197183098,D+8,7.547209052382986
State Representative,58743,Second Bristol,James K. Hawkins (D-Attleboro),Democratic,Attleboro,0.6829072628088566,D+7,6.708132062772554
State Representative,58744,Third Bristol,Carol Ann Doherty (D-Taunton),Democratic,Taunton,1,D+5,4.901133835618121
State Representative,58745,Fourth Bristol,Steven S. Howitt (R-Seekonk),Republican,Seekonk,1,R+2,-1.8720657640736824
State Representative,58746,Fifth Bristol,Justin Thurber (R-Somerset),Republican,Somerset,0.5194097426008216,R+2,-1.8709180290921223
State Representative,58747,Sixth Bristol,Carole A. Fiola (D-Fall River),Democratic,Fall River,1,D+3,3.059446756812234
State Representative,58748,Seventh Bristol,Alan Silvia (D-Fall River),Democratic,Fall River,1,D+1,0.543046406617187
State Representative,58749,Eighth Bristol,Steven J. Ouellette (D-Westport),Democratic,Westport,0.3386637755793468,R+4,-4.073253942758543
State Representative,58750,Ninth Bristol,Christopher M. Markey (D-Dartmouth),Democratic,Dartmouth,1,D+1,1.350005288072087
State Representative,58751,Tenth Bristol,Mark David Sylvia (D-Fairhaven),Democratic,Fairhaven,0.5263502581092534,D+2,2.2758180549442453
State Representative,58752,Eleventh Bristol,Christopher Hendricks (D-New Bedford),Democratic,New Bedford,1,D+10,9.805807506644925
State Representative,58753,Twelfth Bristol,Norman J. Orrall (R-Lakeville),Republican,Lakeville,1,R+4,-3.906338726189023
State Representative,58754,Thirteenth Bristol,Antonio d. F. Cabral (D-New Bedford),Democratic,New Bedford,1,D+10,9.918097010773709
State Representative,58755,Fourteenth Bristol,Adam J. Scanlon (D-North Attleborough),Democratic,North Attleborough,0.5595264786332451,D+6,6.293451731024657
State Representative,58756,First Essex,Dawne Frances Shand (D-Newburyport),Democratic,Newburyport,1,D+14,14.369170130136366
State Representative,58757,Second Essex,Kristin E. Kassner (D-Hamilton),Democratic,Hamilton,0.542210970464135,D+11,11.033870522250687
State Representative,58758,Third Essex,Andres X. Vargas (D-Haverhill),Democratic,Haverhill,1,D+8,7.900742394426608
State Representative,58759,Fourth Essex,Estela A. Reyes (D-Lawrence),Democratic,Lawrence,1,D+12,11.741635333670263
State Representative,58760,Fifth Essex,Ann-Margaret Ferrante (D-Gloucester),Democratic,Gloucester,0.6669775771368877,D+18,17.85341745630433
State Representative,58761,Sixth Essex,Jerald A. Parisella (D-Beverly),Democratic,Beverly,0.7104699940073624,D+18,18.038372152331327
State Representative,58762,Seventh Essex,Manny Cruz (D-Salem),Democratic,Salem,1,D+24,24.419589436019095
State Representative,58763,Eighth Essex,Jennifer Wb Armini (D-Marblehead),Democratic,Marblehead,1,D+21,20.785686254560652
State Representative,58764,Ninth Essex,Donald H. Wong (R-Saugus),Republican,Saugus,1,D+3,2.701185101154091
State Representative,58765,Tenth Essex,Daniel H. Cahill (D-Lynn),Democratic,Lynn,1,D+16,15.94136852972362
State Representative,58766,Eleventh Essex,Sean Reid (D-Lynn),Democratic,Lynn,1,D+16,16.037690264568226
State Representative,58767,Twelfth Essex,Thomas P. Walsh (D-Peabody),Democratic,Peabody,1,D+5,5.101521832852751
