iter	Passed	Remaining
0	62	62644
1	65	32917
2	69	22944
3	72	17969
4	74	14840
5	77	12801
6	79	11309
7	80	9983
8	83	9165
9	85	8427
10	87	7887
11	88	7261
12	91	6927
13	92	6542
14	94	6228
15	96	5951
16	99	5743
17	101	5545
18	103	5330
19	104	5142
20	107	4996
21	108	4838
22	110	4692
23	111	4552
24	114	4483
25	116	4366
26	118	4270
27	120	4171
28	121	4075
29	123	3989
30	125	3912
31	127	3861
32	129	3787
33	130	3720
34	132	3649
35	133	3570
36	135	3524
37	137	3472
38	139	3443
39	142	3411
40	143	3362
41	146	3332
42	148	3301
43	150	3260
44	151	3219
45	152	3166
46	154	3140
47	156	3104
48	158	3073
49	159	3039
50	161	3006
51	163	2977
52	164	2947
53	166	2918
54	168	2893
55	170	2868
56	172	2848
57	174	2829
58	176	2809
59	178	2798
60	180	2771
61	181	2751
62	183	2733
63	185	2717
64	187	2700
65	189	2683
66	190	2647
67	192	2640
68	194	2624
69	196	2608
70	198	2597
71	200	2582
72	202	2567
73	204	2557
74	206	2541
75	207	2528
76	208	2504
77	211	2500
78	213	2485
79	214	2471
80	216	2459
81	218	2441
82	219	2421
83	226	2468
84	235	2533
85	237	2525
86	239	2514
87	240	2497
88	242	2485
89	244	2470
90	246	2459
91	248	2452
92	250	2438
93	252	2429
94	253	2418
95	256	2413
96	257	2393
97	259	2390
98	262	2388
99	264	2377
100	265	2366
101	267	2357
102	269	2348
103	271	2339
104	273	2327
105	276	2328
106	277	2317
107	278	2297
108	281	2297
109	282	2285
110	284	2275
111	287	2277
112	288	2267
113	290	2258
114	292	2249
115	294	2242
116	295	2231
117	297	2226
118	299	2217
119	300	2207
120	302	2197
121	303	2187
122	305	2177
123	306	2168
124	308	2160
125	309	2149
126	311	2144
127	313	2137
128	315	2130
129	317	2127
130	319	2121
131	321	2115
132	323	2108
133	326	2109
134	328	2103
135	329	2091
136	331	2086
137	333	2082
138	335	2075
139	336	2069
140	338	2062
141	340	2054
142	341	2047
143	343	2039
144	344	2032
145	345	2022
146	346	2013
147	348	2005
148	350	1999
149	351	1993
150	353	1987
151	355	1980
