office_branch,office_id,office,district,district_display,district_id,election_id,election_date,is_special,total_votes,blank_votes,all_other_votes,num_candidates,id_winner,name_winner,city_town_winner,party_winner,id_incumbent,name_incumbent,city_town_incumbent,party_incumbent,id_dem,name_dem,city_town_dem,votes_dem,percent_dem,id_gop,name_gop,city_town_gop,votes_gop,percent_gop,id_third_party,name_third_party,city_town_third_party,votes_third_party,percent_third_party,party_third_party,id_write_in,name_write_in,city_town_write_in,votes_write_in,percent_write_in,party_write_in,election_year,incumbent_status,dem_win,dem_margin,pres_elec,pvi_year,PVI_N,PVI
Legislative,8,State Representative,Third Suffolk,3rd Suffolk,58857,104707,2009-06-16,TRUE,2749,4,19,4,62921,Aaron M. Michlewitz,Boston,Democratic,NA,NA,NA,NA,62921,Aaron M. Michlewitz,Boston,2190,0.8033749082905356,73698,David Trumbull,Boston,120,0.04402054292002935,73699,John A. Keith,Boston,407,0.14930300807043287,Unenrolled,73695,Susan M. Passoni,Boston,9,0.0033015407190022,Democratic,2009,No_Incumbent,TRUE,0.6540719002201028,FALSE,2008,27.14630652487176,D+27
Legislative,8,State Representative,Second Barnstable,2nd Barnstable,58734,104541,2008-11-04,FALSE,19261,1675,3,2,62659,Demetrius J. Atsalis,Barnstable,Democratic,62659,Demetrius J. Atsalis,Barnstable,Democratic,62659,Demetrius J. Atsalis,Barnstable,12359,0.7028948416083717,NA,NA,NA,NA,NA,63096,Carl D. Yingling,Barnstable,5224,0.29710515839162827,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.4057896832167434,TRUE,2008,4.220376152456796,D+4
Legislative,8,State Representative,Third Barnstable,3rd Barnstable,58735,104542,2008-11-04,FALSE,23636,1960,30,2,62661,Matthew C. Patrick,Falmouth,Democratic,62661,Matthew C. Patrick,Falmouth,Democratic,62661,Matthew C. Patrick,Falmouth,12898,0.5958606670978471,NA,NA,NA,NA,NA,63097,Carey M. Murphy,Falmouth,8748,0.4041393329021528,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.19172133419569432,TRUE,2008,2.6369508867646108,D+3
Legislative,8,State Representative,Fourth Barnstable,4th Barnstable,58736,104604,2008-11-04,FALSE,27490,1224,6,2,62665,Sarah K. Peake,Provincetown,Democratic,62665,Sarah K. Peake,Provincetown,Democratic,62665,Sarah K. Peake,Provincetown,17823,0.6787128712871288,63098,Donald F. Howell,Harwich,8437,0.3212871287128713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.35742574257425747,TRUE,2008,9.94741686306594,D+10
Legislative,8,State Representative,Fifth Barnstable,5th Barnstable,58737,104540,2008-11-04,FALSE,24058,1478,10,2,72428,Jeffrey Davis Perry,Sandwich,Republican,72428,Jeffrey Davis Perry,Sandwich,Republican,73666,Glenn S. Pare,Sandwich,6790,0.30084182543198934,72428,Jeffrey Davis Perry,Sandwich,15780,0.6991581745680107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.3983163491360213,TRUE,2008,0.6832128009784721,D+1
Legislative,8,State Representative,"Barnstable, Dukes and Nantucket","Barnstable, Dukes and Nantucket",62910,104503,2008-11-04,FALSE,25658,2129,61,4,62668,Timothy R. Madden,Nantucket,Unenrolled,NA,NA,NA,NA,63102,Daniel James Larkosh,West Tisbury,7519,0.4407902450463126,NA,NA,NA,NA,NA,62668,Timothy R. Madden,Nantucket,9539,0.5592097549536874,Unenrolled,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,FALSE,-0.11841950990737482,TRUE,2008,17.433458063126384,D+17
Legislative,8,State Representative,First Bristol,1st Bristol,58742,104634,2008-11-04,FALSE,20023,1524,12,2,62682,Fred Jay Barrows,Mansfield,Republican,62682,Fred Jay Barrows,Mansfield,Republican,63109,Devin P. Romanul,Mansfield,7164,0.3875155514685995,62682,Fred Jay Barrows,Mansfield,11323,0.6124844485314005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.224968897062801,TRUE,2008,1.891815202602498,D+2
Legislative,8,State Representative,Second Bristol,2nd Bristol,58743,104526,2008-11-04,FALSE,17162,901,32,2,73660,Bill Bowles,Attleboro,Democratic,NA,NA,NA,NA,73660,Bill Bowles,Attleboro,8768,0.5402674225152505,62685,George T. Ross,Attleboro,7461,0.4597325774847495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.08053484503050101,TRUE,2008,5.428373495761019,D+5
Legislative,8,State Representative,Seventh Bristol,7th Bristol,58748,104631,2008-11-04,FALSE,12440,1011,6,2,62694,Kevin Aguiar,Fall River,Democratic,62694,Kevin Aguiar,Fall River,Democratic,62694,Kevin Aguiar,Fall River,9217,0.806880854416528,62695,C.J. Ferry,Fall River,2206,0.19311914558347193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.613761708833056,TRUE,2008,25.76186499711942,D+26
Legislative,8,State Representative,Fourth Essex,4th Essex,58759,104587,2008-11-04,FALSE,23833,1657,7,2,62719,Bradford R. Hill,Ipswich,Republican,62719,Bradford R. Hill,Ipswich,Republican,63114,Donald R. Bumiller,Boxford,6390,0.28824033560377105,62719,Bradford R. Hill,Ipswich,15779,0.711759664396229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,GOP_Incumbent,FALSE,-0.4235193287924579,TRUE,2008,1.7799598525587323,D+2
Legislative,8,State Representative,Eighth Essex,8th Essex,58763,104655,2008-11-04,FALSE,22872,1764,18,2,62726,Lori A. Ehrlich,Marblehead,Democratic,62726,Lori A. Ehrlich,Marblehead,Democratic,62726,Lori A. Ehrlich,Marblehead,14072,0.6672356567093409,63118,John Blaisdell,Marblehead,7018,0.33276434329065907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.33447131341868186,TRUE,2008,12.235759413152902,D+12
Legislative,8,State Representative,Fifteenth Essex,15th Essex,58770,104670,2008-11-04,FALSE,19192,2308,29,2,62742,Linda Dean Campbell,Methuen,Democratic,62742,Linda Dean Campbell,Methuen,Democratic,62742,Linda Dean Campbell,Methuen,11836,0.7022248590922575,NA,NA,NA,NA,NA,73693,"Joseph A. Leone, III",Methuen,5019,0.2977751409077425,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.40444971818451503,TRUE,2008,2.0786501633371146,D+2
Legislative,8,State Representative,Eighteenth Essex,18th Essex,58773,104494,2008-11-04,FALSE,21909,1647,9,2,62753,Barbara A. L'Italien,Andover,Democratic,62753,Barbara A. L'Italien,Andover,Democratic,62753,Barbara A. L'Italien,Andover,11980,0.5915173060781119,63122,Lawrence Brennan,Georgetown,8273,0.4084826939218882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.18303461215622374,TRUE,2008,2.222428494075501,D+2
Legislative,8,State Representative,Second Franklin,2nd Franklin,58775,104523,2008-11-04,FALSE,18907,1248,13,2,63123,Christopher J. Donelan,Orange,Democratic,63123,Christopher J. Donelan,Orange,Democratic,63123,Christopher J. Donelan,Orange,13956,0.7908874532471948,63124,Robert E. Parks,Athol,3690,0.20911254675280516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.5817749064943896,TRUE,2008,14.23361676048348,D+14
Legislative,8,State Representative,Second Hampden,2nd Hampden,58777,104624,2008-11-04,FALSE,23815,1508,28,2,62766,Brian M. Ashe,Longmeadow,Democratic,NA,NA,NA,NA,62766,Brian M. Ashe,Longmeadow,12133,0.544593563445397,63125,William G. Scibelli,Longmeadow,10146,0.455406436554603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,No_Incumbent,TRUE,0.089187126890794,TRUE,2008,4.5964939569957615,D+5
Legislative,8,State Representative,Third Hampden,3rd Hampden,58778,104483,2008-11-04,FALSE,21099,1371,23,2,62771,Rosemary Sandlin,Agawam,Democratic,62771,Rosemary Sandlin,Agawam,Democratic,62771,Rosemary Sandlin,Agawam,10247,0.5200202994163918,NA,NA,NA,NA,NA,62768,Nicholas A. Boldyga,Southwick,9458,0.4799797005836082,Unenrolled,NA,NA,NA,NA,NA,NA,2008,Dem_Incumbent,TRUE,0.0400405988327836,TRUE,2008,1.6411143676494655,D+2
