City/Town,PVI_N,PVI
Abington,-0.9813099302937167,R+1
Acton,21.103030667149238,D+21
Acushnet,0.45480628912970555,EVEN
Adams,20.52316572973577,D+21
Agawam,-2.9657922708693887,R+3
Alford,28.29081975133054,D+28
Amesbury,8.584529141020248,D+9
Amherst,37.30770800142038,D+37
Andover,5.369895455883277,D+5
Aquinnah,35.51509250703903,D+36
Arlington,26.1014727179388,D+26
Ashburnham,-1.4210374401781412,R+1
Ashby,-7.07487684927845,R+7
Ashfield,30.789649421774023,D+31
Ashland,11.784210229488146,D+12
Athol,-0.40053898643773733,EVEN
Attleboro,3.691868182738711,D+4
Auburn,1.0760416586706234,D+1
Avon,1.4272996397285964,D+1
Ayer,6.272271107662597,D+6
Barnstable,0.8908973942189369,D+1
Barre,-3.0769497327892137,R+3
Becket,15.184478017738744,D+15
Bedford,12.905579955202706,D+13
Belchertown,8.219293325488742,D+8
Bellingham,-1.2198863221247191,R+1
Belmont,19.809953959524552,D+20
Berkley,-5.95345176036205,R+6
Berlin,3.5289268033680044,D+4
Bernardston,16.595615806911002,D+17
Beverly,10.924375431900613,D+11
Billerica,-1.9567307653771848,R+2
Blackstone,-3.214393822018058,R+3
Blandford,-9.060095318254602,R+9
Bolton,6.42233710167287,D+6
Boston,31.336544815935774,D+31
Bourne,-3.4517813750314428,R+3
Boxborough,14.82385273803095,D+15
Boxford,-5.166781361941297,R+5
Boylston,0.7739115387701556,D+1
Braintree,2.221246791718745,D+2
Brewster,7.855837210887451,D+8
Bridgewater,-3.34628422539745,R+3
Brimfield,-8.179700247777133,R+8
Brockton,22.851123690868246,D+23
Brookfield,-5.3768038198370505,R+5
Brookline,32.27050942004354,D+32
Buckland,23.555172071294596,D+24
Burlington,4.163829628008764,D+4
Cambridge,39.56579775430393,D+40
Canton,5.224380618391466,D+5
Carlisle,16.048540511443843,D+16
Carver,-5.443784016933812,R+5
Charlemont,17.120261832199425,D+17
Charlton,-8.745525176426261,R+9
Chatham,1.9722039936225455,D+2
Chelmsford,2.6174329810285446,D+3
Chelsea,30.641243941671593,D+31
Cheshire,12.498542179827755,D+12
Chester,-5.869135584003393,R+6
Chesterfield,11.743664545550647,D+12
Chicopee,8.032730648214292,D+8
Chilmark,32.97769705549556,D+33
Clarksburg,15.289658610832547,D+15
Clinton,6.857479230022689,D+7
Cohasset,3.3447327948088024,D+3
Colrain,18.279547609623627,D+18
Concord,22.690760836589174,D+23
Conway,25.397722485530462,D+25
Cummington,18.875966495912124,D+19
Dalton,20.143000389549716,D+20
Danvers,1.3283691584451751,D+1
Dartmouth,7.6715044130075345,D+8
Dedham,9.37213331544845,D+9
Deerfield,20.05404362462596,D+20
Dennis,3.5472892364576847,D+4
Dighton,-5.944426262026415,R+6
Douglas,-10.239220484616169,R+10
Dover,1.848526205316381,D+2
Dracut,-6.168452499210625,R+6
Dudley,-5.713595873723781,R+6
Dunstable,-2.878468959577157,R+3
Duxbury,-1.0755156323568604,R+1
E. Bridgewater,-6.468250485555988,R+6
E. Brookfield,-11.472033239518204,R+11
E. Longmeadow,-3.832643298485655,R+4
Eastham,10.872350759561511,D+11
Easthampton,19.63456990609711,D+20
Easton,-0.3950188171172875,EVEN
Edgartown,16.937445790490003,D+17
Egremont,29.742127910651007,D+30
Erving,14.612329274158842,D+15
Essex,7.012460613996108,D+7
Everett,19.94471309709298,D+20
Fairhaven,5.877298563920541,D+6
Fall River,16.789817452271684,D+17
Falmouth,8.044923713009322,D+8
Fitchburg,8.963920819944725,D+9
Florida,8.491650695212572,D+8
Foxborough,0.9545459926708966,D+1
Framingham,19.331060437380543,D+19
Franklin,2.2935415768886136,D+2
Freetown,-4.470719686540531,R+4
