City/Town,PVI_N,PVI,Biden_20,Trump_20,Clinton_16,Trump_16
Abington,1.511327776887661,D+2,5209,4236,4115,4017
Acton,28.62186493583293,D+29,11105,2471,9198,2555
Acushnet,-6.26759359718333,R+6,2664,3290,2401,2834
Adams,14.636802620245216,D+15,2894,1428,2413,1285
Agawam,-4.064423700987235,R+4,7794,8073,6208,7421
Alford,31.436352160418156,D+31,271,50,226,52
Amesbury,13.054029117107236,D+13,6786,3326,5174,3231
Amherst,40.04672993721237,D+40,10718,873,12357,1248
Andover,14.534555796838244,D+15,14503,6693,11216,6515
Aquinnah,37.3354365591296,D+37,311,34,232,34
Arlington,31.49912229201971,D+31,23671,4381,20539,4652
Ashburnham,0.5674663484285136,D+1,2030,1667,1439,1522
Ashby,-5.688272669672068,R+6,956,1008,722,974
Ashfield,31.86646558094651,D+32,993,180,836,184
Ashland,17.955532965968413,D+18,7308,2936,5684,2768
Athol,-2.2211877828085203,R+2,2705,2579,2076,2335
Attleboro,6.003640985756409,D+6,13661,9272,10518,8571
Auburn,3.377337289434801,D+3,5620,4306,4496,4000
Avon,6.1065660271932165,D+6,1601,1030,1254,1068
Ayer,11.129267177881752,D+11,2932,1537,2162,1498
Barnstable,5.049612032056294,D+5,16491,11436,13005,11195
Barre,-3.434001382406382,R+3,1535,1523,1201,1429
Becket,11.432964184092832,D+11,757,413,571,368
Bedford,20.896927671755066,D+21,6452,2180,5085,2211
Belchertown,9.291423081197948,D+9,5893,3481,4408,3153
Bellingham,0.6759725575876785,D+1,5211,4402,4033,4059
Belmont,27.05407338040553,D+27,11999,2956,10252,3106
Berkley,-8.011740974796384,R+8,1764,2251,1455,1926
Berlin,8.895658016608554,D+9,1375,816,1009,745
Bernardston,15.36440384744039,D+15,916,423,711,382
Beverly,16.39663724283935,D+16,16703,7205,13185,6904
Billerica,1.1379645048677167,D+1,13328,10731,10100,10319
Blackstone,-4.729998891269349,R+5,2450,2560,1850,2327
Blandford,-11.943143435852232,R+12,307,454,256,405
Bolton,15.475042073159315,D+15,2529,1140,1891,1036
