office,district,district_display,PVI,PVI_N
State Representative,"Barnstable, Dukes and Nantucket","Barnstable, Dukes and Nantucket",D+24,23.707141503568018
State Representative,Eighteenth Essex,18th Essex,D+11,11.48667962229657
State Representative,Eighteenth Middlesex,18th Middlesex,D+16,16.207433520760773
State Representative,Eighteenth Suffolk,18th Suffolk,D+32,32.24326095057036
State Representative,Eighteenth Worcester,18th Worcester,R+4,-3.936739124273342
State Representative,Eighth Bristol,8th Bristol,R+4,-4.073253942758543
State Representative,Eighth Essex,8th Essex,D+21,20.785686254560652
State Representative,Eighth Hampden,8th Hampden,D+4,4.207007404892183
State Representative,Eighth Middlesex,8th Middlesex,D+19,19.294087820784167
State Representative,Eighth Norfolk,8th Norfolk,D+18,17.577197819863
State Representative,Eighth Plymouth,8th Plymouth,EVEN,-0.0836044244397871
State Representative,Eighth Suffolk,8th Suffolk,D+34,33.77894907934677
State Representative,Eighth Worcester,8th Worcester,EVEN,-0.08140309301012394
State Representative,Eleventh Bristol,11th Bristol,D+10,9.805807506644925
State Representative,Eleventh Essex,11th Essex,D+16,16.037690264568226
State Representative,Eleventh Hampden,11th Hampden,D+26,25.612769986504254
State Representative,Eleventh Middlesex,11th Middlesex,D+33,32.609768305001715
State Representative,Eleventh Norfolk,11th Norfolk,D+15,14.98012557045928
State Representative,Eleventh Plymouth,11th Plymouth,D+30,30.084495484942885
State Representative,Eleventh Suffolk,11th Suffolk,D+23,22.74509920588844
State Representative,Eleventh Worcester,11th Worcester,D+14,13.500840747664457
State Representative,Fifteenth Essex,15th Essex,D+3,2.523134863947629
State Representative,Fifteenth Middlesex,15th Middlesex,D+24,24.456859254907105
State Representative,Fifteenth Norfolk,15th Norfolk,D+39,38.82729550607576
State Representative,Fifteenth Suffolk,15th Suffolk,D+42,41.657745277719194
State Representative,Fifteenth Worcester,15th Worcester,D+19,18.9521340273064
State Representative,Fifth Barnstable,5th Barnstable,D+3,3.027405835365382
State Representative,Fifth Bristol,5th Bristol,R+2,-1.8709180290921223
State Representative,Fifth Essex,5th Essex,D+18,17.85341745630433
State Representative,Fifth Hampden,5th Hampden,D+16,15.997787095997584
State Representative,Fifth Middlesex,5th Middlesex,D+26,25.65454609305861
State Representative,Fifth Norfolk,5th Norfolk,D+6,5.857836708968877
State Representative,Fifth Plymouth,5th Plymouth,D+1,1.3562480036048208
State Representative,Fifth Suffolk,5th Suffolk,D+37,37.37099425293046
State Representative,Fifth Worcester,5th Worcester,R+4,-4.109918060503115
State Representative,First Barnstable,1st Barnstable,D+11,10.95319772217448
State Representative,First Berkshire,1st Berkshire,D+17,16.790556878620688
State Representative,First Bristol,1st Bristol,D+8,7.547209052382986
State Representative,First Essex,1st Essex,D+14,14.369170130136366
State Representative,First Franklin,1st Franklin,D+24,23.610433703863553
State Representative,First Hampden,1st Hampden,R+3,-2.948641469389318
State Representative,First Hampshire,1st Hampshire,D+32,31.818311968329883
State Representative,First Middlesex,1st Middlesex,D+5,4.865775599005251
State Representative,First Norfolk,1st Norfolk,D+16,16.38792074222033
State Representative,First Plymouth,1st Plymouth,D+5,4.997793416536966
State Representative,First Suffolk,1st Suffolk,D+24,23.57026151586974
State Representative,First Worcester,1st Worcester,D+4,4.143231379634615
State Representative,Fourteenth Bristol,14th Bristol,D+6,6.293451731024657
State Representative,Fourteenth Essex,14th Essex,D+10,10.383075638402916
State Representative,Fourteenth Middlesex,14th Middlesex,D+24,23.835172538761096
State Representative,Fourteenth Norfolk,14th Norfolk,D+26,26.216994822713747
State Representative,Fourteenth Suffolk,14th Suffolk,D+30,30.47402303165132
State Representative,Fourteenth Worcester,14th Worcester,D+15,15.090236656743883
State Representative,Fourth Barnstable,4th Barnstable,D+19,19.17802968782366
State Representative,Fourth Bristol,4th Bristol,R+2,-1.8720657640736824
State Representative,Fourth Essex,4th Essex,D+12,11.741635333670263
State Representative,Fourth Hampden,4th Hampden,EVEN,-0.3976457315406523
State Representative,Fourth Middlesex,4th Middlesex,D+15,15.430600534800288
State Representative,Fourth Norfolk,4th Norfolk,D+8,8.200189763683719
State Representative,Fourth Plymouth,4th Plymouth,D+8,8.323852946244937
State Representative,Fourth Suffolk,4th Suffolk,D+18,17.959018868308718
State Representative,Fourth Worcester,4th Worcester,D+6,6.122553188247892
State Representative,Nineteenth Middlesex,19th Middlesex,D+2,1.647545595652522
State Representative,Nineteenth Suffolk,19th Suffolk,D+11,10.752112051039177
State Representative,Nineteenth Worcester,19th Worcester,D+20,19.851071015062328
State Representative,Ninth Bristol,9th Bristol,D+1,1.350005288072087
State Representative,Ninth Essex,9th Essex,D+3,2.701185101154091
State Representative,Ninth Hampden,9th Hampden,D+18,17.86151088923692
State Representative,Ninth Middlesex,9th Middlesex,D+19,18.915887024687297
