City/Town,Ward,Pct,PVI_N,PVI
Abington,-,1,2.3557833784663917,D+2
Abington,-,2,-2.2835212790189297,R+2
Abington,-,3,-1.8637001110404283,R+2
Abington,-,4,-1.6195842372316638,R+2
Abington,-,5,-1.3490741373023307,R+1
Acton,-,1,20.92967346363297,D+21
Acton,-,2,18.172394085131383,D+18
Acton,-,3,20.75212282413432,D+21
Acton,-,4,23.387111586306297,D+23
Acton,-,5,24.58114022079978,D+25
Acton,-,6,18.37201011990013,D+18
Acushnet,-,1,5.6570525933609,D+6
Acushnet,-,2,-3.3746381684037763,R+3
Acushnet,-,3,-0.3183642899732164,EVEN
Adams,-,1,18.168275817223844,D+18
Adams,-,2,19.481126237431756,D+19
Adams,-,3,19.21439812278739,D+19
Adams,-,4,22.570598316983336,D+23
Adams,-,5,22.799992910415746,D+23
Agawam,-,1,-1.720265523388298,R+2
Agawam,-,2,-5.483644409382348,R+5
Agawam,-,3,-2.740440632586844,R+3
Agawam,-,4,-0.19907452950660431,EVEN
Agawam,-,5,-2.201585470150691,R+2
Agawam,-,6,-3.727334011036704,R+4
Agawam,-,7,-4.526720196644185,R+5
Agawam,-,8,-2.408745235895271,R+2
Alford,-,1,28.29081975133054,D+28
Amesbury,-,1,5.67596444764863,D+6
Amesbury,-,2,12.120493818990886,D+12
Amesbury,-,3,11.028141655140223,D+11
Amesbury,-,4,10.12338664096265,D+10
Amesbury,-,5,0.3165846466606559,EVEN
Amesbury,-,6,13.13515080123967,D+13
Amherst,-,1,36.90671152804968,D+37
Amherst,-,10,34.395382456028415,D+34
Amherst,-,2,37.62834695842297,D+38
Amherst,-,3,35.125510179967826,D+35
Amherst,-,4,30.180213966356927,D+30
Amherst,-,5,39.38478100694219,D+39
Amherst,-,6,37.95925167422416,D+38
Amherst,-,7,39.12796524812497,D+39
Amherst,-,8,39.11278337436623,D+39
Amherst,-,9,40.36463401311635,D+40
Andover,-,1,12.743714887174495,D+13
Andover,-,2,3.563492555947989,D+4
Andover,-,3,10.279028686520986,D+10
Andover,-,4,2.8786978820905973,D+3
Andover,-,5,4.501733768518646,D+5
Andover,-,6,1.1911320261323688,D+1
Andover,-,7,3.821314635839279,D+4
Andover,-,7A,5.930796143225092,D+6
Andover,-,8,6.076892637907605,D+6
Andover,-,9,4.536956391148161,D+5
Andover,-,9A,-12.404832422582496,R+12
Aquinnah,-,1,35.51509250703903,D+36
Arlington,-,1,29.361830420138624,D+29
Arlington,-,10,30.70132465483163,D+31
Arlington,-,11,20.654989795192392,D+21
Arlington,-,12,26.11652504060251,D+26
Arlington,-,13,10.689575562104404,D+11
Arlington,-,14,27.082724972123017,D+27
Arlington,-,15,22.351616067973666,D+22
Arlington,-,16,26.27129583453247,D+26
Arlington,-,17,28.739094194998028,D+29
Arlington,-,18,16.507959348263068,D+17
Arlington,-,19,23.991350948772805,D+24
Arlington,-,2,25.953910283986293,D+26
Arlington,-,20,26.929379259455267,D+27
Arlington,-,21,29.580612623134982,D+30
Arlington,-,3,32.37419781538494,D+32
Arlington,-,4,30.479720305216794,D+30
Arlington,-,5,25.3118118326095,D+25
Arlington,-,6,30.530666860742873,D+31
Arlington,-,7,28.803564716342468,D+29
Arlington,-,8,33.79756468649742,D+34
Arlington,-,9,24.423235275638756,D+24
Ashburnham,-,1,-1.4210374401781412,R+1
Ashby,-,1,-7.07487684927845,R+7
Ashfield,-,1,30.789649421774023,D+31
Ashland,-,1,11.723811220197877,D+12
Ashland,-,2,9.369371227537126,D+9
Ashland,-,3,11.116404887143815,D+11
Ashland,-,4,13.971061908732862,D+14
Ashland,-,5,12.783546511212885,D+13
Athol,-,1,-2.3744493840132885,R+2
Athol,-,2,-3.0611721022813287,R+3
Athol,-,3,4.35309222299124,D+4
Attleboro,1,A,0.9269783627667838,D+1
Attleboro,1,B,0.4647327948088087,EVEN
Attleboro,2,A,2.317596999519478,D+2
Attleboro,2,B,0.8001295308808332,D+1
Attleboro,3,A,7.210399356422426,D+7
Attleboro,3,B,4.488471667212368,D+4
Attleboro,4,A,10.617510572586585,D+11
Attleboro,4,B,-0.7296031426911931,R+1
Attleboro,5,A,15.673680430802705,D+16
Attleboro,5,B,4.863865115850019,D+5
Attleboro,6,A,2.3758006299272716,D+2
Attleboro,6,B,2.6833899546424345,D+3
Auburn,-,1,0.291601822352372,EVEN
Auburn,-,2,2.2934338725172587,D+2
Auburn,-,3,1.0218601071047773,D+1
Auburn,-,4,2.4014965889811557,D+2
Auburn,-,5,-0.6942643489550759,R+1
Avon,-,1,1.4272996397285964,D+1
Ayer,-,1,6.677829354187271,D+7
Ayer,-,2,5.870613531274871,D+6
Barnstable,-,1,1.3763373193165562,D+1
Barnstable,-,10,-2.557843566412971,R+3
Barnstable,-,11,-2.1952975016638177,R+2
Barnstable,-,12,-2.004750773266312,R+2
Barnstable,-,13,6.838091744536634,D+7
Barnstable,-,2,-0.7886270857287769,R+1
Barnstable,-,3,7.8102331094721205,D+8
Barnstable,-,4,-0.4553816990761739,EVEN
Barnstable,-,5,-6.348931801464486,R+6
Barnstable,-,6,-1.3417500305419439,R+1
Barnstable,-,7,0.9193988717659085,D+1
Barnstable,-,8,9.0355573191217,D+9
Barnstable,-,9,15.096641032556457,D+15
Barre,-,1,-2.0314083297777397,R+2
Barre,-,2,-4.200091524180532,R+4
Becket,-,1,15.184478017738744,D+15
Bedford,-,1,15.528816252334888,D+16
Bedford,-,2,8.944108491575808,D+9
Bedford,-,3,15.49513030065448,D+15
Bedford,-,4,11.027920424900984,D+11
Belchertown,-,A,10.723068463063223,D+11
Belchertown,-,B,2.4321240991566295,D+2
Belchertown,-,C,2.4766198676171247,D+2
Belchertown,-,D,17.604120334407536,D+18
Bellingham,-,1,-1.3784290621548068,R+1
Bellingham,-,2,-0.6277232460306759,R+1
Bellingham,-,3,1.6362047219711795,D+2
Bellingham,-,4,-3.150435744517038,R+3
Bellingham,-,4A,-1.9417712702318457,R+2
Bellingham,-,5,-2.822820853259861,R+3
Belmont,-,1,22.164071685294584,D+22
Belmont,-,2,11.571528911313667,D+12
Belmont,-,3,22.340216857960428,D+22
Belmont,-,4,23.254648761195362,D+23
Belmont,-,5,21.58333604586239,D+22
Belmont,-,6,23.793492085832245,D+24
Belmont,-,7,23.428000499775013,D+23
Belmont,-,8,12.061581477232064,D+12
Berkley,-,1,-4.959149491552256,R+5
Berkley,-,2,-7.083675053373889,R+7
Berlin,-,1,3.5289268033680044,D+4
Bernardston,-,1,16.595615806911002,D+17
Beverly,1,1,7.159706257187826,D+7
Beverly,1,2,8.007558462668896,D+8
Beverly,2,1,18.88820728630597,D+19
Beverly,2,2,18.266574826625725,D+18
Beverly,3,1,16.614615698790068,D+17
Beverly,3,2,11.044983482671844,D+11
Beverly,4,1,11.861308454225739,D+12
Beverly,4,2,17.28298079286753,D+17
Beverly,5,1,8.144776178756741,D+8
Beverly,5,2,6.847711518213062,D+7
Beverly,6,1,8.438486075648699,D+8
Beverly,6,2,1.8096718646919197,D+2
Billerica,-,1,5.088109418185427,D+5
Billerica,-,10,-4.98715005037948,R+5
Billerica,-,11,-4.207022930382031,R+4
Billerica,-,2,0.18797039272003824,EVEN
Billerica,-,3,-0.7739838990465486,R+1
Billerica,-,4,-1.2155741105620343,R+1
Billerica,-,5,-4.61351101191182,R+5
Billerica,-,6,-2.452408255159566,R+2
Billerica,-,7,1.2557566377260576,D+1
Billerica,-,8,-5.05118134286699,R+5
Billerica,-,9,-4.499043275443665,R+4
Blackstone,-,1,-1.2542630837974134,R+1
Blackstone,-,2,-1.4135280747564094,R+1
Blackstone,-,3,-6.824896064018803,R+7
Blandford,-,1,-9.060095318254602,R+9
Bolton,-,1,6.42233710167287,D+6
Boston,1,1,27.249200999648426,D+27
Boston,1,10,27.32652141269498,D+27
Boston,1,11,14.652930561953948,D+15
Boston,1,12,10.671177360619843,D+11
Boston,1,13,19.81719181120225,D+20
Boston,1,14,15.607589937665944,D+16
Boston,1,15,43.919278249354264,D+44
Boston,1,2,26.965115350279344,D+27
Boston,1,3,31.519359327696208,D+32
Boston,1,4,27.01894966227869,D+27
Boston,1,5,25.638645838287065,D+26
Boston,1,6,26.313849969768675,D+26
Boston,1,7,29.407067534611897,D+29
Boston,1,8,29.46320452175736,D+29
Boston,1,9,27.199910660421455,D+27
Boston,10,1,41.24741122303656,D+41
Boston,10,2,38.06284154185372,D+38
Boston,10,3,37.70168058597346,D+38
