City/Town,Ward,Pct,State Rep,State Senate,US House,Gov Council,Clinton_16,Trump_16,Obama_12,Romney_12,County
Fairhaven,-,1,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,832,606,843,576,Bristol
Fairhaven,-,2,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,744,600,884,490,Bristol
Fairhaven,-,3,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,581,536,706,379,Bristol
Fairhaven,-,4,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,705,675,876,509,Bristol
Fairhaven,-,5,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,711,759,882,582,Bristol
Fairhaven,-,6,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,691,648,820,520,Bristol
Marion,-,1,10th Bristol,1st Plymouth and Bristol,9th Congressional,1st District,1861,1159,1727,1458,Plymouth
Mattapoisett,-,1,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,2125,1820,2041,1855,Plymouth
New Bedford,3,A,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,394,121,423,79,Bristol
New Bedford,4,D,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,637,228,720,151,Bristol
New Bedford,4,E,10th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,539,256,674,200,Bristol
New Bedford,1,A,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,610,476,813,436,Bristol
New Bedford,1,B,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,624,493,806,346,Bristol
New Bedford,1,C,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,656,470,789,334,Bristol
New Bedford,2,A,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,272,74,280,55,Bristol
New Bedford,2,B,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,540,237,509,137,Bristol
New Bedford,2,C,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,378,210,474,126,Bristol
New Bedford,2,D,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,435,333,590,206,Bristol
New Bedford,2,E,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,529,374,693,251,Bristol
New Bedford,2,F,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,547,344,725,244,Bristol
New Bedford,3,B,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,537,119,586,101,Bristol
New Bedford,3,C,11th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,436,169,549,94,Bristol
New Bedford,4,A,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,559,80,679,33,Bristol
New Bedford,4,B,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,801,226,1017,119,Bristol
New Bedford,4,C,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,787,182,901,166,Bristol
New Bedford,4,F,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,646,185,820,109,Bristol
New Bedford,5,A,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,483,197,588,133,Bristol
New Bedford,5,B,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,717,233,818,190,Bristol
New Bedford,5,C,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,551,304,731,215,Bristol
New Bedford,5,D,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,811,299,912,231,Bristol
New Bedford,5,E,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,822,501,985,446,Bristol
New Bedford,5,F,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,795,429,931,344,Bristol
New Bedford,6,A,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,634,414,766,294,Bristol
New Bedford,6,B,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,589,337,698,238,Bristol
New Bedford,6,C,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,395,101,428,80,Bristol
New Bedford,6,D,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,311,115,410,75,Bristol
New Bedford,6,E,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,432,150,520,89,Bristol
New Bedford,6,F,13th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,494,223,636,161,Bristol
New Bedford,1,D,8th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,621,534,733,431,Bristol
New Bedford,1,E,8th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,626,431,819,315,Bristol
New Bedford,1,F,8th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,658,539,805,388,Bristol
New Bedford,3,D,9th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,533,209,675,155,Bristol
New Bedford,3,E,9th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,714,392,896,272,Bristol
New Bedford,3,F,9th Bristol,2nd Bristol and Plymouth,9th Congressional,1st District,699,342,854,306,Bristol
Rochester,-,1,10th Bristol,1st Bristol and Plymouth,9th Congressional,1st District,1368,1743,1366,1704,Plymouth
Lynn,1,3,10th Essex,3rd Essex,6th Congressional,6th District,957,648,1006,593,Essex
Lynn,1,4,10th Essex,3rd Essex,6th Congressional,6th District,968,539,966,516,Essex
Lynn,2,1,10th Essex,3rd Essex,6th Congressional,6th District,1075,735,1139,695,Essex
Lynn,2,2,10th Essex,3rd Essex,6th Congressional,6th District,687,237,879,241,Essex
Lynn,2,3,10th Essex,3rd Essex,6th Congressional,6th District,689,125,701,111,Essex
Lynn,2,4,10th Essex,3rd Essex,6th Congressional,6th District,653,172,681,163,Essex
Lynn,3,1,10th Essex,3rd Essex,6th Congressional,6th District,839,446,949,371,Essex
Lynn,3,2,10th Essex,3rd Essex,6th Congressional,6th District,891,266,887,244,Essex
Lynn,3,3,10th Essex,3rd Essex,6th Congressional,6th District,809,291,807,227,Essex
Lynn,4,1,10th Essex,3rd Essex,6th Congressional,6th District,564,86,563,82,Essex
Lynn,4,2,10th Essex,3rd Essex,6th Congressional,6th District,607,99,624,89,Essex
Lynn,5,2,10th Essex,3rd Essex,6th Congressional,6th District,522,91,529,77,Essex
Lynn,5,3,10th Essex,3rd Essex,6th Congressional,6th District,638,94,567,64,Essex
Lynn,4,3,11th Essex,3rd Essex,6th Congressional,6th District,782,202,846,158,Essex
Lynn,5,1,11th Essex,3rd Essex,6th Congressional,6th District,762,336,784,295,Essex
Lynn,5,4,11th Essex,3rd Essex,6th Congressional,6th District,938,306,1004,312,Essex
Lynn,6,1,11th Essex,3rd Essex,6th Congressional,6th District,667,206,692,215,Essex
Lynn,6,2,11th Essex,3rd Essex,6th Congressional,6th District,519,103,492,86,Essex
Lynn,6,3,11th Essex,3rd Essex,6th Congressional,6th District,659,150,761,186,Essex
Lynn,6,4,11th Essex,3rd Essex,6th Congressional,6th District,636,165,661,139,Essex
Lynn,7,1,11th Essex,3rd Essex,6th Congressional,6th District,1070,547,1105,488,Essex
Lynn,7,2,11th Essex,3rd Essex,6th Congressional,6th District,939,421,1030,402,Essex
Lynn,7,3,11th Essex,3rd Essex,6th Congressional,6th District,690,337,755,251,Essex
Lynn,7,4,11th Essex,3rd Essex,6th Congressional,6th District,794,377,821,312,Essex
Lynn,3,4,8th Essex,3rd Essex,6th Congressional,6th District,1003,298,907,274,Essex
Lynn,4,4,8th Essex,3rd Essex,6th Congressional,6th District,900,313,906,287,Essex
Lynn,1,1,9th Essex,3rd Essex,6th Congressional,6th District,930,870,968,841,Essex
Lynn,1,2,9th Essex,3rd Essex,6th Congressional,6th District,976,851,1094,793,Essex
Springfield,1,A,10th Hampden,Hampden,1st Congressional,8th District,664,25,779,9,Hampden
Springfield,1,B,10th Hampden,Hampden,1st Congressional,8th District,686,62,747,30,Hampden
Springfield,1,C,10th Hampden,Hampden,1st Congressional,8th District,550,47,560,30,Hampden
Springfield,1,D,10th Hampden,Hampden,1st Congressional,8th District,626,49,614,50,Hampden
Springfield,1,E,10th Hampden,Hampden,1st Congressional,8th District,694,62,765,40,Hampden
Springfield,1,F,10th Hampden,Hampden,1st Congressional,8th District,613,44,607,39,Hampden
Springfield,1,G,10th Hampden,Hampden,1st Congressional,8th District,674,69,682,69,Hampden
Springfield,1,H,10th Hampden,Hampden,1st Congressional,8th District,676,62,639,56,Hampden
Springfield,3,B,10th Hampden,Hampden,1st Congressional,8th District,570,49,562,36,Hampden
Springfield,3,C,10th Hampden,Hampden,1st Congressional,8th District,429,44,463,47,Hampden
Springfield,3,D,10th Hampden,Hampden,1st Congressional,8th District,569,41,571,29,Hampden
Springfield,3,E,10th Hampden,Hampden,1st Congressional,8th District,481,46,504,41,Hampden
Springfield,3,F,10th Hampden,Hampden,1st Congressional,8th District,441,67,513,91,Hampden
Springfield,3,G,10th Hampden,Hampden,1st Congressional,8th District,401,49,465,48,Hampden
Springfield,3,H,10th Hampden,Hampden,1st Congressional,8th District,550,90,567,79,Hampden
Springfield,6,A,10th Hampden,Hampden,1st Congressional,8th District,581,113,605,133,Hampden
Springfield,6,B,10th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,672,234,688,262,Hampden
Springfield,6,F,10th Hampden,Hampden,1st Congressional,8th District,587,113,600,111,Hampden
Springfield,2,H,11th Hampden,Hampden,1st Congressional,8th District,709,262,738,210,Hampden
Springfield,3,A,11th Hampden,Hampden,1st Congressional,8th District,545,68,617,69,Hampden
Springfield,4,A,11th Hampden,Hampden,1st Congressional,8th District,678,77,801,73,Hampden
Springfield,4,B,11th Hampden,Hampden,1st Congressional,8th District,773,46,875,36,Hampden
Springfield,4,C,11th Hampden,Hampden,1st Congressional,8th District,618,19,700,12,Hampden
Springfield,4,D,11th Hampden,Hampden,1st Congressional,8th District,659,30,718,25,Hampden
Springfield,4,E,11th Hampden,Hampden,1st Congressional,8th District,584,28,703,21,Hampden
Springfield,4,F,11th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,227,17,257,29,Hampden
Springfield,4,G,11th Hampden,Hampden,1st Congressional,8th District,769,54,872,42,Hampden
Springfield,4,H,11th Hampden,Hampden,1st Congressional,8th District,658,30,761,18,Hampden
Springfield,5,A,11th Hampden,Hampden,1st Congressional,8th District,712,64,759,63,Hampden
Springfield,5,B,11th Hampden,Hampden,1st Congressional,8th District,775,172,812,146,Hampden
Springfield,5,E,11th Hampden,Hampden,1st Congressional,8th District,897,174,929,178,Hampden
Springfield,5,F,11th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,774,255,779,214,Hampden
Springfield,6,E,11th Hampden,Hampden,1st Congressional,8th District,539,91,588,120,Hampden
Springfield,7,A,11th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,638,335,697,358,Hampden
Springfield,8,C,11th Hampden,Hampden,1st Congressional,8th District,776,121,836,124,Hampden
Springfield,6,C,12th Hampden,Hampden,1st Congressional,8th District,597,212,676,228,Hampden
Springfield,6,D,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,680,428,738,400,Hampden
Springfield,6,G,12th Hampden,Hampden,1st Congressional,8th District,560,184,615,180,Hampden
Springfield,6,H,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,678,341,699,347,Hampden
Springfield,7,B,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,770,438,812,479,Hampden
Springfield,7,C,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,717,427,781,450,Hampden
Springfield,7,D,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,630,409,718,369,Hampden
Springfield,7,E,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,650,184,728,174,Hampden
Springfield,7,G,12th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,683,532,793,515,Hampden
Springfield,2,E,6th Hampden,Hampden,1st Congressional,8th District,648,238,731,230,Hampden
Springfield,8,E,7th Hampden,Hampden,1st Congressional,8th District,501,152,500,154,Hampden
Springfield,8,F,7th Hampden,Hampden,1st Congressional,8th District,575,280,688,200,Hampden
Springfield,8,G,7th Hampden,Hampden,1st Congressional,8th District,681,265,730,237,Hampden
Springfield,2,A,9th Hampden,Hampden,1st Congressional,8th District,577,105,640,78,Hampden
Springfield,2,B,9th Hampden,Hampden,1st Congressional,8th District,816,222,839,222,Hampden
Springfield,2,C,9th Hampden,Hampden,1st Congressional,8th District,532,127,730,114,Hampden
Springfield,2,D,9th Hampden,Hampden,1st Congressional,8th District,718,224,727,190,Hampden
Springfield,2,F,9th Hampden,Hampden,1st Congressional,8th District,804,179,775,151,Hampden
Springfield,2,G,9th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,717,313,818,283,Hampden
Springfield,5,C,9th Hampden,Hampden,1st Congressional,8th District,612,209,710,199,Hampden
Springfield,5,D,9th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,687,386,765,366,Hampden
Springfield,5,G,9th Hampden,1st Hampden and Hampshire,1st Congressional,8th District,680,488,750,421,Hampden
