city_town,ward,precinct,State_Rep,State_Senate,Gov_Council,US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24
Abington,-,1,Seventh Plymouth,Norfolk and Plymouth,Fourth,8,1037,764,818,717,1019,905
Abington,-,2,Seventh Plymouth,Norfolk and Plymouth,Fourth,8,944.6119235095612,824.5674915635545,727.1543869516311,772.4170416197975,833,882
Abington,-,3,Seventh Plymouth,Norfolk and Plymouth,Fourth,8,1020.755133346626,903.0044147909604,825.1758806068974,860.9592125608045,872,985
Abington,-,4,Seventh Plymouth,Norfolk and Plymouth,Fourth,8,1065.6329431438128,862.428093645485,836.6697324414715,837.623745819398,978,954
Abington,-,5,Seventh Plymouth,Norfolk and Plymouth,Fourth,8,1141,882,908,829,1012,913
Acton,-,1,Fourteenth Middlesex,Middlesex and Worcester,Third,3,1330.8850037148968,335.1951228932847,1100.6254603250702,331.28414495970134,1051,359
Acton,-,2,Fourteenth Middlesex,Middlesex and Worcester,Third,3,1626.4889341134572,375.1472907657085,1318.5448995166623,408.3235817858051,1504,397
Acton,-,3,Thirty-Seventh Middlesex,Middlesex and Worcester,Third,3,1834,388,1580,435,1744,388
Acton,-,4,Thirty-Seventh Middlesex,Middlesex and Worcester,Third,3,1738.1870681145117,352.5528134254689,1419.5335636722607,350.857847976308,1583,377
Acton,-,5,Thirty-Seventh Middlesex,Middlesex and Worcester,Third,3,1715.2379318854887,356.20432943167395,1423.537864899168,349.24572345226346,1561,354
Acton,-,6,Fourteenth Middlesex,Middlesex and Worcester,Third,3,1033.468393759843,231.7183845247909,851.0911073124475,238.76704589516837,1097,220
Acton,-,6A,Thirty-Seventh Middlesex,Middlesex and Worcester,Third,3,460.4205311345072,103.2328635502774,379.16962147921595,106.3731128617533,467,90
Acton,-,7,Fourteenth Middlesex,Middlesex and Worcester,Third,3,1366.312137277296,328.94919540879573,1125.4974827951753,335.14854306900054,1170,351
Acushnet,-,1,Tenth Bristol,Second Bristol and Plymouth,First,9,864.2946679292775,1016.6208994871668,787.4536347201554,877.9102578923419,745,1148
Acushnet,-,2,Eighth Bristol,Second Bristol and Plymouth,First,9,780.0150799058408,957.2453830810708,664.2289690358265,840.3256610985044,670,1201
Acushnet,-,2A,Tenth Bristol,Second Bristol and Plymouth,First,9,99.48665618391928,122.09141177338086,84.71877117791553,107.1789408716604,92,138
Acushnet,-,3,Eighth Bristol,Second Bristol and Plymouth,First,9,917,1190,862,1005,804,1321
Adams,-,1,First Berkshire,"Berkshire, Hampden, Franklin & Hampshire",Eighth,1,523.7103620474406,251.4207240948814,436.2596754057428,253.40823970037457,463,277
Adams,-,2,First Berkshire,"Berkshire, Hampden, Franklin & Hampshire",Eighth,1,591.8232502965599,300.6085409252669,490.08659549228946,277.94780545670227,539,357
Adams,-,3,First Berkshire,"Berkshire, Hampden, Franklin & Hampshire",Eighth,1,583.1767497034401,314.39145907473306,460.91340450771054,260.05219454329773,529,362
