pvi_year,office,district,district_display,PVI_N,PVI
2008,State Representative,Tenth Bristol,10th Bristol,6.896891214288159,D+7
2008,State Representative,Tenth Essex,10th Essex,19.31167705778461,D+19
2008,State Representative,Tenth Hampden,10th Hampden,29.18849921181276,D+29
2008,State Representative,Tenth Middlesex,10th Middlesex,17.020879236346342,D+17
2008,State Representative,Tenth Norfolk,10th Norfolk,2.9767353934931684,D+3
2008,State Representative,Tenth Plymouth,10th Plymouth,8.72744014610587,D+9
2008,State Representative,Tenth Suffolk,10th Suffolk,14.301603428849496,D+14
2008,State Representative,Tenth Worcester,10th Worcester,5.43695300982614,D+5
2008,State Representative,Eleventh Bristol,11th Bristol,19.47514678964072,D+19
2008,State Representative,Eleventh Essex,11th Essex,19.2265078701304,D+19
2008,State Representative,Eleventh Hampden,11th Hampden,33.120969335009754,D+33
2008,State Representative,Eleventh Middlesex,11th Middlesex,25.973557418549508,D+26
2008,State Representative,Eleventh Norfolk,11th Norfolk,4.294846002603059,D+4
2008,State Representative,Eleventh Plymouth,11th Plymouth,10.979373626119248,D+11
2008,State Representative,Eleventh Suffolk,11th Suffolk,42.84175184066928,D+43
2008,State Representative,Eleventh Worcester,11th Worcester,6.028088378151697,D+6
2008,State Representative,Twelfth Bristol,12th Bristol,8.458796699020565,D+8
2008,State Representative,Twelfth Essex,12th Essex,9.82975372660164,D+10
2008,State Representative,Twelfth Hampden,12th Hampden,6.459906229359302,D+6
2008,State Representative,Twelfth Middlesex,12th Middlesex,25.590896644875528,D+26
2008,State Representative,Twelfth Norfolk,12th Norfolk,4.808863773515415,D+5
2008,State Representative,Twelfth Plymouth,12th Plymouth,-0.4973050626456587,EVEN
2008,State Representative,Twelfth Suffolk,12th Suffolk,32.938392999049206,D+33
2008,State Representative,Twelfth Worcester,12th Worcester,3.753453139897589,D+4
2008,State Representative,Thirteenth Bristol,13th Bristol,27.9713919731705,D+28
2008,State Representative,Thirteenth Essex,13th Essex,1.8920242803350475,D+2
2008,State Representative,Thirteenth Middlesex,13th Middlesex,15.617782533932644,D+16
2008,State Representative,Thirteenth Norfolk,13th Norfolk,10.751336453901985,D+11
2008,State Representative,Thirteenth Suffolk,13th Suffolk,24.261233015912065,D+24
2008,State Representative,Thirteenth Worcester,13th Worcester,13.60565739284384,D+14
2008,State Representative,1Fourth Bristol,14th Bristol,0.8749141403953553,D+1
2008,State Representative,1Fourth Essex,14th Essex,6.678958348884656,D+7
2008,State Representative,1Fourth Middlesex,14th Middlesex,14.09345922411992,D+14
2008,State Representative,1Fourth Norfolk,14th Norfolk,11.357758996902302,D+11
2008,State Representative,1Fourth Suffolk,14th Suffolk,24.07102158890453,D+24
2008,State Representative,1Fourth Worcester,14th Worcester,12.40624766412337,D+12
2008,State Representative,1Fifth Essex,15th Essex,2.0786501633371146,D+2
2008,State Representative,1Fifth Middlesex,15th Middlesex,16.776804183691684,D+17
2008,State Representative,1Fifth Norfolk,15th Norfolk,31.849855894521205,D+32
2008,State Representative,1Fifth Suffolk,15th Suffolk,34.56092201452806,D+35
2008,State Representative,1Fifth Worcester,15th Worcester,20.576303635760507,D+21
2008,State Representative,1Sixth Essex,16th Essex,34.275520576567395,D+34
