State Rep,PVI_N,PVI
10th Bristol,5.19936665423435,D+5
10th Essex,21.91103993325021,D+22
10th Hampden,38.12987675356997,D+38
10th Middlesex,19.761210609616363,D+20
10th Norfolk,2.6275522971171084,D+3
10th Plymouth,10.343723717696307,D+10
10th Suffolk,17.16024036138757,D+17
10th Worcester,3.1265024428956067,D+3
11th Bristol,11.043724509455622,D+11
11th Essex,20.649498251701647,D+21
11th Hampden,35.37341159864006,D+35
11th Middlesex,26.930781368348377,D+27
11th Norfolk,6.277657183167252,D+6
11th Plymouth,9.470224979008213,D+9
11th Suffolk,43.232547902876426,D+43
11th Worcester,6.595726469569064,D+7
12th Bristol,-4.613022409539363,R+5
12th Essex,6.538803181587638,D+7
12th Hampden,5.2805229439322865,D+5
12th Middlesex,26.26299585822155,D+26
12th Norfolk,4.489275513030622,D+4
12th Plymouth,-3.229019142489159,R+3
12th Suffolk,38.93158149977422,D+39
12th Worcester,2.6282791168283692,D+3
13th Bristol,24.3136440879545,D+24
13th Essex,-1.2171267039575828,R+1
13th Middlesex,15.527157633553745,D+16
13th Norfolk,13.12493512029258,D+13
13th Suffolk,25.975324802137333,D+26
13th Worcester,14.926641672448026,D+15
14th Bristol,-0.7097256447759714,R+1
14th Essex,6.236302920777293,D+6
14th Middlesex,17.284256543910026,D+17
14th Norfolk,13.916358471257395,D+14
14th Suffolk,29.50773027186071,D+30
14th Worcester,13.770610922427629,D+14
15th Essex,-0.7167166505315681,R+1
15th Middlesex,18.715069498744498,D+19
15th Norfolk,34.1349544593843,D+34
15th Suffolk,37.88263413213748,D+38
15th Worcester,23.828953227348848,D+24
16th Essex,35.11555636278389,D+35
16th Middlesex,8.042386972426307,D+8
16th Suffolk,11.228206032687504,D+11
16th Worcester,18.823236431802226,D+19
17th Essex,21.360395964215183,D+21
17th Middlesex,14.841874076303307,D+15
17th Suffolk,32.698462675844496,D+33
17th Worcester,12.446516845424116,D+12
18th Essex,0.4987237922426502,EVEN
18th Middlesex,22.520136972828787,D+23
18th Suffolk,29.109894085131383,D+29
18th Worcester,-6.171453576291358,R+6
19th Middlesex,-3.055717776353728,R+3
19th Suffolk,11.87617489875995,D+12
1st Barnstable,3.844238509373621,D+4
1st Berkshire,21.92075976867787,D+22
1st Bristol,1.3533613369483666,D+1
1st Essex,9.80287124215634,D+10
1st Franklin,21.784252434761576,D+22
1st Hampden,-3.2203200918698105,R+3
1st Hampshire,26.121213489184903,D+26
1st Middlesex,-0.9331272580183403,R+1
1st Norfolk,14.440392578755201,D+14
1st Plymouth,0.4321258031173225,EVEN
1st Suffolk,24.0108983976138,D+24
1st Worcester,-1.9138872984224342,R+2
20th Middlesex,-3.0244080547600194,R+3
21st Middlesex,6.340744535447429,D+6
