State_Rep,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,dem_pct_24,dem_pct_20,dem_pct_16,PVI_N,PVI,PVI_N_20,PVI_20,shift_20_24,pvi_shift
"Barnstable, Dukes and Nantucket",20549.37293729373,6558.633663366337,17055.96369636964,6359.6897689768975,19135,7037,0.7311248662692954,0.7580554793281392,0.7284000731225044,23.707141503568018,D+24,22.685429838361905,D+23,-0.02693061305884381,1.0217116652061122
Eighteenth Essex,16997.550192281302,9675.32849439803,12909.762381835912,9246.680698656686,15601,10083,0.6074209624669055,0.6372596820893587,0.5826640284695414,11.48667962229657,D+11,9.502963854154078,D+10,-0.029838719622453214,1.983715768142492
Eighteenth Middlesex,8455.234420042163,3704.670375573826,8502.407864843573,2876.4021015438493,6926,3877,0.6411182079052116,0.6953372219731958,0.7472141542006032,16.207433520760773,D+16,20.295785027027648,D+20,-0.05421901406798424,-4.088351506266875
Eighteenth Suffolk,10936.973427660849,1984.2891242050455,9814.22206584761,1758.9404027884627,8923,2078,0.8111080810835378,0.8464322572008643,0.8480155784941851,32.24326095057036,D+32,32.97232361534144,D+33,-0.03532417611732652,-0.7290626647710781
Eighteenth Worcester,12360.455070234642,12993.702118569932,9365.177558045621,11866.840278348267,11563,14159,0.44953736101391806,0.48751196808437186,0.44108749484906384,-3.936739124273342,R+4,-5.110346393570808,R+5,-0.0379746070704538,1.1736072692974657
Eighth Bristol,11168.454366124888,11434.06169028836,9912.08383493122,9724.35921275101,10270,13032,0.44073470088404426,0.4941243858980004,0.5047800057710138,-4.073253942758543,R+4,-1.8379040756023812,R+2,-0.053389685013956134,-2.2353498671561614
Eighth Essex,19110.36908628941,7022.229651257021,15560.522046800268,6943.940782741665,17158,7391,0.6989286732657135,0.7312846792704271,0.6914416115888689,20.785686254560652,D+21,19.53921034339774,D+20,-0.032356006004713556,1.2464759111629107
Eighth Hampden,11606.921196484305,8672.15554008349,9682.41043296746,8151.272127622412,10186,9171,0.5262179056672005,0.5723594494592735,0.5429282707074944,4.207007404892183,D+4,4.113093195471961,D+4,-0.046141543792073025,0.09391420942022144
Eighth Middlesex,18426,7509,14171,7345,17807,7968,0.6908632395732299,0.7104684788895316,0.6586261386874884,19.294087820784167,D+19,16.9504175325894,D+17,-0.019605239316301648,2.3436702881947653
Eighth Norfolk,18210.843854825314,7710.975304462518,14694.789627083883,7428.491166945823,16152,8199,0.6632992484908218,0.7025295463609597,0.6642228955051499,17.577197819863,D+18,16.743340876787737,D+17,-0.039230297870137876,0.8338569430752614
Eighth Plymouth,11802.000000000002,10493,8827,9759,11129,11812,0.4851139880563184,0.5293563579277866,0.4749273646830948,-0.0836044244397871,EVEN,-1.2846167094443195,R+1,-0.04424236987146818,1.2010122850045324
Eighth Suffolk,15606.925504218598,2558.60858581852,14380.712885821542,2456.4857445417388,13531,2764,0.8303774163853943,0.8591503793317153,0.8541036547426692,33.77894907934677,D+34,33.926566626709075,D+34,-0.028772962946321035,-0.1476175473623016
Eighth Worcester,12866.594651916741,11568.503181902046,9784.807830145717,10640.274765475762,12187,12799,0.4877531417593853,0.5265620272700138,0.47905842164101137,-0.08140309301012394,EVEN,-1.2523732159055556,R+1,-0.0388088855106285,1.1709701228954317
Eleventh Bristol,7892.178443906805,4191.8827549113175,7904.44096978773,3190.7967300234336,6316,5053,0.5555457823907116,0.6531064609867001,0.7124174518516408,9.805807506644925,D+10,16.403974882879425,D+16,-0.09756067859598849,-6.5981673762345
Eleventh Essex,11444.17319240743,4764.017568061103,10228.488760838545,4098.00920818534,8940,5361,0.6251311097126075,0.7060734514748894,0.7139559704649474,16.037690264568226,D+16,19.23147207551461,D+19,-0.08094234176228188,-3.1937818109463834
Eleventh Hampden,11343.867451080208,2927.9714067345085,11474.411701761745,2466.1520013010686,9743,3590,0.7307432685817146,0.794842736391235,0.8230952453695081,25.612769986504258,D+26,29.134600678083732,D+29,-0.06409946780952047,-3.521830691579474
Eleventh Middlesex,19545.221732679824,3611.0586866352673,17471.556537940796,3393.1885255552215,17609,3792,0.8228120181299939,0.8440570496968409,0.8373721550285421,32.609768305001715,D+33,32.343148398988475,D+32,-0.021245031566846984,0.2666199060132399
Eleventh Norfolk,18747,9043,14786,8819,16765,9451,0.639494964906927,0.6745951781216265,0.6263927134081763,14.980125570459279,D+15,13.499935358289806,D+13,-0.03510021321469947,1.4801902121694734
Eleventh Plymouth,10740,2125,9774.000000000002,2080,8647,2464,0.7782377823778238,0.8348231636222309,0.8245318036105956,30.084495484942885,D+30,31.243082939692577,D+31,-0.05658538124440704,-1.1585874547496928
Eleventh Suffolk,9041.637872277077,2574.2646222049016,8286.747150185902,1921.441048617435,6441,3002,0.682092555331992,0.7783844498154335,0.8117745273502425,22.74509920588844,D+23,27.654550128852197,D+28,-0.09629189448344155,-4.909450922963757
Eleventh Worcester,14841.84494972312,7519.499567323184,11590.314787332285,7243.198189235067,12812,7850,0.6200755009195624,0.6637277529716076,0.6154090743321732,13.500840747664455,D+14,12.418025208444128,D+12,-0.04365225205204515,1.0828155392203271
Fifteenth Essex,13305.62891033994,10790.931644593782,10427.722193573101,10173.448148462568,12221,11576,0.5135521284195487,0.5521795892823236,0.506171349512889,2.523134863947629,D+3,1.3517294752668163,D+1,-0.03862746086277491,1.171405388680813
Fifteenth Middlesex,19454.79526263858,6100.074525850409,16375.270282564103,6010.996018604482,17497,6065,0.7425940072998897,0.7612950261011251,0.7314873352377345,24.456859254907105,D+24,22.991911879185135,D+23,-0.018701018801235425,1.4649473757219695
Fifteenth Norfolk,19587.33295248165,2108.5887822848094,17918.743607817454,1985.9721760965053,17027,2140,0.8883497678301246,0.9028117446189936,0.9002260470505451,38.827295506075764,D+39,38.41174511980362,D+38,-0.014461976788868958,0.4155503862721446
Fifteenth Suffolk,20688.178463917462,1401.9187988402164,19182.845312177644,1088.010544801392,17424,1718,0.9102497126737018,0.9365363229430524,0.9463263636978207,41.657745277719194,D+42,42.37640098071714,D+42,-0.02628661026935064,-0.7186557029979497
Fifteenth Worcester,8230.811477333857,3086.3427751143204,7583.711647566021,2316.4280120157478,6516,3316,0.6627339300244101,0.7272863207244287,0.7660206732766833,18.9521340273064,D+19,22.79029329966109,D+23,-0.06455239070001861,-3.838159272354691
Fifth Barnstable,15267.882702427243,12435.5049170519,11756.022459204029,12058.48728944077,14155,12828,0.524589556387355,0.551119701032227,0.493649568405372,3.027405835365382,D+3,0.7096617692806118,D+1,-0.02653014464487191,2.3177440660847703
Fifth Bristol,12531.144078709041,11745.063137560905,10384.222694819291,10259.058613614903,11308,13162,0.46211687780956273,0.5161903573763637,0.5030315936535062,-1.8709180290921223,R+2,-0.7314018909542974,R+1,-0.05407347956680092,-1.139516138137825
Fifth Essex,20329.678003339282,8698.97428061489,16425.127899130635,8426.687090793943,18978,9269,0.6718589584734662,0.7003314451004217,0.6609226692613683,17.85341745630433,D+18,16.469743886213763,D+16,-0.02847248662695545,1.3836735700905685
Fifth Hampden,12063.299615804672,5515.4976223129515,12500.082936115863,4590.755034418555,10122,5524,0.6469385146363288,0.6862414676270785,0.7313908749042451,15.997787095997584,D+16,19.10413315774241,D+19,-0.03930295299074971,-3.1063460617448264
Fifth Middlesex,19785,5793,16327,5684,18281,5946,0.7545713460189045,0.7735163030729533,0.7417654808959157,25.654546093058606,D+26,24.137371119509933,D+24,-0.01894495705404875,1.5171749735486735
Fifth Norfolk,14478.137892059904,9952.14156541396,11936.2927380616,9608.136196665724,12202,10478,0.5380070546737213,0.5926308750279424,0.5540315212914076,5.857836708968877,D+6,5.7085535411468875,D+6,-0.054623820354221087,0.1492831678219897
Fifth Plymouth,14244,11954,11115,11557,12815,12892,0.4985023534445871,0.5437056263836935,0.49025229357798167,1.3562480036048208,D+1,0.14501940414106684,EVEN,-0.045203272939106365,1.211228599463754
Fifth Suffolk,14255.513831578925,1412.881893139435,14761.182700180632,654.5754059325174,10581,1927,0.8459385992964503,0.9098260014641779,0.9575385523419089,37.37099425293046,D+37,41.603127308167466,D+42,-0.06388740216772759,-4.232133055237007
Fifth Worcester,12192,12965,9298,12086,11432,14035,0.44889464797581186,0.4846364828874667,0.4348110736999626,-4.109918060503115,R+4,-5.571370201654668,R+6,-0.035741834911654835,1.461452141151553
First Barnstable,18021.160173206652,10677.090313805866,14213.663005690234,10430.724910460101,17244,11187,0.6065210509654954,0.6279532677910865,0.5767504980870521,10.95319772217448,D+11,8.684039172942937,D+9,-0.021432216825591155,2.269158549231543
First Berkshire,15480,6734.000000000002,13384,6298,14143,7486,0.6538906098293957,0.696857837399838,0.6800121938827355,16.790556878620688,D+17,17.148694088439285,D+17,-0.042967227570442246,-0.3581372098185973
First Bristol,14743.773080210738,9573.688905882587,11250.452391345805,9163.324320313397,13224,10412,0.5594855305466238,0.6063039427651788,0.5511205765722018,7.547209052382986,D+8,6.366306867565807,D+6,-0.046818412218555094,1.1809021848171781
First Essex,18801,9615,14523,8959,18138,10149,0.6412132781843249,0.6616342905405406,0.6184737245549783,14.369170130136366,D+14,12.464855775816053,D+12,-0.02042101235621563,1.904314354320313
First Franklin,19356,6167,15867,5773,18168,6754,0.728994462723698,0.7583747992007209,0.7332255083179298,23.610433703863553,D+24,22.937833198423498,D+23,-0.029380336477022984,0.6726005054400552
First Hampden,11072.90093881515,11162.674328261573,8450.049854321787,10378.73421819359,10669,12555,0.4593954529796762,0.49798131174102456,0.4487836188347625,-2.948641469389318,R+3,-4.203387038688888,R+4,-0.038585858761348346,1.25474556929957
First Hampshire,21647.000000000004,4371,18421,4265,20181,4444,0.8195329949238579,0.8320009224383119,0.8119985894384202,31.818311968329883,D+32,30.522685740880963,D+31,-0.012467927514454025,1.2956262274489205
First Middlesex,15019.871759374415,11408.215603696917,11410.441044364436,11085.250504692507,14425,12066,0.5445245555094183,0.5683298815018328,0.5072278404725361,4.865775599005251,D+5,2.2777380055587493,D+2,-0.023805325992414583,2.5880375934465016
First Norfolk,14463.395190143614,6333.959839939803,12104.05385788403,5715.304731056561,12417,6808,0.6458777633289987,0.6954439720446317,0.6792642842597203,16.38792074222033,D+16,17.052087977506936,D+17,-0.049566208715633,-0.6641672352866053
First Plymouth,15610.965326890064,11576.062689623805,11518.78587095827,10996.906357655527,16191,13642,0.5427211477223209,0.5742063942188788,0.511589239806705,4.997793416536966,D+5,2.838325872980041,D+3,-0.03148524649655782,2.1594675435569255
First Suffolk,11243,3299.9999999999995,9123,2831,9582,3886,0.7114642114642115,0.7730867083820395,0.7631755061067426,23.57026151586974,D+24,25.115820388757438,D+25,-0.06162249691782806,-1.5455588728876997
First Worcester,15959.214689265538,12382.316384180793,11978.04160246533,11213.508988186954,15258,13243,0.5353496368548472,0.5631034769401715,0.5164829990838675,4.143231379634615,D+4,2.4665645621878007,D+2,-0.027753840085324333,1.6766668174468147
Fourteenth Bristol,13834.715591628228,9536.823349738252,10200.39742453401,9068.628313045647,12447,10234,0.5487853269256205,0.5919471381981379,0.529367574855669,6.293451731024657,D+6,4.621068268046535,D+5,-0.04316181127251739,1.6723834629781216
Fourteenth Essex,17017,10404.999999999998,13181.999999999998,10204,15890,10494,0.6022589448150394,0.6205601341988185,0.563670572137176,10.383075638402916,D+10,7.6917790536561,D+8,-0.018301189383779115,2.6912965847468158
Fourteenth Middlesex,20004.154468865494,6628.009993592579,16207.758949949355,6455.523315709676,18848,6593,0.7408513816280806,0.7511276260352129,0.7151549700507622,23.835172538761096,D+24,21.713230485189438,D+22,-0.010276244407132262,2.121942053571658
