State_Senate,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,dem_pct_24,dem_pct_20,dem_pct_16,PVI_N,PVI,PVI_N_20,PVI_20,shift_20_24,pvi_shift
"Berkshire, Hampden, Franklin & Hampshire",66761.55795148248,27633.671159029647,55969.29919137467,25832.498652291106,61443,30067,0.6714348158671184,0.7072556376056056,0.6842062236619728,18.186788229768613,D+18,17.90975315780837,D+18,-0.03582082173848722,0.2770350719602419
Bristol and Norfolk,63067,38131.00000000001,48670,36126.99999999999,56716,40883,0.5811125113986824,0.6232040158896421,0.573958984398033,9.47839616473235,D+9,8.329559735240021,D+8,-0.042091504490959775,1.148836429492329
Cape and Islands,72764.37293729374,37075.63366336633,58131.96369636965,36416.6897689769,68902,38588,0.641008465903805,0.6624578347108044,0.6148365055000583,14.409380508630342,D+14,12.297145573362933,D+12,-0.021449368806999436,2.1122349352674092
Fifth Middlesex,67197.54558204766,29126.9144460028,54659.99018232819,28658.503506311365,59447,30111,0.6637821300163023,0.6976166340561805,0.6560367064074882,17.355988873109883,D+17,16.087473132152,D+16,-0.0338345040398782,1.2685157409578842
First Bristol and Plymouth,40825,37434,36468.00000000001,31776.000000000004,36451,41987,0.4647109819220276,0.5216652397807281,0.5343766484965711,-1.4599731568909535,R+1,1.0129354752421271,D+1,-0.05695425785870051,-2.4729086321330804
First Essex,37057.273931688964,19879.83262831317,36477.968368950256,16414.36332045843,28611,23364,0.5504761904761905,0.6508457519286975,0.6896645922731122,9.519211043685772,D+10,15.208325510609267,D+15,-0.10036956145250708,-5.689114466923495
First Essex and Middlesex,73240.67800333929,41556.97428061489,57699.12789913063,39641.687090793945,69530,43359,0.6159147481154054,0.6379980474006305,0.5927536964335348,11.9293645644304,D+12,9.978033571927625,D+10,-0.022083299285225122,1.9513309925027755
First Middlesex,43356.99999999999,28582,37119,25972.999999999996,37670,29992,0.5567379031066182,0.6026911689069906,0.5883313256831294,7.266316629349056,D+7,7.852455241613021,D+8,-0.0459532658003724,-0.5861386122639649
First Plymouth & Norfolk,67448.95115270739,40353.87968888349,52046.848498861254,38909.05846526914,62388,42477,0.594936346731512,0.625669573109997,0.5722206532379099,10.275992493547248,D+10,8.375318526224419,D+8,-0.03073322637848508,1.9006739673228292
First Suffolk,68122.74366166795,16398.102842982964,61986.65499239147,12819.089672312371,56761,18851,0.7506877215256837,0.8059874750298363,0.828634956716621,27.212056215154213,D+27,29.91636281407669,D+30,-0.055299753504152505,-2.7043065989224786
First Worcester,46162.25236091587,20556.456675883208,39421.526251520336,17975.731594789326,40481,21568,0.6524037454270012,0.6918936686178209,0.686818982834995,16.51094380074456,D+17,17.20897761170158,D+17,-0.039489923190819676,-0.6980338109570212
Fourth Middlesex,70996.00219336696,31445.430344869143,58672.82542561609,30969.09686763913,64381,32318,0.6657876503376456,0.6930399198280228,0.6545244002429286,17.20513975219945,D+17,15.760829340432714,D+16,-0.02725226949037718,1.444310411766736
Hampden,40916.904909043245,15997.43317663677,41652.86001621783,12899.639555994925,34122,18343,0.6503764414371486,0.7189208604595576,0.7635371494037723,17.828746548560225,D+18,22.329921307092214,D+22,-0.06854441902240904,-4.501174758531988
Hampden and Hampshire,48483.94073377235,35071.52963311382,41570.873941674516,32008.726246472244,43246,35950,0.546062932471337,0.5802605205964707,0.5649782526050113,5.5864423743640534,D+6,5.5647380243810884,D+6,-0.03419758812513374,0.021704349982965
"Hampden, Hampshire & Worcester",53692.05529599959,39989.711518510965,42817.315896429456,37884.36841572642,49996,42451,0.5408071651865393,0.5731323940795182,0.5305628533205223,4.932168934103808,D+5,3.5974826259668524,D+4,-0.03232522889297895,1.334686308136956
"Hampshire, Franklin and Worcester",62735.442048517514,20864.328840970353,55170.70080862533,19696.501347708894,58200,22880,0.7178095707942772,0.7504260045335374,0.7369141522534851,22.661200817202452,D+23,22.658526314526306,D+23,-0.03261643373926015,0.0026745026761467727
