City/Town,Type,County,Registered Voters,"Per capita income","Median household income","Median family income",Population,"Number of households"
Abington,Town,Plymouth,10596,32208,74589,89554,15985,6080
Acton,Town,Middlesex,13868,47608,105523,129783,21924,8187
Acushnet,Town,Bristol,7337,28814,62457,79209,10303,3934
Adams,Town,Berkshire,5862,22486,38340,46607,8485,3907
Agawam,City,Hampden,20974,30153,62664,73998,28438,11664
Alford,Town,Berkshire,380,47164,82500,115625,494,223
Amesbury,City,Essex,10858,36824,74968,91544,16283,6642
Amherst,Town,Hampshire,15910,20422,50063,94558,37819,9259
Andover,Town,Essex,22835,51194,111002,139043,33201,11851
Aquinnah,Town,Dukes,382,31233,57500,83750,8870,3162
Arlington,Town,Middlesex,29344,45950,82771,105316,42844,18969
Ashburnham,Town,Worcester,4175,30216,80000,94375,6081,2148
Ashby,Town,Middlesex,2342,32259,80143,83419,3074,1105
Ashfield,Town,Franklin,1328,32459,63438,70833,1737,760
Ashland,Town,Middlesex,10303,45651,92974,112130,16593,6385
Athol,Town,Worcester,6432,23356,47099,52763,11584,4656
Attleboro,City,Bristol,26509,29983,64634,79688,43593,16884
Auburn,Town,Worcester,11546,32528,71375,83385,16188,6542
Avon,Town,Norfolk,2955,30287,67313,86452,4356,1709
Ayer,Town,Middlesex,4691,29845,55863,78809,7427,3118
Barnstable,City,Barnstable,31978,35265,62264,72741,45193,19225
Barre,Town,Worcester,3427,32436,75423,87719,5398,2025
Becket,Town,Berkshire,1312,32547,42031,65250,1779,763
Bedford,Town,Middlesex,9607,47935,107639,127997,13320,5130
Belchertown,Town,Hampshire,9382,32374,77090,92472,14649,5595
Bellingham,Town,Norfolk,10481,31786,78290,87950,16332,6155
Belmont,Town,Middlesex,17275,51866,95197,114472,24729,9651
Berkley,Town,Bristol,4327,29102,81125,83929,6411,2109
Berlin,Town,Worcester,2045,41464,92917,100833,2866,1125
Bernardston,Town,Franklin,1457,28457,52875,68906,2129,890
Beverly,City,Essex,24949,36013,66671,87248,39502,15850
Billerica,Town,Middlesex,25387,32517,87073,95128,40243,14034
Blackstone,Town,Worcester,6154,30558,71875,85568,9026,3403
Blandford,Town,Hampden,815,33926,72188,77679,1233,492
Bolton,Town,Worcester,3406,50804,125741,142434,4897,1670
Boston,City,Suffolk,364498,31856,50684,58600,617594,252699
Bourne,Town,Barnstable,13282,30299,61418,76405,19754,7866
Boxborough,Town,Middlesex,3475,46574,102222,124688,4996,1949
Boxford,Town,Essex,5912,67258,143045,168102,7965,2688
Boylston,Town,Worcester,3076,51259,88214,105789,4355,1698
Braintree,City,Norfolk,24489,37177,81146,94670,35744,13736
Brewster,Town,Barnstable,8038,34569,58374,78635,9820,4383
Bridgewater,City,Plymouth,15143,27645,86002,96369,26563,7995
Brimfield,Town,Hampden,2518,30332,75625,81964,3609,1429
Brockton,City,Plymouth,52939,22254,49913,57861,93810,33303
Brookfield,Town,Worcester,2168,28822,60189,74661,3390,1375
Brookline,Town,Norfolk,38216,63028,95448,139787,58732,25092
Buckland,Town,Franklin,1287,27333,49485,64792,1902,823
Burlington,Town,Middlesex,16705,39408,90341,104522,24498,9269
Cambridge,City,Middlesex,62786,44717,64865,87750,105162,44032
Canton,Town,Norfolk,15088,43149,89705,106038,21561,8378
Carlisle,Town,Middlesex,3836,63915,155000,170694,4852,1695
Carver,Town,Plymouth,8046,28826,71112,85013,11509,4297
Charlemont,Town,Franklin,775,29798,59063,67750,1266,561
Charlton,Town,Worcester,9309,32873,87758,91774,12981,4608
Chatham,Town,Barnstable,5496,48729,65990,90445,6125,3085
Chelmsford,Town,Middlesex,23834,42035,92550,111356,33802,13313
Chelsea,City,Suffolk,13413,18630,40487,43060,35177,11831
Cheshire,Town,Berkshire,2266,33085,57419,71157,3235,1403
Chester,Town,Hampden,834,28069,55208,72396,1337,543
Chesterfield,Town,Hampshire,852,33276,58750,69000,1222,511
Chicopee,City,Hampden,34879,22829,44226,56446,55298,23739
Chilmark,Town,Dukes,891,49133,72917,88958,866,398
Clarksburg,Town,Berkshire,1115,23986,52054,60577,1702,675
Clinton,Town,Worcester,9035,29738,58826,76304,13606,5831
Cohasset,Town,Norfolk,5626,58845,114214,143839,7542,2722
Colrain,Town,Franklin,1142,27384,58611,65735,1671,683
Concord,Town,Middlesex,12659,65024,119858,153475,17668,6484
Conway,Town,Franklin,1503,32288,78309,81328,1897,770
Cummington,Town,Hampshire,650,26971,60000,70313,872,404
Dalton,Town,Berkshire,4581,27483,57222,65119,6756,2737
Danvers,Town,Essex,18308,39118,75310,98487,26493,10615
Dartmouth,Town,Bristol,22872,30589,70007,81056,34032,11237
Dedham,Town,Norfolk,17312,40809,80865,100561,24729,9651
Deerfield,Town,Franklin,3537,33133,61912,84469,5125,2053
Dennis,Town,Barnstable,11549,31490,50642,61896,14207,6928
Dighton,Town,Bristol,4737,33456,83621,90833,7086,2472
Douglas,Town,Worcester,6060,34044,86214,95428,8471,3000
Dover,Town,Norfolk,4051,76714,164583,178065,5589,1869
Dracut,Town,Middlesex,19433,31052,70833,85932,29457,10956
Dudley,Town,Worcester,6934,26006,64782,73762,11390,4062
Dunstable,Town,Middlesex,2196,40693,113594,118913,3179,1063
Duxbury,Town,Plymouth,11155,54373,114565,134088,15059,5344
East Bridgewater,Town,Plymouth,9380,30965,78492,95310,13794,4750
East Brookfield,Town,Worcester,1474,30154,71964,87348,2183,828
East Longmeadow,Town,Hampden,10993,35836,77956,93135,15720,5851
Eastham,Town,Barnstable,4178,35812,58750,74479,4956,2388
Easthampton,City,Hampshire,11582,29333,54657,80403,16053,7224
Easton,Town,Bristol,15539,37504,86050,107711,23112,7865
Edgartown,Town,Dukes,3214,37147,67625,79219,4067,1794
Egremont,Town,Berkshire,938,35095,51856,62279,1225,563
Erving,Town,Franklin,1093,22491,51458,54375,1800,745
Essex,Town,Essex,2656,40827,76989,102083,3504,1402
Everett,City,Middlesex,18959,23876,49737,59942,41667,15543
Fairhaven,Town,Bristol,10719,27438,54144,69269,15873,6672
Fall River,City,Bristol,49384,20337,34236,44498,88857,38457
Falmouth,Town,Barnstable,24911,38194,62392,79152,31531,14069
Fitchburg,City,Worcester,21044,22972,47019,57245,40318,15165
Florida,Town,Berkshire,531,22879,53333,59732,752,308
Foxborough,Town,Norfolk,11857,41835,93397,110858,16865,6504
Framingham,Town,Middlesex,35518,33287,64061,84362,68318,26173
Franklin,City,Norfolk,20457,37559,89330,105116,31635,10995
Freetown,Town,Bristol,6281,31339,82308,91033,8870,3162
Gardner,City,Worcester,11468,24321,48333,62939,20228,8224
Georgetown,Town,Essex,6074,39448,101875,119333,8183,2937
Gill,Town,Franklin,1043,28922,58487,71528,1500,568
Gloucester,City,Essex,20337,34204,60506,79500,28789,12486
Goshen,Town,Hampshire,740,31123,70625,68864,1054,416
Gosnold,Town,Dukes,147,30349,46250,57917,75,39
Grafton,Town,Worcester,11964,39304,91743,110926,17765,6892
Granby,Town,Hampshire,4457,30142,66726,82460,6240,2374
Granville,Town,Hampden,1121,32015,69125,82847,1566,608
Great Barrington,Town,Berkshire,4432,32325,52843,73389,7104,2879
Greenfield,City,Franklin,11254,24452,45261,55621,17456,7852
Groton,Town,Middlesex,7635,48557,123853,131620,10646,3753
Groveland,Town,Essex,4569,34254,84232,95451,6459,2346
Hadley,Town,Hampshire,3696,29249,69911,83444,5250,2107
Halifax,Town,Plymouth,5203,33839,81855,89088,7518,2863
Hamilton,Town,Essex,5736,34435,99732,104449,7764,2692
Hampden,Town,Hampden,3540,37029,78869,96979,5139,1898
Hancock,Town,Berkshire,512,27932,74205,75156,717,299
Hanover,Town,Plymouth,9274,41043,100233,110000,13879,4709
Hanson,Town,Plymouth,6824,31040,81964,89567,10209,3468
Hardwick,Town,Worcester,1685,30014,57866,70868,2990,1094
Harvard,Town,Worcester,4168,48946,141274,154543,6520,1893
Harwich,Town,Barnstable,10192,35311,54958,67212,12243,5623
Hatfield,Town,Hampshire,2497,33942,53939,77361,3279,1483
Haverhill,City,Essex,42078,29684,61956,75342,60879,24150
Hawley,Town,Franklin,244,33845,65313,75156,337,128
Heath,Town,Franklin,493,34814,68875,76250,706,302
Hingham,Town,Plymouth,16490,54432,98890,129338,22157,8465
Hinsdale,Town,Berkshire,1375,29328,60766,65625,2032,868
Holbrook,Town,Norfolk,6900,28481,62623,72520,10791,4102
Holden,Town,Worcester,12613,38322,88405,105753,17346,6394
Holland,Town,Hampden,1700,30260,67596,84479,2481,994
Holliston,Town,Middlesex,10305,44625,103600,118005,13547,4940
Holyoke,City,Hampden,24809,18766,31948,39935,39880,15361
Hopedale,Town,Worcester,3816,37837,97227,103177,5911,2194
Hopkinton,Town,Middlesex,10073,57285,120240,144038,14925,4957
