election_id,office,district,candidate_id,name,city_town,ward,precinct,votes
154338,Governor,,77961,Maura Healey,Abington,-,1,622
154338,Governor,,77961,Maura Healey,Abington,-,2,610
154338,Governor,,77961,Maura Healey,Abington,-,3,670
154338,Governor,,77961,Maura Healey,Abington,-,4,705
154338,Governor,,77961,Maura Healey,Abington,-,5,713
154338,Governor,,77961,Maura Healey,Acton,-,1,782
154338,Governor,,77961,Maura Healey,Acton,-,2,1177
154338,Governor,,77961,Maura Healey,Acton,-,3,1381
154338,Governor,,77961,Maura Healey,Acton,-,4,1252
154338,Governor,,77961,Maura Healey,Acton,-,5,1221
154338,Governor,,77961,Maura Healey,Acton,-,6,841
154338,Governor,,77961,Maura Healey,Acton,-,6A,379
154338,Governor,,77961,Maura Healey,Acton,-,7,903
154338,Governor,,77961,Maura Healey,Acushnet,-,1,564
154338,Governor,,77961,Maura Healey,Acushnet,-,2,488
154338,Governor,,77961,Maura Healey,Acushnet,-,2A,60
154338,Governor,,77961,Maura Healey,Acushnet,-,3,623
154338,Governor,,77961,Maura Healey,Adams,-,1,315
154338,Governor,,77961,Maura Healey,Adams,-,2,409
154338,Governor,,77961,Maura Healey,Adams,-,3,355
154338,Governor,,77961,Maura Healey,Adams,-,4,324
154338,Governor,,77961,Maura Healey,Adams,-,5,470
154338,Governor,,77961,Maura Healey,Agawam,-,1,521
154338,Governor,,77961,Maura Healey,Agawam,-,2,735
154338,Governor,,77961,Maura Healey,Agawam,-,3,560
154338,Governor,,77961,Maura Healey,Agawam,-,4,540
154338,Governor,,77961,Maura Healey,Agawam,-,5,789
154338,Governor,,77961,Maura Healey,Agawam,-,6,629
154338,Governor,,77961,Maura Healey,Agawam,-,7,667
154338,Governor,,77961,Maura Healey,Agawam,-,8,719
154338,Governor,,77961,Maura Healey,Alford,,,217
154338,Governor,,77961,Maura Healey,Amesbury,-,1,1042
154338,Governor,,77961,Maura Healey,Amesbury,-,2,842
154338,Governor,,77961,Maura Healey,Amesbury,-,3,972
154338,Governor,,77961,Maura Healey,Amesbury,-,4,656
154338,Governor,,77961,Maura Healey,Amesbury,-,5,777
154338,Governor,,77961,Maura Healey,Amesbury,-,6,718
154338,Governor,,77961,Maura Healey,Amherst,-,1A,651
154338,Governor,,77961,Maura Healey,Amherst,-,1B,365
154338,Governor,,77961,Maura Healey,Amherst,-,2A,428
154338,Governor,,77961,Maura Healey,Amherst,-,2B,1201
154338,Governor,,77961,Maura Healey,Amherst,-,3A,389
154338,Governor,,77961,Maura Healey,Amherst,-,3B,1100
154338,Governor,,77961,Maura Healey,Amherst,-,4A,585
154338,Governor,,77961,Maura Healey,Amherst,-,4B,369
154338,Governor,,77961,Maura Healey,Amherst,-,5A,431
154338,Governor,,77961,Maura Healey,Amherst,-,5B,1847
154338,Governor,,77961,Maura Healey,Andover,-,1,772
154338,Governor,,77961,Maura Healey,Andover,-,2,1015
154338,Governor,,77961,Maura Healey,Andover,-,3,1197
154338,Governor,,77961,Maura Healey,Andover,-,4,600
154338,Governor,,77961,Maura Healey,Andover,-,4A,283
154338,Governor,,77961,Maura Healey,Andover,-,5,986
154338,Governor,,77961,Maura Healey,Andover,-,6,898
154338,Governor,,77961,Maura Healey,Andover,-,7,1051
154338,Governor,,77961,Maura Healey,Andover,-,8,1140
154338,Governor,,77961,Maura Healey,Andover,-,9,936
154338,Governor,,77961,Maura Healey,Andover,-,10,1079
154338,Governor,,77961,Maura Healey,Aquinnah,,,221
154338,Governor,,77961,Maura Healey,Arlington,-,1,625
154338,Governor,,77961,Maura Healey,Arlington,-,2,940
154338,Governor,,77961,Maura Healey,Arlington,-,3,920
154338,Governor,,77961,Maura Healey,Arlington,-,4,823
154338,Governor,,77961,Maura Healey,Arlington,-,5,945
154338,Governor,,77961,Maura Healey,Arlington,-,6,865
