city_town,ward,precinct,receiver,votes,office,district
Abington,-,1,Clinton/ Kaine,818,President,
Abington,-,1,Trump/ Pence,717,President,
Abington,-,1,Johnson/ Weld,97,President,
Abington,-,1,Stein/ Baraka,25,President,
Abington,-,1,Mcmullin/ Johnson,0,President,
Abington,-,1,Kotlikoff/ Leamer,0,President,
Abington,-,1,Feegbeh/ O'Brien,0,President,
Abington,-,1,Moorehead/ Lilly,0,President,
Abington,-,1,Schoenke/ Mitchel,0,President,
Abington,-,1,All Others,30,President,
Abington,-,1,No Preference,0,President,
Abington,-,1,Blanks,22,President,
Abington,-,1,Total Votes Cast,1709,President,
Abington,-,2,Clinton/ Kaine,739,President,
Abington,-,2,Trump/ Pence,785,President,
Abington,-,2,Johnson/ Weld,67,President,
Abington,-,2,Stein/ Baraka,27,President,
Abington,-,2,Mcmullin/ Johnson,0,President,
Abington,-,2,Kotlikoff/ Leamer,0,President,
Abington,-,2,Feegbeh/ O'Brien,0,President,
Abington,-,2,Moorehead/ Lilly,0,President,
Abington,-,2,Schoenke/ Mitchel,0,President,
Abington,-,2,All Others,12,President,
Abington,-,2,No Preference,0,President,
Abington,-,2,Blanks,41,President,
Abington,-,2,Total Votes Cast,1671,President,
Abington,-,3,Clinton/ Kaine,773,President,
Abington,-,3,Trump/ Pence,808,President,
Abington,-,3,Johnson/ Weld,80,President,
Abington,-,3,Stein/ Baraka,18,President,
Abington,-,3,Mcmullin/ Johnson,0,President,
Abington,-,3,Kotlikoff/ Leamer,0,President,
Abington,-,3,Feegbeh/ O'Brien,0,President,
Abington,-,3,Moorehead/ Lilly,0,President,
Abington,-,3,Schoenke/ Mitchel,0,President,
Abington,-,3,All Others,13,President,
Abington,-,3,No Preference,0,President,
Abington,-,3,Blanks,34,President,
Abington,-,3,Total Votes Cast,1726,President,
Abington,-,4,Clinton/ Kaine,877,President,
Abington,-,4,Trump/ Pence,878,President,
Abington,-,4,Johnson/ Weld,87,President,
Abington,-,4,Stein/ Baraka,16,President,
Abington,-,4,Mcmullin/ Johnson,0,President,
Abington,-,4,Kotlikoff/ Leamer,0,President,
Abington,-,4,Feegbeh/ O'Brien,0,President,
Abington,-,4,Moorehead/ Lilly,0,President,
Abington,-,4,Schoenke/ Mitchel,0,President,
Abington,-,4,All Others,26,President,
Abington,-,4,No Preference,0,President,
Abington,-,4,Blanks,35,President,
Abington,-,4,Total Votes Cast,1919,President,
Abington,-,5,Clinton/ Kaine,908,President,
Abington,-,5,Trump/ Pence,829,President,
Abington,-,5,Johnson/ Weld,86,President,
Abington,-,5,Stein/ Baraka,16,President,
Abington,-,5,Mcmullin/ Johnson,0,President,
Abington,-,5,Kotlikoff/ Leamer,0,President,
Abington,-,5,Feegbeh/ O'Brien,0,President,
Abington,-,5,Moorehead/ Lilly,0,President,
Abington,-,5,Schoenke/ Mitchel,0,President,
Abington,-,5,All Others,20,President,
Abington,-,5,No Preference,0,President,
Abington,-,5,Blanks,28,President,
Abington,-,5,Total Votes Cast,1887,President,
Acton,-,1,Clinton/ Kaine,1459,President,
Acton,-,1,Trump/ Pence,438,President,
Acton,-,1,Johnson/ Weld,89,President,
Acton,-,1,Stein/ Baraka,30,President,
Acton,-,1,Mcmullin/ Johnson,4,President,
Acton,-,1,Kotlikoff/ Leamer,0,President,
Acton,-,1,Feegbeh/ O'Brien,0,President,
Acton,-,1,Moorehead/ Lilly,0,President,
Acton,-,1,Schoenke/ Mitchel,0,President,
Acton,-,1,All Others,27,President,
Acton,-,1,No Preference,0,President,
Acton,-,1,Blanks,37,President,
Acton,-,1,Total Votes Cast,2084,President,
Acton,-,2,Clinton/ Kaine,1550,President,
Acton,-,2,Trump/ Pence,480,President,
Acton,-,2,Johnson/ Weld,96,President,
Acton,-,2,Stein/ Baraka,26,President,
Acton,-,2,Mcmullin/ Johnson,8,President,
Acton,-,2,Kotlikoff/ Leamer,0,President,
Acton,-,2,Feegbeh/ O'Brien,0,President,
Acton,-,2,Moorehead/ Lilly,0,President,
Acton,-,2,Schoenke/ Mitchel,0,President,
Acton,-,2,All Others,35,President,
Acton,-,2,No Preference,0,President,
Acton,-,2,Blanks,33,President,
Acton,-,2,Total Votes Cast,2228,President,
Acton,-,3,Clinton/ Kaine,1580,President,
Acton,-,3,Trump/ Pence,435,President,
Acton,-,3,Johnson/ Weld,90,President,
Acton,-,3,Stein/ Baraka,44,President,
Acton,-,3,Mcmullin/ Johnson,14,President,
Acton,-,3,Kotlikoff/ Leamer,0,President,
Acton,-,3,Feegbeh/ O'Brien,0,President,
Acton,-,3,Moorehead/ Lilly,0,President,
Acton,-,3,Schoenke/ Mitchel,0,President,
Acton,-,3,All Others,43,President,
Acton,-,3,No Preference,0,President,
Acton,-,3,Blanks,29,President,
Acton,-,3,Total Votes Cast,2235,President,
Acton,-,4,Clinton/ Kaine,1675,President,
Acton,-,4,Trump/ Pence,414,President,
Acton,-,4,Johnson/ Weld,104,President,
Acton,-,4,Stein/ Baraka,45,President,
Acton,-,4,Mcmullin/ Johnson,4,President,
Acton,-,4,Kotlikoff/ Leamer,0,President,
Acton,-,4,Feegbeh/ O'Brien,0,President,
Acton,-,4,Moorehead/ Lilly,0,President,
Acton,-,4,Schoenke/ Mitchel,0,President,
Acton,-,4,All Others,52,President,
Acton,-,4,No Preference,0,President,
Acton,-,4,Blanks,18,President,
Acton,-,4,Total Votes Cast,2312,President,
Acton,-,5,Clinton/ Kaine,1580,President,
Acton,-,5,Trump/ Pence,387,President,
Acton,-,5,Johnson/ Weld,95,President,
Acton,-,5,Stein/ Baraka,33,President,
