city_town,ward,precinct,receiver,votes,office,district
Abington,-,1,Alyson M. Sullivan,843,State Representative,Seventh Plymouth
Abington,-,1,Brandon J. Griffin,270,State Representative,Seventh Plymouth
Abington,-,1,All Others,2,State Representative,Seventh Plymouth
Abington,-,1,Blanks,94,State Representative,Seventh Plymouth
Abington,-,1,Total Votes Cast,1209,State Representative,Seventh Plymouth
Abington,-,2,Alyson M. Sullivan,847,State Representative,Seventh Plymouth
Abington,-,2,Brandon J. Griffin,275,State Representative,Seventh Plymouth
Abington,-,2,All Others,2,State Representative,Seventh Plymouth
Abington,-,2,Blanks,109,State Representative,Seventh Plymouth
Abington,-,2,Total Votes Cast,1233,State Representative,Seventh Plymouth
Abington,-,3,Alyson M. Sullivan,984,State Representative,Seventh Plymouth
Abington,-,3,Brandon J. Griffin,284,State Representative,Seventh Plymouth
Abington,-,3,All Others,0,State Representative,Seventh Plymouth
Abington,-,3,Blanks,104,State Representative,Seventh Plymouth
Abington,-,3,Total Votes Cast,1372,State Representative,Seventh Plymouth
Abington,-,4,Alyson M. Sullivan,1040,State Representative,Seventh Plymouth
Abington,-,4,Brandon J. Griffin,249,State Representative,Seventh Plymouth
Abington,-,4,All Others,3,State Representative,Seventh Plymouth
Abington,-,4,Blanks,112,State Representative,Seventh Plymouth
Abington,-,4,Total Votes Cast,1404,State Representative,Seventh Plymouth
Abington,-,5,Alyson M. Sullivan,1000,State Representative,Seventh Plymouth
Abington,-,5,Brandon J. Griffin,296,State Representative,Seventh Plymouth
Abington,-,5,All Others,1,State Representative,Seventh Plymouth
Abington,-,5,Blanks,121,State Representative,Seventh Plymouth
Abington,-,5,Total Votes Cast,1418,State Representative,Seventh Plymouth
Acton,-,1,Simon Cataldo,785,State Representative,Fourteenth Middlesex
Acton,-,1,Rodney E. Cleaves,256,State Representative,Fourteenth Middlesex
Acton,-,1,All Others,2,State Representative,Fourteenth Middlesex
Acton,-,1,Blanks,29,State Representative,Fourteenth Middlesex
Acton,-,1,Total Votes Cast,1072,State Representative,Fourteenth Middlesex
Acton,-,2,Simon Cataldo,1198,State Representative,Fourteenth Middlesex
Acton,-,2,Rodney E. Cleaves,329,State Representative,Fourteenth Middlesex
Acton,-,2,All Others,1,State Representative,Fourteenth Middlesex
Acton,-,2,Blanks,44,State Representative,Fourteenth Middlesex
Acton,-,2,Total Votes Cast,1572,State Representative,Fourteenth Middlesex
