city_town,ward,precinct,receiver,votes,office,district
Abington,-,1,John F. Keenan,660,State Senate,Norfolk and Plymouth
Abington,-,1,Gary M. Innes,512,State Senate,Norfolk and Plymouth
Abington,-,1,All Others,0,State Senate,Norfolk and Plymouth
Abington,-,1,Blanks,37,State Senate,Norfolk and Plymouth
Abington,-,1,Total Votes Cast,1209,State Senate,Norfolk and Plymouth
Abington,-,2,John F. Keenan,643,State Senate,Norfolk and Plymouth
Abington,-,2,Gary M. Innes,554,State Senate,Norfolk and Plymouth
Abington,-,2,All Others,1,State Senate,Norfolk and Plymouth
Abington,-,2,Blanks,35,State Senate,Norfolk and Plymouth
Abington,-,2,Total Votes Cast,1233,State Senate,Norfolk and Plymouth
Abington,-,3,John F. Keenan,717,State Senate,Norfolk and Plymouth
Abington,-,3,Gary M. Innes,611,State Senate,Norfolk and Plymouth
Abington,-,3,All Others,1,State Senate,Norfolk and Plymouth
Abington,-,3,Blanks,43,State Senate,Norfolk and Plymouth
Abington,-,3,Total Votes Cast,1372,State Senate,Norfolk and Plymouth
Abington,-,4,John F. Keenan,739,State Senate,Norfolk and Plymouth
Abington,-,4,Gary M. Innes,629,State Senate,Norfolk and Plymouth
Abington,-,4,All Others,0,State Senate,Norfolk and Plymouth
Abington,-,4,Blanks,36,State Senate,Norfolk and Plymouth
Abington,-,4,Total Votes Cast,1404,State Senate,Norfolk and Plymouth
Abington,-,5,John F. Keenan,759,State Senate,Norfolk and Plymouth
Abington,-,5,Gary M. Innes,612,State Senate,Norfolk and Plymouth
Abington,-,5,All Others,0,State Senate,Norfolk and Plymouth
Abington,-,5,Blanks,47,State Senate,Norfolk and Plymouth
Abington,-,5,Total Votes Cast,1418,State Senate,Norfolk and Plymouth
Acton,-,1,James B. Eldridge,810,State Senate,Middlesex and Worcester
Acton,-,1,Anthony Christakis,234,State Senate,Middlesex and Worcester
Acton,-,1,All Others,1,State Senate,Middlesex and Worcester
Acton,-,1,Blanks,27,State Senate,Middlesex and Worcester
Acton,-,1,Total Votes Cast,1072,State Senate,Middlesex and Worcester
Acton,-,2,James B. Eldridge,1189,State Senate,Middlesex and Worcester
Acton,-,2,Anthony Christakis,346,State Senate,Middlesex and Worcester
Acton,-,2,All Others,1,State Senate,Middlesex and Worcester
Acton,-,2,Blanks,36,State Senate,Middlesex and Worcester
Acton,-,2,Total Votes Cast,1572,State Senate,Middlesex and Worcester
Acton,-,3,James B. Eldridge,1386,State Senate,Middlesex and Worcester
Acton,-,3,Anthony Christakis,350,State Senate,Middlesex and Worcester
Acton,-,3,All Others,2,State Senate,Middlesex and Worcester
Acton,-,3,Blanks,45,State Senate,Middlesex and Worcester
Acton,-,3,Total Votes Cast,1783,State Senate,Middlesex and Worcester
Acton,-,4,James B. Eldridge,1247,State Senate,Middlesex and Worcester
Acton,-,4,Anthony Christakis,284,State Senate,Middlesex and Worcester
Acton,-,4,All Others,1,State Senate,Middlesex and Worcester
Acton,-,4,Blanks,49,State Senate,Middlesex and Worcester
Acton,-,4,Total Votes Cast,1581,State Senate,Middlesex and Worcester
Acton,-,5,James B. Eldridge,1228,State Senate,Middlesex and Worcester
Acton,-,5,Anthony Christakis,288,State Senate,Middlesex and Worcester
Acton,-,5,All Others,1,State Senate,Middlesex and Worcester
Acton,-,5,Blanks,54,State Senate,Middlesex and Worcester
