city_town,ward,precinct,receiver,votes,office,district
Abington,-,1,Stephen F. Lynch,1179,U.S. House,8
Abington,-,1,Robert G. Burke,739,U.S. House,8
Abington,-,1,All Others,1,U.S. House,8
Abington,-,1,Blanks,82,U.S. House,8
Abington,-,1,Total Votes Cast,2001,U.S. House,8
Abington,-,2,Stephen F. Lynch,996,U.S. House,8
Abington,-,2,Robert G. Burke,712,U.S. House,8
Abington,-,2,All Others,1,U.S. House,8
Abington,-,2,Blanks,65,U.S. House,8
Abington,-,2,Total Votes Cast,1774,U.S. House,8
Abington,-,3,Stephen F. Lynch,1043,U.S. House,8
Abington,-,3,Robert G. Burke,791,U.S. House,8
Abington,-,3,All Others,2,U.S. House,8
Abington,-,3,Blanks,73,U.S. House,8
Abington,-,3,Total Votes Cast,1909,U.S. House,8
Abington,-,4,Stephen F. Lynch,1154,U.S. House,8
Abington,-,4,Robert G. Burke,776,U.S. House,8
Abington,-,4,All Others,1,U.S. House,8
Abington,-,4,Blanks,71,U.S. House,8
Abington,-,4,Total Votes Cast,2002,U.S. House,8
Abington,-,5,Stephen F. Lynch,1195,U.S. House,8
Abington,-,5,Robert G. Burke,723,U.S. House,8
Abington,-,5,All Others,1,U.S. House,8
Abington,-,5,Blanks,70,U.S. House,8
Abington,-,5,Total Votes Cast,1989,U.S. House,8
Acton,-,1,Lori Loureiro Trahan,1194,U.S. House,3
Acton,-,1,All Others,28,U.S. House,3
Acton,-,1,Blanks,251,U.S. House,3
Acton,-,1,Total Votes Cast,1473,U.S. House,3
Acton,-,2,Lori Loureiro Trahan,1584,U.S. House,3
Acton,-,2,All Others,29,U.S. House,3
Acton,-,2,Blanks,391,U.S. House,3
Acton,-,2,Total Votes Cast,2004,U.S. House,3
Acton,-,3,Lori Loureiro Trahan,1827,U.S. House,3
Acton,-,3,All Others,44,U.S. House,3
Acton,-,3,Blanks,370,U.S. House,3
Acton,-,3,Total Votes Cast,2241,U.S. House,3
Acton,-,4,Lori Loureiro Trahan,1693,U.S. House,3
Acton,-,4,All Others,29,U.S. House,3
Acton,-,4,Blanks,335,U.S. House,3
Acton,-,4,Total Votes Cast,2057,U.S. House,3
Acton,-,5,Lori Loureiro Trahan,1636,U.S. House,3
Acton,-,5,All Others,34,U.S. House,3
Acton,-,5,Blanks,330,U.S. House,3
Acton,-,5,Total Votes Cast,2000,U.S. House,3
Acton,-,6,Lori Loureiro Trahan,1132,U.S. House,3
Acton,-,6,All Others,26,U.S. House,3
Acton,-,6,Blanks,217,U.S. House,3
Acton,-,6,Total Votes Cast,1375,U.S. House,3
Acton,-,6A,Lori Loureiro Trahan,486,U.S. House,3
Acton,-,6A,All Others,10,U.S. House,3
Acton,-,6A,Blanks,88,U.S. House,3
Acton,-,6A,Total Votes Cast,584,U.S. House,3
Acton,-,7,Lori Loureiro Trahan,1256,U.S. House,3
Acton,-,7,All Others,35,U.S. House,3
Acton,-,7,Blanks,306,U.S. House,3
Acton,-,7,Total Votes Cast,1597,U.S. House,3
Acushnet,-,1,Bill Keating,834,U.S. House,9
Acushnet,-,1,Dan Sullivan,996,U.S. House,9
Acushnet,-,1,All Others,3,U.S. House,9
Acushnet,-,1,Blanks,97,U.S. House,9
Acushnet,-,1,Total Votes Cast,1930,U.S. House,9
Acushnet,-,2,Bill Keating,751,U.S. House,9
Acushnet,-,2,Dan Sullivan,1054,U.S. House,9
Acushnet,-,2,All Others,109,U.S. House,9
