election_id,office,district,candidate_id,name,city_town,ward,precinct,votes
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,1,51
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,2,33
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,3,49
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,4,26
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,5,43
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,6,44
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,6A,2
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,7,32
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,8,44
171919,State Senate,First Middlesex,82239,Vanna Howard,Dracut,-,9,36
171919,State Senate,First Middlesex,82239,Vanna Howard,Dunstable,-,1,156
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,1,1,36
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,1,1A,0
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,1,2,48
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,1,3,72
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,1,4,71
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,2,1,23
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,2,2,36
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,2,3,75
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,2,4,49
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,3,1,58
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,3,2,239
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,3,3,235
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,3,4,62
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,4,1,56
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,4,2,138
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,4,3,63
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,4,3A,0
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,4,4,36
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,4,4A,0
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,5,1,61
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,5,1A,0
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,5,2,49
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,5,3,20
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,5,4,68
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,6,1,63
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,6,2,37
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,6,3,31
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,6,3A,0
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,6,4,56
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,6,4A,0
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,7,1,41
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,7,2,26
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,7,3,64
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,7,4,29
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,8,1,65
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,8,2,39
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,8,3,134
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,8,4,79
171919,State Senate,First Middlesex,82239,Vanna Howard,Lowell,8,4A,0
171919,State Senate,First Middlesex,82239,Vanna Howard,Pepperell,-,1,72
171919,State Senate,First Middlesex,82239,Vanna Howard,Pepperell,-,2,156
171919,State Senate,First Middlesex,82239,Vanna Howard,Pepperell,-,3,114
171919,State Senate,First Middlesex,82239,Vanna Howard,Pepperell,-,4,103
171919,State Senate,First Middlesex,82239,Vanna Howard,Tyngsborough,-,1,47
171919,State Senate,First Middlesex,82239,Vanna Howard,Tyngsborough,-,2,54
171919,State Senate,First Middlesex,82239,Vanna Howard,Tyngsborough,-,3,58
171919,State Senate,First Middlesex,82239,Vanna Howard,Tyngsborough,-,4,60
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,1,55
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,2,39
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,3,66
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,4,45
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,5,61
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,6,64
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,6A,6
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,7,36
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,8,57
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dracut,-,9,67
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Dunstable,-,1,99
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,1,1,62
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,1,1A,0
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,1,2,86
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,1,3,97
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,1,4,86
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,2,1,27
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,2,2,24
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,2,3,54
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,2,4,41
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,3,1,34
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,3,2,169
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,3,3,113
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,3,4,48
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,4,1,11
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,4,2,18
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,4,3,14
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,4,3A,0
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,4,4,33
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,4,4A,0
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,5,1,38
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,5,1A,0
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,5,2,33
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,5,3,7
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,5,4,35
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,6,1,40
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,6,2,21
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,6,3,7
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,6,3A,0
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,6,4,34
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,6,4A,0
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,7,1,19
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,7,2,22
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,7,3,20
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,7,4,17
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,8,1,53
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,8,2,28
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,8,3,132
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,8,4,76
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Lowell,8,4A,0
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Pepperell,-,1,28
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Pepperell,-,2,42
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Pepperell,-,3,35
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Pepperell,-,4,46
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Tyngsborough,-,1,37
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Tyngsborough,-,2,46
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Tyngsborough,-,3,17
171919,State Senate,First Middlesex,126971,Rodney Michael Elliott,Tyngsborough,-,4,30
171919,State Senate,First Middlesex,,all_others,Dracut,-,1,1
171919,State Senate,First Middlesex,,all_others,Dracut,-,2,0
171919,State Senate,First Middlesex,,all_others,Dracut,-,3,0
171919,State Senate,First Middlesex,,all_others,Dracut,-,4,1
171919,State Senate,First Middlesex,,all_others,Dracut,-,5,1
171919,State Senate,First Middlesex,,all_others,Dracut,-,6,1
171919,State Senate,First Middlesex,,all_others,Dracut,-,6A,1
171919,State Senate,First Middlesex,,all_others,Dracut,-,7,0
171919,State Senate,First Middlesex,,all_others,Dracut,-,8,0
171919,State Senate,First Middlesex,,all_others,Dracut,-,9,3
171919,State Senate,First Middlesex,,all_others,Dunstable,-,1,1
171919,State Senate,First Middlesex,,all_others,Lowell,1,1,1
171919,State Senate,First Middlesex,,all_others,Lowell,1,1A,0
171919,State Senate,First Middlesex,,all_others,Lowell,1,2,0
171919,State Senate,First Middlesex,,all_others,Lowell,1,3,1
171919,State Senate,First Middlesex,,all_others,Lowell,1,4,1
171919,State Senate,First Middlesex,,all_others,Lowell,2,1,0
171919,State Senate,First Middlesex,,all_others,Lowell,2,2,1
171919,State Senate,First Middlesex,,all_others,Lowell,2,3,0
171919,State Senate,First Middlesex,,all_others,Lowell,2,4,0
171919,State Senate,First Middlesex,,all_others,Lowell,3,1,0
171919,State Senate,First Middlesex,,all_others,Lowell,3,2,2
171919,State Senate,First Middlesex,,all_others,Lowell,3,3,0
171919,State Senate,First Middlesex,,all_others,Lowell,3,4,2
171919,State Senate,First Middlesex,,all_others,Lowell,4,1,0
171919,State Senate,First Middlesex,,all_others,Lowell,4,2,0
171919,State Senate,First Middlesex,,all_others,Lowell,4,3,0
171919,State Senate,First Middlesex,,all_others,Lowell,4,3A,0
171919,State Senate,First Middlesex,,all_others,Lowell,4,4,0
171919,State Senate,First Middlesex,,all_others,Lowell,4,4A,0
171919,State Senate,First Middlesex,,all_others,Lowell,5,1,1
171919,State Senate,First Middlesex,,all_others,Lowell,5,1A,0
171919,State Senate,First Middlesex,,all_others,Lowell,5,2,0
171919,State Senate,First Middlesex,,all_others,Lowell,5,3,0
171919,State Senate,First Middlesex,,all_others,Lowell,5,4,1
171919,State Senate,First Middlesex,,all_others,Lowell,6,1,2
171919,State Senate,First Middlesex,,all_others,Lowell,6,2,0
171919,State Senate,First Middlesex,,all_others,Lowell,6,3,0
171919,State Senate,First Middlesex,,all_others,Lowell,6,3A,0
171919,State Senate,First Middlesex,,all_others,Lowell,6,4,0
171919,State Senate,First Middlesex,,all_others,Lowell,6,4A,0
171919,State Senate,First Middlesex,,all_others,Lowell,7,1,1
171919,State Senate,First Middlesex,,all_others,Lowell,7,2,0
171919,State Senate,First Middlesex,,all_others,Lowell,7,3,4
171919,State Senate,First Middlesex,,all_others,Lowell,7,4,2
171919,State Senate,First Middlesex,,all_others,Lowell,8,1,0
171919,State Senate,First Middlesex,,all_others,Lowell,8,2,0
171919,State Senate,First Middlesex,,all_others,Lowell,8,3,0
171919,State Senate,First Middlesex,,all_others,Lowell,8,4,1
171919,State Senate,First Middlesex,,all_others,Lowell,8,4A,0
171919,State Senate,First Middlesex,,all_others,Pepperell,-,1,0
171919,State Senate,First Middlesex,,all_others,Pepperell,-,2,0
171919,State Senate,First Middlesex,,all_others,Pepperell,-,3,0
171919,State Senate,First Middlesex,,all_others,Pepperell,-,4,0
171919,State Senate,First Middlesex,,all_others,Tyngsborough,-,1,0
171919,State Senate,First Middlesex,,all_others,Tyngsborough,-,2,0
171919,State Senate,First Middlesex,,all_others,Tyngsborough,-,3,0
171919,State Senate,First Middlesex,,all_others,Tyngsborough,-,4,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,1,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,2,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,3,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,4,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,5,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,6,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,6A,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,7,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,8,0
171919,State Senate,First Middlesex,,blanks,Dracut,-,9,0
171919,State Senate,First Middlesex,,blanks,Dunstable,-,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,1,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,1,1A,0
171919,State Senate,First Middlesex,,blanks,Lowell,1,2,0
171919,State Senate,First Middlesex,,blanks,Lowell,1,3,0
171919,State Senate,First Middlesex,,blanks,Lowell,1,4,2
171919,State Senate,First Middlesex,,blanks,Lowell,2,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,2,2,0
171919,State Senate,First Middlesex,,blanks,Lowell,2,3,0
171919,State Senate,First Middlesex,,blanks,Lowell,2,4,0
171919,State Senate,First Middlesex,,blanks,Lowell,3,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,3,2,0
171919,State Senate,First Middlesex,,blanks,Lowell,3,3,0
171919,State Senate,First Middlesex,,blanks,Lowell,3,4,0
171919,State Senate,First Middlesex,,blanks,Lowell,4,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,4,2,1
171919,State Senate,First Middlesex,,blanks,Lowell,4,3,0
171919,State Senate,First Middlesex,,blanks,Lowell,4,3A,0
171919,State Senate,First Middlesex,,blanks,Lowell,4,4,0
171919,State Senate,First Middlesex,,blanks,Lowell,4,4A,0
171919,State Senate,First Middlesex,,blanks,Lowell,5,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,5,1A,0
171919,State Senate,First Middlesex,,blanks,Lowell,5,2,0
171919,State Senate,First Middlesex,,blanks,Lowell,5,3,0
171919,State Senate,First Middlesex,,blanks,Lowell,5,4,1
171919,State Senate,First Middlesex,,blanks,Lowell,6,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,6,2,0
171919,State Senate,First Middlesex,,blanks,Lowell,6,3,0
171919,State Senate,First Middlesex,,blanks,Lowell,6,3A,0
171919,State Senate,First Middlesex,,blanks,Lowell,6,4,0
171919,State Senate,First Middlesex,,blanks,Lowell,6,4A,0
171919,State Senate,First Middlesex,,blanks,Lowell,7,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,7,2,2
171919,State Senate,First Middlesex,,blanks,Lowell,7,3,1
171919,State Senate,First Middlesex,,blanks,Lowell,7,4,0
171919,State Senate,First Middlesex,,blanks,Lowell,8,1,0
171919,State Senate,First Middlesex,,blanks,Lowell,8,2,0
171919,State Senate,First Middlesex,,blanks,Lowell,8,3,1
171919,State Senate,First Middlesex,,blanks,Lowell,8,4,0
171919,State Senate,First Middlesex,,blanks,Lowell,8,4A,0
171919,State Senate,First Middlesex,,blanks,Pepperell,-,1,0
171919,State Senate,First Middlesex,,blanks,Pepperell,-,2,0
171919,State Senate,First Middlesex,,blanks,Pepperell,-,3,5
171919,State Senate,First Middlesex,,blanks,Pepperell,-,4,0
171919,State Senate,First Middlesex,,blanks,Tyngsborough,-,1,1
171919,State Senate,First Middlesex,,blanks,Tyngsborough,-,2,1
171919,State Senate,First Middlesex,,blanks,Tyngsborough,-,3,0
171919,State Senate,First Middlesex,,blanks,Tyngsborough,-,4,2
171919,State Senate,First Middlesex,,total_votes,Dracut,-,1,107
171919,State Senate,First Middlesex,,total_votes,Dracut,-,2,72
171919,State Senate,First Middlesex,,total_votes,Dracut,-,3,115
171919,State Senate,First Middlesex,,total_votes,Dracut,-,4,72
171919,State Senate,First Middlesex,,total_votes,Dracut,-,5,105
171919,State Senate,First Middlesex,,total_votes,Dracut,-,6,109
171919,State Senate,First Middlesex,,total_votes,Dracut,-,6A,9
171919,State Senate,First Middlesex,,total_votes,Dracut,-,7,68
171919,State Senate,First Middlesex,,total_votes,Dracut,-,8,101
171919,State Senate,First Middlesex,,total_votes,Dracut,-,9,106
171919,State Senate,First Middlesex,,total_votes,Dunstable,-,1,256
171919,State Senate,First Middlesex,,total_votes,Lowell,1,1,99
171919,State Senate,First Middlesex,,total_votes,Lowell,1,1A,0
171919,State Senate,First Middlesex,,total_votes,Lowell,1,2,134
171919,State Senate,First Middlesex,,total_votes,Lowell,1,3,170
171919,State Senate,First Middlesex,,total_votes,Lowell,1,4,160
171919,State Senate,First Middlesex,,total_votes,Lowell,2,1,50
171919,State Senate,First Middlesex,,total_votes,Lowell,2,2,61
171919,State Senate,First Middlesex,,total_votes,Lowell,2,3,129
171919,State Senate,First Middlesex,,total_votes,Lowell,2,4,90
171919,State Senate,First Middlesex,,total_votes,Lowell,3,1,92
171919,State Senate,First Middlesex,,total_votes,Lowell,3,2,410
171919,State Senate,First Middlesex,,total_votes,Lowell,3,3,348
171919,State Senate,First Middlesex,,total_votes,Lowell,3,4,112
171919,State Senate,First Middlesex,,total_votes,Lowell,4,1,67
171919,State Senate,First Middlesex,,total_votes,Lowell,4,2,157
171919,State Senate,First Middlesex,,total_votes,Lowell,4,3,77
171919,State Senate,First Middlesex,,total_votes,Lowell,4,3A,0
171919,State Senate,First Middlesex,,total_votes,Lowell,4,4,69
171919,State Senate,First Middlesex,,total_votes,Lowell,4,4A,0
171919,State Senate,First Middlesex,,total_votes,Lowell,5,1,100
171919,State Senate,First Middlesex,,total_votes,Lowell,5,1A,0
171919,State Senate,First Middlesex,,total_votes,Lowell,5,2,82
171919,State Senate,First Middlesex,,total_votes,Lowell,5,3,27
171919,State Senate,First Middlesex,,total_votes,Lowell,5,4,105
171919,State Senate,First Middlesex,,total_votes,Lowell,6,1,105
171919,State Senate,First Middlesex,,total_votes,Lowell,6,2,58
171919,State Senate,First Middlesex,,total_votes,Lowell,6,3,38
171919,State Senate,First Middlesex,,total_votes,Lowell,6,3A,0
171919,State Senate,First Middlesex,,total_votes,Lowell,6,4,90
171919,State Senate,First Middlesex,,total_votes,Lowell,6,4A,0
171919,State Senate,First Middlesex,,total_votes,Lowell,7,1,61
171919,State Senate,First Middlesex,,total_votes,Lowell,7,2,50
171919,State Senate,First Middlesex,,total_votes,Lowell,7,3,89
171919,State Senate,First Middlesex,,total_votes,Lowell,7,4,48
171919,State Senate,First Middlesex,,total_votes,Lowell,8,1,118
171919,State Senate,First Middlesex,,total_votes,Lowell,8,2,67
171919,State Senate,First Middlesex,,total_votes,Lowell,8,3,267
171919,State Senate,First Middlesex,,total_votes,Lowell,8,4,156
171919,State Senate,First Middlesex,,total_votes,Lowell,8,4A,0
171919,State Senate,First Middlesex,,total_votes,Pepperell,-,1,100
171919,State Senate,First Middlesex,,total_votes,Pepperell,-,2,198
171919,State Senate,First Middlesex,,total_votes,Pepperell,-,3,154
171919,State Senate,First Middlesex,,total_votes,Pepperell,-,4,149
171919,State Senate,First Middlesex,,total_votes,Tyngsborough,-,1,85
171919,State Senate,First Middlesex,,total_votes,Tyngsborough,-,2,101
171919,State Senate,First Middlesex,,total_votes,Tyngsborough,-,3,75
171919,State Senate,First Middlesex,,total_votes,Tyngsborough,-,4,92
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,1,7
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,2,8
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,3,21
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,4,17
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,5,16
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,6,8
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,6A,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,7,7
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,8,14
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dracut,-,9,4
171920,State Senate,First Middlesex,62632,Sam S. Meas,Dunstable,-,1,56
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,1,1,1
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,1,1A,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,1,2,6
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,1,3,4
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,1,4,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,2,1,1
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,2,2,2
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,2,3,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,2,4,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,3,1,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,3,2,6
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,3,3,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,3,4,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,4,1,1
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,4,2,2
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,4,3,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,4,3A,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,4,4,6
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,4,4A,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,5,1,5
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,5,1A,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,5,2,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,5,3,1
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,5,4,1
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,6,1,5
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,6,2,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,6,3,6
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,6,3A,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,6,4,10
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,6,4A,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,7,1,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,7,2,1
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,7,3,3
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,7,4,2
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,8,1,5
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,8,2,1
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,8,3,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,8,4,2
171920,State Senate,First Middlesex,62632,Sam S. Meas,Lowell,8,4A,0
171920,State Senate,First Middlesex,62632,Sam S. Meas,Pepperell,-,1,13
171920,State Senate,First Middlesex,62632,Sam S. Meas,Pepperell,-,2,18
171920,State Senate,First Middlesex,62632,Sam S. Meas,Pepperell,-,3,17
171920,State Senate,First Middlesex,62632,Sam S. Meas,Pepperell,-,4,15
171920,State Senate,First Middlesex,62632,Sam S. Meas,Tyngsborough,-,1,18
171920,State Senate,First Middlesex,62632,Sam S. Meas,Tyngsborough,-,2,22
171920,State Senate,First Middlesex,62632,Sam S. Meas,Tyngsborough,-,3,11
171920,State Senate,First Middlesex,62632,Sam S. Meas,Tyngsborough,-,4,29
171920,State Senate,First Middlesex,,all_others,Dracut,-,1,15
171920,State Senate,First Middlesex,,all_others,Dracut,-,2,1
171920,State Senate,First Middlesex,,all_others,Dracut,-,3,4
171920,State Senate,First Middlesex,,all_others,Dracut,-,4,13
171920,State Senate,First Middlesex,,all_others,Dracut,-,5,15
