city_town,ward,precinct,Maura Healey,Geoff Diehl,Kevin Reed,All Others,Blanks,Total Votes Cast
Abington,-,1,622,556,21,0,10,1209
Abington,-,2,610,600,11,2,10,1233
Abington,-,3,670,672,20,1,9,1372
Abington,-,4,705,677,12,0,10,1404
Abington,-,5,713,672,19,1,13,1418
Acton,-,1,782,257,21,1,11,1072
Acton,-,2,1177,361,23,3,8,1572
Acton,-,3,1381,355,29,1,17,1783
Acton,-,4,1252,290,24,1,14,1581
Acton,-,5,1221,306,25,1,18,1571
Acton,-,6,841,220,19,1,9,1090
Acton,-,6A,379,72,14,0,2,467
Acton,-,7,903,293,13,0,15,1224
Acushnet,-,1,564,645,31,1,7,1248
Acushnet,-,2,488,760,12,1,8,1269
Acushnet,-,2A,60,76,1,0,0,137
Acushnet,-,3,623,842,30,0,9,1504
Adams,-,1,315,145,12,0,2,474
Adams,-,2,409,211,8,1,5,634
Adams,-,3,355,218,11,0,3,587
Adams,-,4,324,178,13,0,3,518
Adams,-,5,470,213,8,0,4,695
Agawam,-,1,521,617,19,1,8,1166
Agawam,-,2,735,842,29,1,25,1632
Agawam,-,3,560,679,20,0,13,1272
Agawam,-,4,540,552,25,2,6,1125
Agawam,-,5,789,790,28,1,16,1624
Agawam,-,6,629,745,22,0,16,1412
Agawam,-,7,667,927,19,1,13,1627
Agawam,-,8,719,797,17,2,8,1543
Alford,,,217,42,2,0,11,272
Amesbury,-,1,1042,511,15,1,10,1579
Amesbury,-,2,842,348,26,0,11,1227
Amesbury,-,3,972,411,22,4,3,1412
Amesbury,-,4,656,327,22,2,7,1014
Amesbury,-,5,777,530,23,2,12,1344
Amesbury,-,6,718,320,13,2,9,1062
Amherst,-,1A,651,51,10,2,7,721
Amherst,-,1B,365,33,5,0,1,404
Amherst,-,2A,428,44,6,0,3,481
Amherst,-,2B,1201,121,18,2,15,1357
Amherst,-,3A,389,49,5,2,9,454
Amherst,-,3B,1100,101,14,3,11,1229
Amherst,-,4A,585,42,10,0,1,638
Amherst,-,4B,369,15,1,0,3,388
Amherst,-,5A,431,27,6,0,9,473
Amherst,-,5B,1847,137,19,2,10,2015
Andover,-,1,772,301,18,3,9,1103
Andover,-,2,1015,536,13,3,16,1583
Andover,-,3,1197,546,38,3,19,1803
Andover,-,4,600,380,8,0,7,995
Andover,-,4A,283,156,9,3,5,456
Andover,-,5,986,608,20,2,10,1626
Andover,-,6,898,583,26,2,14,1523
Andover,-,7,1051,628,32,1,23,1735
Andover,-,8,1140,539,36,5,13,1733
Andover,-,9,936,557,21,4,9,1527
Andover,-,10,1079,593,21,4,15,1712
Aquinnah,,,221,37,4,0,1,263
Arlington,-,1,625,114,13,2,5,759
Arlington,-,2,940,157,12,1,7,1117
Arlington,-,3,920,108,14,0,8,1050
Arlington,-,4,823,124,14,2,13,976
Arlington,-,5,945,154,16,1,10,1126
Arlington,-,6,865,116,15,0,9,1005
Arlington,-,7,838,148,12,0,6,1004
Arlington,-,8,996,171,16,0,10,1193
Arlington,-,9,731,141,13,1,7,893
Arlington,-,10,1046,126,16,5,8,1201
Arlington,-,11,934,279,12,2,4,1231
Arlington,-,12,1044,195,13,5,13,1270
Arlington,-,13,851,274,14,1,8,1148
Arlington,-,14,830,147,19,0,13,1009
Arlington,-,15,825,162,14,0,9,1010
Arlington,-,16,941,168,15,0,7,1131
Arlington,-,17,715,131,6,0,8,860
Arlington,-,18,826,261,14,1,17,1119
Arlington,-,19,924,186,9,3,9,1131
Arlington,-,20,822,164,13,0,8,1007
Arlington,-,21,951,134,18,1,7,1111
Ashburnham,-,1,721,710,23,0,12,1466
Ashburnham,-,2,732,610,32,4,3,1381
Ashby,,,686,743,19,0,18,1466
Ashfield,,,772,174,19,0,11,976
Ashland,-,1,745,348,7,0,14,1114
Ashland,-,2,1073,439,25,0,13,1550
Ashland,-,3,723,295,21,0,12,1051
Ashland,-,4,753,343,19,0,19,1134
Ashland,-,5,893,345,16,0,9,1263
Ashland,-,6,916,385,22,0,12,1335
Athol,-,1,655,671,26,2,17,1371
Athol,-,2,544,605,27,0,13,1189
Athol,-,3,597,502,23,1,5,1128
Attleboro,1,A,643,541,34,0,14,1232
Attleboro,1,B,690,548,24,0,10,1272
Attleboro,2,A,831,604,19,2,12,1468
Attleboro,2,B,701,554,21,0,15,1291
Attleboro,3,A,802,477,20,1,11,1311
Attleboro,3,B,863,554,39,2,0,1458
Attleboro,4,A,710,413,19,0,16,1158
Attleboro,4,B,942,819,23,3,15,1802
Attleboro,5,A,519,241,12,1,6,779
Attleboro,5,B,777,509,19,3,18,1326
Attleboro,6,A,671,571,23,1,5,1271
Attleboro,6,B,796,603,35,2,9,1445
Auburn,-,1,825,622,33,2,11,1493
Auburn,-,2,746,658,24,2,7,1437
Auburn,-,3,869,686,26,0,10,1591
Auburn,-,4,776,526,30,3,13,1348
Auburn,-,5,709,587,24,2,10,1332
Avon,,,895,733,23,0,14,1665
Ayer,-,1,658,366,26,0,8,1058
Ayer,-,2,764,470,34,0,13,1281
Ayer,-,3,572,310,28,2,6,918
Barnstable,-,1,1281,811,30,2,14,2138
Barnstable,-,2,1062,851,30,3,14,1960
Barnstable,-,3,777,510,12,4,11,1314
Barnstable,-,4,1059,733,16,0,11,1819
Barnstable,-,5,1082,1058,25,1,18,2184
Barnstable,-,6,987,879,31,0,10,1907
Barnstable,-,7,1277,904,29,3,22,2235
Barnstable,-,8,596,419,22,1,3,1041
Barnstable,-,9,331,225,12,0,3,571
Barnstable,-,10,824,783,28,1,11,1647
Barnstable,-,11,1042,943,25,0,18,2028
Barnstable,-,12,1029,894,26,3,16,1968
Barnstable,-,13,642,441,20,3,8,1114
Barre,-,1,565,557,24,0,12,1158
Barre,-,2,444,581,20,2,4,1051
Becket,,,503,288,13,1,10,815
Bedford,-,1,1294,459,31,6,10,1800
Bedford,-,2,699,353,11,1,6,1070
Bedford,-,2A,224,109,5,0,2,340
Bedford,-,3,1270,489,25,1,12,1797
Bedford,-,4,1174,430,25,3,7,1639
Belchertown,-,A,1074,620,36,2,14,1746
Belchertown,-,B,900,776,31,0,13,1720
Belchertown,-,C,980,796,26,0,18,1820
Belchertown,-,D,1152,502,29,1,8,1692
Bellingham,-,1,643,547,19,1,12,1222
Bellingham,-,2,796,673,30,0,6,1505
Bellingham,-,3,813,671,23,2,9,1518
Bellingham,-,4,642,629,27,1,11,1310
Bellingham,-,5,553,594,21,4,9,1181
Belmont,-,1,1165,310,24,7,29,1535
Belmont,-,2,1216,487,41,2,32,1778
Belmont,-,3,1109,292,27,1,28,1457
Belmont,-,4,920,285,34,0,13,1252
Belmont,-,5,1103,290,26,0,18,1437
Belmont,-,6,1438,315,24,5,23,1805
Belmont,-,7,1115,303,24,2,22,1466
Belmont,-,8,977,387,29,1,39,1433
Berkley,-,1,641,870,38,3,4,1556
Berkley,-,2,490,741,17,3,12,1263
Berlin,,,1057,739,42,0,22,1860
Bernardston,,,640,320,19,0,6,985
Beverly,1,1,833,454,20,7,4,1318
Beverly,1,2,1158,562,31,2,10,1763
Beverly,2,1,1015,333,22,0,8,1378
Beverly,2,2,1130,344,34,0,12,1520
Beverly,3,1,651,216,26,0,11,904
Beverly,3,2,879,459,22,1,9,1370
Beverly,4,1,612,237,8,0,8,865
Beverly,4,2,1497,458,28,1,11,1995
Beverly,5,1,1023,545,22,2,11,1603
Beverly,5,2,901,496,16,1,10,1424
Beverly,6,1,1250,524,23,4,15,1816
Beverly,6,2,1161,709,30,2,15,1917
Billerica,-,1,676,443,14,3,5,1141
Billerica,-,2,820,659,34,1,18,1532
Billerica,-,3,738,693,16,2,9,1458
Billerica,-,4,678,603,18,1,13,1313
Billerica,-,5,922,848,25,2,19,1816
Billerica,-,6,727,588,17,0,10,1342
Billerica,-,7,807,540,24,3,12,1386
Billerica,-,8,726,654,26,3,10,1419
Billerica,-,9,755,786,18,0,17,1576
Billerica,-,10,837,822,23,0,9,1691
Billerica,-,11,616,592,33,2,11,1254
Billerica,-,12,755,617,29,1,13,1415
Blackstone,-,1,469,498,11,0,4,982
Blackstone,-,2,534,574,10,1,10,1129
Blackstone,-,3,516,710,23,1,6,1256
Blandford,,,234,358,26,0,0,618
Bolton,,,1893,899,62,4,28,2886
Boston,1,1,578,142,11,1,7,739
Boston,1,2,385,93,9,1,6,494
Boston,1,3,1140,211,27,4,16,1398
Boston,1,4,400,82,16,2,6,506
Boston,1,5,484,120,7,1,5,617
Boston,1,6,386,90,7,1,6,490
Boston,1,7,417,96,10,0,7,530
Boston,1,8,488,115,17,0,17,637
Boston,1,9,375,96,8,1,3,483
Boston,1,10,212,76,4,1,3,296
Boston,1,11,491,198,7,3,10,709
Boston,1,12,407,248,11,4,10,680
Boston,1,13,549,261,12,3,13,838
Boston,1,14,259,133,8,0,10,410
Boston,1,15,0,0,0,0,0,0
Boston,2,1,803,271,18,1,16,1109
Boston,2,2,770,242,9,8,8,1037
Boston,2,3,920,280,20,2,10,1232
Boston,2,4,856,192,15,3,10,1076
Boston,2,5,880,215,22,2,11,1130
Boston,2,6,709,218,10,2,12,951
Boston,2,7,488,121,11,0,7,627
Boston,2,8,339,99,12,2,12,464
Boston,3,1,666,259,10,4,12,951
Boston,3,2,687,274,13,5,13,992
Boston,3,3,439,151,13,3,4,610
Boston,3,4,449,175,12,3,8,647
Boston,3,5,704,163,13,4,8,892
Boston,3,6,412,117,18,3,5,555
Boston,3,7,797,88,10,0,11,906
Boston,3,8,531,107,10,1,7,656
Boston,3,9,480,133,11,1,5,630
Boston,3,10,738,177,20,4,11,950
Boston,3,11,599,198,10,0,10,817
Boston,3,12,786,172,14,0,12,984
Boston,3,13,437,146,11,2,3,599
Boston,3,13A,0,0,0,0,0,0
Boston,3,14,644,109,12,2,16,783
Boston,3,15,548,76,6,2,5,637
Boston,3,16,989,110,11,3,12,1125
Boston,3,17,532,109,9,5,8,663
Boston,4,1,742,99,10,1,9,861
Boston,4,2,569,124,13,1,6,713
Boston,4,3,862,119,13,4,11,1009
Boston,4,4,908,142,12,1,16,1079
Boston,4,5,708,110,14,0,14,846
Boston,4,6,552,108,13,2,11,686
Boston,4,7,454,64,12,3,8,541
Boston,4,8,409,89,7,2,7,514
Boston,4,9,106,15,1,0,4,126
Boston,4,10,124,7,1,0,2,134
Boston,4,10A,0,0,0,0,0,0
Boston,4,11,30,3,1,0,1,35
Boston,4,12,139,16,3,2,2,162
Boston,5,1,409,63,1,1,7,481
Boston,5,2,536,61,3,1,7,608
Boston,5,3,910,213,16,3,5,1147
Boston,5,4,497,66,8,1,4,576
Boston,5,5,663,163,13,2,9,850
Boston,5,6,723,185,12,4,14,938
Boston,5,7,893,201,15,4,20,1133
Boston,5,8,782,204,26,2,9,1023
Boston,5,9,778,190,11,3,8,990
Boston,5,10,349,72,6,4,5,436
Boston,5,11,337,64,7,1,2,411
Boston,5,12,383,44,7,2,2,438
Boston,5,13,683,137,15,0,12,847
Boston,5,14,662,99,11,1,9,782
Boston,5,15,435,99,3,2,5,544
Boston,6,1,816,187,12,1,10,1026
Boston,6,2,404,159,13,0,6,582
Boston,6,3,547,225,11,2,7,792
Boston,6,4,397,159,10,3,12,581
Boston,6,5,567,231,16,1,11,826
Boston,6,6,518,327,15,6,13,879
Boston,6,7,491,317,7,1,6,822
Boston,6,8,592,351,13,1,10,967
Boston,6,9,535,399,20,0,14,968
Boston,6,10,473,181,16,1,6,677
Boston,6,11,629,160,13,1,5,808
Boston,6,12,811,378,18,3,13,1223
Boston,6,12A,0,0,0,0,0,0
Boston,7,1,404,281,8,2,9,704
Boston,7,2,573,309,16,2,7,907
Boston,7,3,627,294,18,3,9,951
Boston,7,4,463,228,16,2,16,725
Boston,7,5,491,167,7,1,8,674
Boston,7,6,408,139,15,0,14,576
Boston,7,7,214,62,5,0,2,283
Boston,7,8,452,157,11,1,8,629
Boston,7,9,325,107,8,2,9,451
Boston,7,10,332,46,4,2,6,390
Boston,8,1,692,105,9,0,13,819
Boston,8,2,641,64,3,1,7,716
Boston,8,3,445,31,9,1,11,497
Boston,8,4,328,34,8,3,4,377
Boston,8,5,484,56,5,3,13,561
Boston,8,6,119,20,5,0,2,146
Boston,8,6A,0,0,0,0,0,0
Boston,9,1,732,87,7,2,11,839
Boston,9,2,710,62,9,1,6,788
Boston,9,3,474,59,9,4,10,556
Boston,9,4,471,41,9,0,7,528
Boston,9,5,552,32,12,3,12,611
Boston,9,6,621,50,9,0,4,684
Boston,9,7,132,17,5,0,2,156
Boston,10,1,342,42,5,2,2,393
Boston,10,2,238,34,4,0,3,279
Boston,10,3,241,35,3,2,5,286
Boston,10,4,511,83,6,0,13,613
Boston,10,5,365,60,8,3,5,441
Boston,10,6,403,46,8,1,12,470
Boston,10,7,484,32,14,2,7,539
Boston,10,8,808,87,19,0,13,927
Boston,10,9,996,73,12,3,11,1095
Boston,10,9A,0,0,0,0,0,0
Boston,11,1,369,19,5,0,3,396
Boston,11,2,540,30,7,1,8,586
Boston,11,3,369,26,4,3,9,411
Boston,11,4,728,60,12,1,18,819
Boston,11,5,593,56,9,6,18,682
Boston,11,6,641,35,9,0,3,688
Boston,11,7,823,52,8,2,11,896
Boston,11,8,1155,56,21,3,6,1241
Boston,11,9,599,36,5,3,6,649
Boston,11,10,729,27,5,3,11,775
Boston,12,1,505,37,7,1,14,564
Boston,12,2,604,30,10,0,11,655
Boston,12,3,282,22,6,0,0,310
Boston,12,4,347,18,5,0,9,379
Boston,12,5,244,16,2,0,5,267
Boston,12,6,310,31,1,0,8,350
Boston,12,7,585,44,8,0,22,659
Boston,12,8,224,18,2,0,1,245
Boston,12,9,309,18,1,0,13,341
Boston,13,1,352,27,6,2,10,397
Boston,13,2,160,17,3,0,4,184
Boston,13,3,354,58,7,0,7,426
Boston,13,4,293,29,9,2,9,342
Boston,13,5,309,37,7,0,12,365
Boston,13,6,451,57,1,0,5,514
Boston,13,7,428,162,6,0,13,609
Boston,13,8,394,111,11,0,2,518
Boston,13,9,499,92,11,1,4,607
Boston,13,10,702,255,18,2,13,990
Boston,14,1,546,50,9,1,10,616
Boston,14,2,610,39,8,2,20,679
Boston,14,3,303,14,4,0,4,325
Boston,14,4,377,29,6,1,12,425
Boston,14,5,268,10,11,1,4,294
Boston,14,6,295,25,2,0,9,331
Boston,14,7,292,17,6,2,2,319
Boston,14,8,433,26,4,0,14,477
Boston,14,9,270,28,5,0,4,307
Boston,14,10,328,39,4,1,7,379
Boston,14,11,326,19,6,2,2,355
Boston,14,12,209,8,2,0,2,221
Boston,14,13,336,17,4,0,8,365
Boston,14,14,348,14,9,0,4,375
Boston,15,1,415,31,4,0,5,455
Boston,15,2,260,14,1,1,9,285
