city_town,ward,precinct,receiver,votes,office,district
Abington,-,1,Alyson M. Sullivan-Almeida,1498,State Representative,Seventh Plymouth
Abington,-,1,All Others,19,State Representative,Seventh Plymouth
Abington,-,1,Blanks,484,State Representative,Seventh Plymouth
Abington,-,1,Total Votes Cast,2001,State Representative,Seventh Plymouth
Abington,-,1,John F. Keenan,1433,State Senate,Norfolk and Plymouth
Abington,-,1,All Others,10,State Senate,Norfolk and Plymouth
Abington,-,1,Blanks,558,State Senate,Norfolk and Plymouth
Abington,-,1,Total Votes Cast,2001,State Senate,Norfolk and Plymouth
Abington,-,2,Alyson M. Sullivan-Almeida,1325,State Representative,Seventh Plymouth
Abington,-,2,All Others,8,State Representative,Seventh Plymouth
Abington,-,2,Blanks,441,State Representative,Seventh Plymouth
Abington,-,2,Total Votes Cast,1774,State Representative,Seventh Plymouth
Abington,-,2,John F. Keenan,1240,State Senate,Norfolk and Plymouth
Abington,-,2,All Others,13,State Senate,Norfolk and Plymouth
Abington,-,2,Blanks,521,State Senate,Norfolk and Plymouth
Abington,-,2,Total Votes Cast,1774,State Senate,Norfolk and Plymouth
Abington,-,3,Alyson M. Sullivan-Almeida,1442,State Representative,Seventh Plymouth
Abington,-,3,All Others,17,State Representative,Seventh Plymouth
Abington,-,3,Blanks,450,State Representative,Seventh Plymouth
Abington,-,3,Total Votes Cast,1909,State Representative,Seventh Plymouth
Abington,-,3,John F. Keenan,1327,State Senate,Norfolk and Plymouth
Abington,-,3,All Others,11,State Senate,Norfolk and Plymouth
Abington,-,3,Blanks,571,State Senate,Norfolk and Plymouth
Abington,-,3,Total Votes Cast,1909,State Senate,Norfolk and Plymouth
Abington,-,4,Alyson M. Sullivan-Almeida,1526,State Representative,Seventh Plymouth
Abington,-,4,All Others,10,State Representative,Seventh Plymouth
Abington,-,4,Blanks,466,State Representative,Seventh Plymouth
Abington,-,4,Total Votes Cast,2002,State Representative,Seventh Plymouth
Abington,-,4,John F. Keenan,1457,State Senate,Norfolk and Plymouth
Abington,-,4,All Others,18,State Senate,Norfolk and Plymouth
Abington,-,4,Blanks,527,State Senate,Norfolk and Plymouth
Abington,-,4,Total Votes Cast,2002,State Senate,Norfolk and Plymouth
Abington,-,5,Alyson M. Sullivan-Almeida,1514,State Representative,Seventh Plymouth
Abington,-,5,All Others,12,State Representative,Seventh Plymouth
Abington,-,5,Blanks,463,State Representative,Seventh Plymouth
Abington,-,5,Total Votes Cast,1989,State Representative,Seventh Plymouth
Abington,-,5,John F. Keenan,1439,State Senate,Norfolk and Plymouth
Abington,-,5,All Others,15,State Senate,Norfolk and Plymouth
Abington,-,5,Blanks,535,State Senate,Norfolk and Plymouth
Abington,-,5,Total Votes Cast,1989,State Senate,Norfolk and Plymouth
Acton,-,1,Simon Cataldo,1144,State Representative,Fourteenth Middlesex
Acton,-,1,All Others,27,State Representative,Fourteenth Middlesex
Acton,-,1,Blanks,302,State Representative,Fourteenth Middlesex
Acton,-,1,Total Votes Cast,1473,State Representative,Fourteenth Middlesex
Acton,-,1,James B. Eldridge,1166,State Senate,Middlesex and Worcester
Acton,-,1,All Others,23,State Senate,Middlesex and Worcester
Acton,-,1,Blanks,284,State Senate,Middlesex and Worcester
