city_town,ward,precinct,Clinton/ Kaine,Trump/ Pence,Johnson/ Weld,Stein/ Baraka,Mcmullin/ Johnson,Kotlikoff/ Leamer,Feegbeh/ O'Brien,Moorehead/ Lilly,Schoenke/ Mitchel,All Others,No Preference,Blanks,Total Votes Cast
Abington,-,1,818,717,97,25,0,0,0,0,0,30,0,22,1709
Abington,-,2,739,785,67,27,0,0,0,0,0,12,0,41,1671
Abington,-,3,773,808,80,18,0,0,0,0,0,13,0,34,1726
Abington,-,4,877,878,87,16,0,0,0,0,0,26,0,35,1919
Abington,-,5,908,829,86,16,0,0,0,0,0,20,0,28,1887
Acton,-,1,1459,438,89,30,4,0,0,0,0,27,0,37,2084
Acton,-,2,1550,480,96,26,8,0,0,0,0,35,0,33,2228
Acton,-,3,1580,435,90,44,14,0,0,0,0,43,0,29,2235
Acton,-,4,1675,414,104,45,4,0,0,0,0,52,0,18,2312
Acton,-,5,1580,387,95,33,4,0,0,0,0,32,0,36,2167
Acton,-,6,1354,401,78,30,6,0,0,0,0,41,0,31,1941
Acushnet,-,1,783,786,58,26,5,0,0,0,0,14,0,30,1702
Acushnet,-,2,756,1043,57,29,0,0,0,0,0,29,0,44,1958
Acushnet,-,3,862,1005,59,32,0,0,0,0,0,22,0,32,2012
Adams,-,1,439,255,33,20,0,0,0,0,0,5,0,15,767
Adams,-,2,476,270,44,17,0,0,0,0,0,10,0,12,829
Adams,-,3,475,268,36,17,3,0,0,0,0,10,0,10,819
Adams,-,4,446,233,31,15,2,0,0,0,0,5,0,8,740
Adams,-,5,577,259,45,11,6,0,0,0,0,13,0,14,925
Agawam,-,1,631,827,82,33,0,0,0,0,0,11,0,21,1605
Agawam,-,2,850,1069,105,25,0,0,0,0,0,30,0,20,2099
Agawam,-,3,770,921,70,16,5,0,0,0,0,15,0,17,1814
Agawam,-,4,700,724,69,28,0,0,0,0,0,24,0,19,1564
Agawam,-,5,861,998,101,39,0,0,0,0,0,24,0,27,2050
Agawam,-,6,783,882,79,18,1,0,0,0,0,24,0,25,1812
Agawam,-,7,750,991,81,26,3,0,0,0,0,25,0,38,1914
Agawam,-,8,863,1009,64,23,0,0,0,0,0,35,0,25,2019
Alford,-,1,226,52,8,8,0,0,0,0,0,5,0,8,307
Amesbury,-,1,930,623,102,14,3,0,0,0,0,36,0,32,1740
Amesbury,-,2,901,503,87,34,4,0,0,0,0,23,0,24,1576
Amesbury,-,3,960,498,82,25,2,0,0,0,0,16,0,39,1622
Amesbury,-,4,805,502,86,28,3,0,0,0,0,14,0,19,1457
Amesbury,-,5,745,675,90,22,0,0,0,0,0,32,0,31,1595
Amesbury,-,6,833,430,80,28,1,0,0,0,0,24,0,16,1412
Amherst,-,1,955,101,37,79,0,0,0,0,0,21,0,10,1203
Amherst,-,2,1409,143,51,83,0,0,0,0,0,34,0,11,1731
Amherst,-,3,908,125,56,37,4,0,0,0,0,14,0,10,1154
Amherst,-,4,910,162,46,21,0,0,0,0,0,31,0,16,1186
Amherst,-,5,1023,95,19,40,3,0,0,0,0,11,0,16,1207
Amherst,-,6,1464,134,40,64,0,0,0,0,0,34,0,22,1758
Amherst,-,7,1440,131,37,64,2,0,0,0,0,31,0,12,1717
Amherst,-,8,1644,124,42,80,2,0,0,0,0,24,0,16,1932
Amherst,-,9,1382,79,48,91,0,0,0,0,0,29,0,16,1645
Amherst,-,10,1222,154,69,54,0,0,0,0,0,24,0,10,1533
Andover,-,1,1101,433,88,24,1,0,0,0,0,26,0,24,1697
Andover,-,2,1312,865,84,28,6,0,0,0,0,27,0,54,2376
Andover,-,3,1431,651,116,33,3,0,0,0,0,27,0,31,2292
Andover,-,4,1162,818,108,20,2,0,0,0,0,37,0,43,2190
Andover,-,5,1257,758,105,18,0,0,0,0,0,45,0,36,2219
Andover,-,6,1207,842,97,28,10,0,0,0,0,30,0,40,2254
Andover,-,7,980,548,77,12,1,0,0,0,0,34,0,30,1682
Andover,-,7A,256,163,24,1,3,0,0,0,0,9,0,14,470
Andover,-,8,1278,685,99,16,11,0,0,0,0,50,0,37,2176
Andover,-,9,1232,752,95,22,6,0,0,0,0,49,0,44,2200
Andover,-,9A,6,7,2,0,0,0,0,0,0,1,0,0,16
Aquinnah,-,1,232,34,6,7,0,0,0,0,0,5,0,3,287
Arlington,-,1,802,173,20,19,0,0,0,0,0,17,0,17,1048
Arlington,-,2,1028,232,43,21,8,0,0,0,0,21,0,17,1370
Arlington,-,3,1049,169,31,37,6,0,0,0,0,19,0,12,1323
Arlington,-,4,1022,195,47,24,3,0,0,0,0,18,0,11,1320
Arlington,-,5,932,233,31,33,2,0,0,0,0,18,0,10,1259
Arlington,-,6,946,178,25,20,3,0,0,0,0,20,0,14,1206
