city_town,ward,precinct,Biden/ Harris,Trump/ Pence,Jorgensen/ Cohen,Hawkins/ Walker,All Others,No Preference,Blanks,Total Votes Cast
Abington,-,1,1037,764,29,6,8,0,16,1860
Abington,-,2,960,838,23,16,4,0,9,1850
Abington,-,3,954,848,31,8,3,0,9,1853
Abington,-,4,1117,904,28,7,6,0,26,2088
Abington,-,5,1141,882,35,8,3,0,15,2084
Acton,-,1,1761,447,24,11,8,0,16,2267
Acton,-,2,1912,441,30,13,12,0,21,2429
Acton,-,3,1834,388,34,15,12,0,18,2301
Acton,-,4,2051,416,40,9,16,0,12,2544
Acton,-,5,1897,396,44,15,22,0,14,2388
Acton,-,6,1650,383,21,11,14,0,10,2089
Acushnet,-,1,815,924,23,12,3,0,14,1791
Acushnet,-,2,932,1176,28,8,3,0,18,2165
Acushnet,-,3,917,1190,22,10,5,0,26,2170
Adams,-,1,527,253,13,9,2,0,1,805
Adams,-,2,574,291,18,5,2,0,9,899
Adams,-,3,601,324,17,7,2,0,6,957
Adams,-,4,512,269,13,6,1,0,4,805
Adams,-,5,680,291,16,8,0,0,7,1002
Agawam,-,1,825,922,19,5,6,0,7,1784
Agawam,-,2,1036,1121,26,8,3,0,21,2215
Agawam,-,3,1022,1041,24,11,10,0,4,2112
Agawam,-,4,848,836,26,5,7,0,6,1728
Agawam,-,5,1131,1074,18,17,5,0,5,2250
Agawam,-,6,930,954,25,12,8,0,14,1943
Agawam,-,7,910,1074,29,9,11,0,9,2042
Agawam,-,8,1092,1051,19,7,8,0,11,2188
Alford,-,1,271,50,1,1,2,0,5,330
Amesbury,-,1,1209,646,25,7,8,0,13,1908
Amesbury,-,2,1165,502,30,11,3,0,15,1726
Amesbury,-,3,1189,510,36,11,7,0,6,1759
Amesbury,-,4,977,487,25,4,8,0,4,1505
Amesbury,-,5,1167,732,39,15,12,0,15,1980
Amesbury,-,6,1079,449,19,6,17,0,14,1584
Amherst,-,1,944,62,11,14,5,0,3,1039
Amherst,-,2,1267,121,10,14,11,0,3,1426
Amherst,-,3,476,46,3,6,2,0,1,534
Amherst,-,4,449,29,2,2,9,0,4,495
Amherst,-,5,1019,98,8,16,2,0,6,1149
Amherst,-,6,1580,133,14,18,11,0,10,1766
Amherst,-,7,1547,150,14,16,5,0,8,1740
Amherst,-,8,1765,127,14,17,7,0,3,1933
Amherst,-,9,1143,75,8,20,9,0,3,1258
Amherst,-,10,528,32,5,6,1,0,1,573
Andover,-,1,1362,477,24,10,12,0,13,1898
Andover,-,2,1717,843,27,16,21,0,5,2629
Andover,-,3,1658,663,37,11,16,0,9,2394
Andover,-,4,1583,812,33,12,23,0,16,2479
Andover,-,5,1756,927,39,5,18,0,21,2766
Andover,-,6,1628,813,34,11,15,0,17,2518
Andover,-,7,1253,594,19,16,10,0,27,1919
Andover,-,7A,352,154,15,7,2,0,6,536
Andover,-,8,1602,678,30,9,23,0,20,2362
Andover,-,9,1592,732,33,8,11,0,24,2400
Aquinnah,-,1,311,34,8,1,1,0,0,355
Arlington,-,1,885,154,11,4,5,0,10,1069
Arlington,-,2,1196,216,12,5,5,0,10,1444
Arlington,-,3,1223,137,11,10,6,0,11,1398
Arlington,-,4,1112,169,12,5,10,0,10,1318
Arlington,-,5,1095,207,9,9,5,0,7,1332
Arlington,-,6,1084,173,14,7,6,0,5,1289
Arlington,-,7,1080,168,9,13,3,0,4,1277
Arlington,-,8,1281,173,11,4,6,0,6,1481
Arlington,-,9,1025,219,9,5,8,0,14,1280
Arlington,-,10,1246,179,13,4,2,0,13,1457
Arlington,-,11,1187,255,6,7,5,0,15,1475
Arlington,-,12,1300,223,13,6,5,0,15,1562
Arlington,-,13,992,368,15,8,8,0,9,1400
Arlington,-,14,1116,189,14,5,1,0,7,1332
Arlington,-,15,1192,274,6,10,9,0,12,1503
Arlington,-,16,1083,203,9,9,6,0,11,1321
Arlington,-,17,1059,182,9,7,6,0,9,1272
Arlington,-,18,1120,307,14,9,6,0,4,1460
Arlington,-,19,1145,233,13,6,2,0,10,1409
Arlington,-,20,1100,196,11,6,10,0,9,1332
Arlington,-,21,1150,156,11,10,4,0,17,1348
Ashburnham,-,1,2030,1667,87,21,22,0,10,3837
Ashby,-,1,956,1008,41,16,2,0,9,2032
Ashfield,-,1,993,180,30,12,3,0,12,1230
Ashland,-,1,1371,566,31,11,0,0,22,2001
Ashland,-,2,1528,594,36,5,0,0,22,2185
Ashland,-,3,1373,593,23,10,0,0,30,2029
Ashland,-,4,1368,576,19,13,0,0,21,1997
Ashland,-,5,1668,607,44,8,0,0,25,2352
Athol,-,1,952,906,36,18,16,0,14,1942
Athol,-,2,811,895,50,27,7,0,8,1798
Athol,-,3,942,778,42,12,10,0,7,1791
Attleboro,1,A,1006,800,31,12,4,0,8,1861
Attleboro,1,B,1071,806,27,6,8,0,7,1925
Attleboro,2,A,1157,813,36,13,11,0,7,2037
Attleboro,2,B,1268,942,42,19,8,0,16,2295
Attleboro,3,A,1276,753,23,15,6,0,16,2089
Attleboro,3,B,1242,758,30,10,10,0,6,2056
Attleboro,4,A,1038,530,23,13,10,0,14,1628
Attleboro,4,B,1452,1113,29,9,7,0,10,2620
Attleboro,5,A,801,382,26,13,5,0,15,1242
Attleboro,5,B,1144,749,27,14,10,0,7,1951
Attleboro,6,A,1036,795,34,19,5,0,11,1900
Attleboro,6,B,1170,831,45,6,16,0,19,2087
Auburn,-,1,1172,916,43,15,13,0,12,2171
Auburn,-,2,1160,910,35,6,1,0,11,2123
Auburn,-,3,1171,910,27,12,5,0,12,2137
Auburn,-,4,1101,720,32,20,6,0,12,1891
Auburn,-,5,1016,850,36,13,11,0,13,1939
Avon,-,1,1601,1030,36,21,9,0,26,2723
Ayer,-,1,1387,718,44,12,12,0,15,2188
Ayer,-,2,1545,819,67,14,7,0,13,2465
Barnstable,-,1,1693,1025,37,9,1,0,37,2802
Barnstable,-,2,1338,1000,35,10,0,0,24,2407
Barnstable,-,3,1111,670,20,9,3,0,11,1824
Barnstable,-,4,1300,814,31,6,0,0,37,2188
Barnstable,-,5,1356,1117,18,3,11,0,17,2522
Barnstable,-,6,1318,1040,20,7,4,0,16,2405
Barnstable,-,7,1595,1003,35,19,1,0,26,2679
Barnstable,-,8,1027,605,23,10,0,0,10,1675
Barnstable,-,9,733,384,14,11,0,0,9,1151
Barnstable,-,10,1197,985,45,3,1,0,15,2246
Barnstable,-,11,1387,1124,37,7,3,0,24,2582
Barnstable,-,12,1402,1082,35,11,0,0,20,2550
Barnstable,-,13,1034,587,15,5,1,0,11,1653
Barre,-,1,853,723,35,13,5,0,5,1634
Barre,-,2,682,800,33,6,7,0,5,1533
Becket,-,1,757,413,17,6,2,0,3,1198
Bedford,-,1,1782,535,36,8,20,0,7,2388
Bedford,-,2,1457,649,29,17,13,0,13,2178
Bedford,-,3,1717,501,31,9,11,0,17,2286
Bedford,-,4,1496,495,30,10,13,0,6,2050
Belchertown,-,A,1519,771,38,16,8,0,17,2369
Belchertown,-,B,1351,996,35,23,3,0,39,2447
Belchertown,-,C,1405,1028,44,12,4,0,13,2506
Belchertown,-,D,1618,686,30,17,5,0,13,2369
Bellingham,-,1,1039,800,31,11,7,0,3,1891
Bellingham,-,2,1118,967,31,17,14,0,12,2159
Bellingham,-,3,1213,898,31,16,7,0,8,2173
Bellingham,-,4,795,737,24,10,8,0,9,1583
Bellingham,-,4A,146,132,5,2,2,0,1,288
Bellingham,-,5,900,868,39,12,9,0,11,1839
Belmont,-,1,1552,332,20,25,14,0,16,1959
Belmont,-,2,1583,447,33,8,19,0,31,2121
Belmont,-,3,1436,366,25,10,18,0,20,1875
Belmont,-,4,1266,330,22,18,9,0,13,1658
Belmont,-,5,1444,349,20,11,10,0,13,1847
Belmont,-,6,1540,314,22,12,11,0,15,1914
Belmont,-,7,1588,316,20,13,8,0,14,1959
Belmont,-,8,1590,502,21,14,18,0,14,2159
Berkley,-,1,977,1178,40,13,9,0,4,2221
Berkley,-,2,787,1073,22,7,7,0,26,1922
Berlin,-,1,1375,816,48,18,8,0,10,2275
Bernardston,-,1,916,423,28,8,0,0,10,1385
Beverly,1,1,1220,615,24,10,2,0,24,1895
Beverly,1,2,1402,662,38,11,7,0,26,2146
Beverly,2,1,1557,468,40,9,3,0,18,2095
Beverly,2,2,1615,457,31,12,6,0,17,2138
Beverly,3,1,1293,469,34,16,3,0,14,1829
Beverly,3,2,1209,605,28,9,7,0,17,1875
Beverly,4,1,897,386,16,3,7,0,13,1322
Beverly,4,2,1830,581,31,7,5,0,26,2480
Beverly,5,1,1380,729,32,6,6,0,17,2170
Beverly,5,2,1334,732,36,10,1,0,23,2136
Beverly,6,1,1584,643,29,12,7,0,31,2306
Beverly,6,2,1382,858,36,4,4,0,28,2312
Billerica,-,1,1350,880,47,7,11,0,16,2311
Billerica,-,2,1271,930,32,12,8,0,11,2264
Billerica,-,3,1199,993,28,11,23,0,16,2270
Billerica,-,4,1020,860,20,7,10,0,10,1927
Billerica,-,5,1226,1110,32,9,6,0,9,2392
Billerica,-,6,1263,958,26,27,10,0,15,2299
Billerica,-,7,1255,805,29,9,8,0,12,2118
Billerica,-,8,1303,1035,38,4,9,0,14,2403
Billerica,-,9,1137,1048,28,4,9,0,12,2238
Billerica,-,10,1169,1103,43,7,8,0,9,2339
Billerica,-,11,1135,1009,37,16,10,0,10,2217
Blackstone,-,1,777,767,24,9,8,0,3,1588
Blackstone,-,2,893,898,34,10,3,0,6,1844
Blackstone,-,3,780,895,24,8,5,0,9,1721
Blandford,-,1,307,454,13,1,0,0,6,781
Bolton,-,1,2529,1140,75,18,0,0,51,3813
Boston,1,1,939,206,12,8,9,0,8,1182
Boston,1,2,668,156,8,5,8,0,5,850
Boston,1,3,1734,383,24,8,9,0,7,2165
Boston,1,4,740,135,9,3,4,0,4,895
Boston,1,5,812,199,19,4,6,0,0,1040
Boston,1,6,707,154,12,3,3,0,5,884
