city_town,ward,precinct,"Alice R, Harris",Donald J. Trump,Jill E. Stein,Shiva Ayyadurai,Chase Russell Oliver,De La Cruz,Sonski,David E. West,All Others,No Preference,Blanks,Total Votes Cast
Abington,-,1,1019,905,15,19,12,5,0,0,6,0,20,2001
Abington,-,2,833,882,11,5,8,3,0,0,11,0,21,1774
Abington,-,3,872,985,7,13,8,3,1,0,7,0,13,1909
Abington,-,4,978,954,6,11,13,5,0,0,5,0,30,2002
Abington,-,5,1012,913,8,13,11,6,0,0,5,0,21,1989
Acton,-,1,1051,359,14,8,6,2,0,0,16,0,17,1473
Acton,-,2,1504,397,20,10,16,9,0,0,18,0,30,2004
Acton,-,3,1744,388,24,7,21,4,0,0,26,0,27,2241
Acton,-,4,1583,377,30,10,13,5,0,0,16,0,23,2057
Acton,-,5,1561,354,15,13,16,5,0,0,24,0,12,2000
Acton,-,6,1097,220,15,8,11,4,0,0,12,0,8,1375
Acton,-,6A,467,90,8,3,3,1,0,0,4,0,8,584
Acton,-,7,1170,351,23,9,8,5,0,0,7,0,24,1597
Acushnet,-,1,745,1148,7,9,12,0,0,0,2,0,7,1930
Acushnet,-,2,670,1201,6,12,4,1,0,0,9,0,15,1918
Acushnet,-,2A,92,138,1,1,0,0,0,0,0,0,1,233
Acushnet,-,3,804,1321,3,18,10,7,0,0,9,0,18,2190
Adams,-,1,463,277,3,6,3,1,0,0,5,0,7,765
Adams,-,2,539,357,7,4,3,2,0,0,4,0,8,924
Adams,-,3,529,362,4,5,5,1,0,0,3,0,6,915
Adams,-,4,475,303,3,5,5,2,0,0,1,0,8,802
Adams,-,5,597,360,4,9,7,4,0,0,2,0,6,989
Agawam,-,1,746,949,7,12,11,5,0,0,8,0,8,1746
Agawam,-,2,929,1190,20,8,7,3,0,0,10,0,23,2190
Agawam,-,3,807,1039,22,15,6,4,0,0,12,0,14,1919
Agawam,-,4,796,807,8,8,6,1,0,0,12,0,16,1654
Agawam,-,5,989,1114,16,13,8,1,0,0,10,0,28,2179
Agawam,-,6,858,1051,15,12,5,3,0,0,10,0,18,1972
Agawam,-,7,907,1174,8,14,3,4,0,0,9,0,20,2139
Agawam,-,8,910,1050,13,15,15,3,0,0,10,0,17,2033
Alford,-,1,252,58,3,0,3,1,0,0,0,0,9,326
Amesbury,-,1,1324,710,7,8,16,2,0,0,0,0,28,2095
Amesbury,-,2,1130,528,10,10,13,7,0,0,0,0,22,1720
Amesbury,-,3,1205,540,4,6,18,2,0,0,0,0,27,1802
